Cell	Mean division time (minutes at 22 degrees C).  Start times aligned to ABala division = 74' 	Mean division time (minutes) - normalized to Sulston rate (20 degrees C)	Parent	Birth	Mean cell cycle length (minutes) - normalized to Sulston rate (20 degrees C)	Division Time Stdev (minutes at 20C)	Cell Cycle Stdev (minutes at 20C)	Division Time CV	Cell Cycle CV	# of embryos in which division was observed	# of embryos in which birth was observed	Mean Movement rate (microns per minute)	Mean movement distance (microns)
ABalppapppp	n/a	n/a	ABalppappp	286	n/a	n/a	n/a	n/a	n/a	0	22	0.09	2.18
ABalpppppaa	n/a	n/a	ABalpppppa	286	n/a	n/a	n/a	n/a	n/a	0	22	0.01	0.54
ABalpppppap	n/a	n/a	ABalpppppa	286	n/a	n/a	n/a	n/a	n/a	0	22	0.01	0.44
ABalpppappp	n/a	373	ABalpppapp	287	85	n/a	n/a	n/a	n/a	4	21	0.05	1.24
ABarpapaapp	n/a	373	ABarpapaap	287	87	n/a	n/a	n/a	n/a	5	22	0.07	1.75
ABpraapappp	n/a	392	ABpraapapp	287	102	n/a	n/a	n/a	n/a	3	22	0.03	0.97
ABarapppppa	n/a	407	ABarappppp	287	121	n/a	n/a	n/a	n/a	3	22	0.07	1.4
ABalpppappa	n/a	n/a	ABalpppapp	287	n/a	n/a	n/a	n/a	n/a	0	21	0.08	0.66
ABarapppppp	n/a	n/a	ABarappppp	287	n/a	n/a	n/a	n/a	n/a	0	22	0.09	2.07
ABarpapaapa	n/a	n/a	ABarpapaap	287	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1
ABpraapappa	n/a	n/a	ABpraapapp	287	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.7
ABprpappaaa	n/a	n/a	ABprpappaa	287	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.66
ABprpappaap	n/a	n/a	ABprpappaa	287	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.08
MSaaaapaa	n/a	n/a	MSaaaapa	287	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.79
MSaaaapap	n/a	n/a	MSaaaapa	287	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.11
ABaraapaapa	n/a	n/a	ABaraapaap	288	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.99
ABaraapaapp	n/a	n/a	ABaraapaap	288	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.43
ABplaaaaapp	n/a	380	ABplaaaaap	289	90	n/a	n/a	n/a	n/a	4	22	0.07	1.73
ABplpaapppp	n/a	399	ABplpaappp	289	110	n/a	n/a	n/a	n/a	3	22	0.12	2.71
ABalaappppa	n/a	405	ABalaapppp	289	117	n/a	n/a	n/a	n/a	3	22	0.05	1.24
ABalaappppp	n/a	n/a	ABalaapppp	289	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.32
ABplaaaaapa	n/a	n/a	ABplaaaaap	289	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.18
ABplpaapppa	n/a	n/a	ABplpaappp	289	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.57
ABprpappapa	n/a	n/a	ABprpappap	289	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.16
ABprpappapp	n/a	n/a	ABprpappap	289	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.33
ABalppppapa	n/a	395	ABalppppap	290	108	n/a	n/a	n/a	n/a	3	22	0.07	1.44
ABalpapapap	n/a	401	ABalpapapa	290	109	n/a	n/a	n/a	n/a	3	22	0.03	0.9
ABplpaaappa	n/a	402	ABplpaaapp	290	113	n/a	n/a	n/a	n/a	3	22	0.06	1.45
ABprpaaappa	n/a	408	ABprpaaapp	290	120	n/a	n/a	n/a	n/a	3	22	0.1	1.74
ABalpapapaa	n/a	n/a	ABalpapapa	290	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.11
ABalppppapp	n/a	n/a	ABalppppap	290	n/a	n/a	n/a	n/a	n/a	0	22	0.15	1.14
ABplpaaaapa	n/a	n/a	ABplpaaaap	290	n/a	n/a	n/a	n/a	n/a	0	22	0.14	2.75
ABplpaaaapp	n/a	n/a	ABplpaaaap	290	n/a	n/a	n/a	n/a	n/a	0	22	0.18	3.48
ABplpaaappp	n/a	n/a	ABplpaaapp	290	n/a	n/a	n/a	n/a	n/a	0	22	0.1	2.08
ABprpaaappp	n/a	n/a	ABprpaaapp	290	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1.98
ABprpaapppp	n/a	394	ABprpaappp	291	104	n/a	n/a	n/a	n/a	3	22	0.17	3.06
ABalapapapa	n/a	401	ABalapapap	291	110	n/a	n/a	n/a	n/a	3	22	0.05	1.29
ABalapaappa	n/a	408	ABalapaapp	291	118	n/a	n/a	n/a	n/a	3	22	0.06	0.92
ABalapaappp	n/a	n/a	ABalapaapp	291	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.06
ABalapapapp	n/a	n/a	ABalapapap	291	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.08
ABalapppppa	n/a	n/a	ABalappppp	291	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.74
ABalapppppp	n/a	n/a	ABalappppp	291	n/a	n/a	n/a	n/a	n/a	0	22	0.12	2.34
ABalpapaaaa	n/a	n/a	ABalpapaaa	291	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.76
ABalpapaaap	n/a	n/a	ABalpapaaa	291	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.9
ABaraaapaaa	n/a	n/a	ABaraaapaa	291	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.71
ABaraaapaap	n/a	n/a	ABaraaapaa	291	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.38
ABplpapapaa	n/a	n/a	ABplpapapa	291	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.6
ABplpapapap	n/a	n/a	ABplpapapa	291	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.67
ABprpaaaapa	n/a	n/a	ABprpaaaap	291	n/a	n/a	n/a	n/a	n/a	0	22	0.18	3.07
ABprpaaaapp	n/a	n/a	ABprpaaaap	291	n/a	n/a	n/a	n/a	n/a	0	22	0.18	3.21
ABprpaapppa	n/a	n/a	ABprpaappp	291	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1.83
ABprpapapaa	n/a	n/a	ABprpapapa	291	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.45
ABprpapapap	n/a	n/a	ABprpapapa	291	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.59
ABprppppapa	n/a	n/a	ABprppppap	291	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.86
ABprppppapp	n/a	n/a	ABprppppap	291	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.64
MSpaapapa	n/a	n/a	MSpaapap	291	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.21
MSpaapapp	n/a	n/a	MSpaapap	291	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.27
ABalpappaap	n/a	394	ABalpappaa	292	103	n/a	n/a	n/a	n/a	3	22	0.09	1.63
ABalpappaaa	n/a	n/a	ABalpappaa	292	n/a	n/a	n/a	n/a	n/a	0	22	0.14	1.56
ABplppppapa	n/a	n/a	ABplppppap	292	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.78
ABplppppapp	n/a	n/a	ABplppppap	292	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.32
ABprpappppa	n/a	n/a	ABprpapppp	292	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.99
ABprpappppp	n/a	n/a	ABprpapppp	292	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.92
ABpraaaappp	n/a	383	ABpraaaapp	293	89	n/a	n/a	n/a	n/a	3	22	0.05	1.14
ABplpaappaa	n/a	n/a	ABplpaappa	293	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.39
ABplpaappap	n/a	n/a	ABplpaappa	293	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.51
ABplpapappa	n/a	n/a	ABplpapapp	293	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.77
ABplpapappp	n/a	n/a	ABplpapapp	293	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.08
ABplppppaaa	n/a	n/a	ABplppppaa	293	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.35
ABplppppaap	n/a	n/a	ABplppppaa	293	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.51
ABplppppppa	n/a	n/a	ABplpppppp	293	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.9
ABplppppppp	n/a	n/a	ABplpppppp	293	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.63
ABpraaaappa	n/a	n/a	ABpraaaapp	293	n/a	n/a	n/a	n/a	n/a	0	22	0.11	0.64
ABprpaappaa	n/a	n/a	ABprpaappa	293	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.62
ABprpaappap	n/a	n/a	ABprpaappa	293	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.74
ABprpapappa	n/a	n/a	ABprpapapp	293	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.42
ABprpapappp	n/a	n/a	ABprpapapp	293	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.61
ABprppppppa	n/a	n/a	ABprpppppp	293	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.83
ABprppppppp	n/a	n/a	ABprpppppp	293	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.57
ABarapapaap	n/a	390	ABarapapaa	294	99	n/a	n/a	n/a	n/a	4	22	0.1	1.57
ABalapapppa	n/a	n/a	ABalapappp	294	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.58
ABalapapppp	n/a	n/a	ABalapappp	294	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.54
ABarapapaaa	n/a	n/a	ABarapapaa	294	n/a	n/a	n/a	n/a	n/a	0	22	0.1	0.83
ABprppppaaa	n/a	n/a	ABprppppaa	294	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.06
ABprppppaap	n/a	n/a	ABprppppaa	294	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.44
ABarappapap	n/a	407	ABarappapa	295	114	n/a	n/a	n/a	n/a	3	22	0.07	1.16
ABalappappa	n/a	n/a	ABalappapp	295	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.25
ABalappappp	n/a	n/a	ABalappapp	295	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.17
ABalapppaaa	n/a	n/a	ABalapppaa	295	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.82
ABalapppaap	n/a	n/a	ABalapppaa	295	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.36
ABarappapaa	n/a	n/a	ABarappapa	295	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.88
ABplaapaapa	n/a	n/a	ABplaapaap	295	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.38
ABplaapaapp	n/a	n/a	ABplaapaap	295	n/a	n/a	n/a	n/a	n/a	0	22	0.12	2.13
ABpraaappaa	n/a	n/a	ABpraaappa	295	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.86
ABpraaappap	n/a	n/a	ABpraaappa	295	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.63
ABpraapaapa	n/a	n/a	ABpraapaap	295	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.38
ABpraapaapp	n/a	n/a	ABpraapaap	295	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.99
ABprpapppaa	n/a	n/a	ABprpapppa	295	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1.67
ABprpapppap	n/a	n/a	ABprpapppa	295	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.39
MSaapappa	n/a	n/a	MSaapapp	295	n/a	n/a	n/a	n/a	n/a	0	22	0.14	2.65
MSaapappp	n/a	n/a	MSaapapp	295	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.01
MSpapappa	n/a	n/a	MSpapapp	295	n/a	n/a	n/a	n/a	n/a	0	22	0.14	2.55
MSpapappp	n/a	n/a	MSpapapp	295	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.6
ABalppappaa	n/a	n/a	ABalppappa	296	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.85
ABalppappap	n/a	n/a	ABalppappa	296	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.09
ABarappppaa	n/a	n/a	ABarappppa	296	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.99
ABarappppap	n/a	n/a	ABarappppa	296	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.24
ABplppapaaa	n/a	n/a	ABplppapaa	296	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1.76
ABplppapaap	n/a	n/a	ABplppapaa	296	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.76
ABplppaaaap	n/a	392	ABplppaaaa	297	94	n/a	n/a	n/a	n/a	4	22	0.06	1.31
ABalpaapppa	n/a	n/a	ABalpaappp	297	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.15
ABalpaapppp	n/a	n/a	ABalpaappp	297	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.82
ABalppppaad	n/a	n/a	ABalppppaa	297	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.71
ABalppppaav	n/a	n/a	ABalppppaa	297	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.99
ABplppaaaaa	n/a	n/a	ABplppaaaa	297	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.02
ABprppapaaa	n/a	n/a	ABprppapaa	297	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1.44
ABprppapaap	n/a	n/a	ABprppapaa	297	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.49
ABprppaaaap	n/a	388	ABprppaaaa	298	90	n/a	n/a	n/a	n/a	3	22	0.11	1.79
ABalpppapad	n/a	n/a	ABalpppapa	298	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.21
ABalpppapav	n/a	n/a	ABalpppapa	298	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.47
ABprppaaaaa	n/a	n/a	ABprppaaaa	298	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.26
ABpraaapapa	n/a	411	ABpraaapap	299	114	n/a	n/a	n/a	n/a	2	22	0.09	1.36
ABalaaapall	n/a	n/a	ABalaaapal	299	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.55
ABalaaapalr	n/a	n/a	ABalaaapal	299	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.63
ABalppapapa	n/a	n/a	ABalppapap	299	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.89
ABalppapapp	n/a	n/a	ABalppapap	299	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.88
ABplpaaaaaa	n/a	n/a	ABplpaaaaa	299	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.46
ABplpaaaaap	n/a	n/a	ABplpaaaaa	299	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.09
ABplpaapapa	n/a	n/a	ABplpaapap	299	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.56
ABplpaapapp	n/a	n/a	ABplpaapap	299	n/a	n/a	n/a	n/a	n/a	0	22	0.12	1.4
ABplpapppaa	n/a	n/a	ABplpapppa	299	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.83
ABplpapppap	n/a	n/a	ABplpapppa	299	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.71
ABpraaapapp	n/a	n/a	ABpraaapap	299	n/a	n/a	n/a	n/a	n/a	0	22	0.15	1.03
ABalaaapprl	n/a	n/a	ABalaaappr	300	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.54
ABalaaapprr	n/a	n/a	ABalaaappr	300	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.71
ABarapppapa	n/a	n/a	ABarapppap	300	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.3
ABarapppapp	n/a	n/a	ABarapppap	300	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.38
ABplapaaapa	n/a	n/a	ABplapaaap	300	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.68
ABplapaaapp	n/a	n/a	ABplapaaap	300	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.94
ABplpaapaaa	n/a	n/a	ABplpaapaa	300	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.5
ABplpaapaap	n/a	n/a	ABplpaapaa	300	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.79
ABplpppaapa	n/a	n/a	ABplpppaap	300	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.34
ABplpppaapp	n/a	n/a	ABplpppaap	300	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.75
MSaaaappa	n/a	n/a	MSaaaapp	300	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.28
MSaaaappp	n/a	n/a	MSaaaapp	300	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.85
ABplapppapp	n/a	406	ABplapppap	301	103	n/a	n/a	n/a	n/a	3	22	0.08	1.44
ABalapaaapa	n/a	n/a	ABalapaaap	301	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.84
ABalapaaapp	n/a	n/a	ABalapaaap	301	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.77
ABarappappa	n/a	n/a	ABarappapp	301	n/a	n/a	n/a	n/a	n/a	0	22	0.17	2.34
ABarappappp	n/a	n/a	ABarappapp	301	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1.67
ABplapppapa	n/a	n/a	ABplapppap	301	n/a	n/a	n/a	n/a	n/a	0	22	0.09	0.61
ABprpaaaaaa	n/a	n/a	ABprpaaaaa	301	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.47
ABprpaaaaap	n/a	n/a	ABprpaaaaa	301	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.75
ABprpaapaaa	n/a	n/a	ABprpaapaa	301	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.58
ABprpaapaap	n/a	n/a	ABprpaapaa	301	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.85
ABprpaapapa	n/a	n/a	ABprpaapap	301	n/a	n/a	n/a	n/a	n/a	0	22	0.14	2
ABprpaapapp	n/a	n/a	ABprpaapap	301	n/a	n/a	n/a	n/a	n/a	0	22	0.14	1.61
ABplapaaaap	n/a	418	ABplapaaaa	302	113	n/a	n/a	n/a	n/a	2	22	0.06	1.17
ABalpapappa	n/a	n/a	ABalpapapp	302	n/a	n/a	n/a	n/a	n/a	0	22	0.2	2.06
ABalpapappp	n/a	n/a	ABalpapapp	302	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.64
ABaraaapppa	n/a	n/a	ABaraaappp	302	n/a	n/a	n/a	n/a	n/a	0	22	0.08	0.78
ABaraaapppp	n/a	n/a	ABaraaappp	302	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.08
ABaraappaaa	n/a	n/a	ABaraappaa	302	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.59
ABaraappaap	n/a	n/a	ABaraappaa	302	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.38
ABplapaaaaa	n/a	n/a	ABplapaaaa	302	n/a	n/a	n/a	n/a	n/a	0	22	0.14	1.25
ABaraapaaaa	n/a	n/a	ABaraapaaa	303	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.55
ABaraapaaap	n/a	n/a	ABaraapaaa	303	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.43
ABpraaaapad	n/a	n/a	ABpraaaapa	303	n/a	n/a	n/a	n/a	n/a	0	22	0.16	2.09
ABpraaaapav	n/a	n/a	ABpraaaapa	303	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.83
ABprapaaapa	n/a	n/a	ABprapaaap	303	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.88
ABprapaaapp	n/a	n/a	ABprapaaap	303	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.16
ABprpppaaaa	n/a	n/a	ABprpppaaa	303	n/a	n/a	n/a	n/a	n/a	0	21	0.08	1
ABprpppaaap	n/a	n/a	ABprpppaaa	303	n/a	n/a	n/a	n/a	n/a	0	21	0.03	0.66
Cpppaaa	n/a	n/a	Cpppaa	303	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.68
Cpppaap	n/a	n/a	Cpppaa	303	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.75
ABarapppaaa	n/a	n/a	ABarapppaa	304	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.01
ABarapppaap	n/a	n/a	ABarapppaa	304	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.27
ABplpapaaaa	n/a	n/a	ABplpapaaa	304	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.96
ABplpapaaap	n/a	n/a	ABplpapaaa	304	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.65
ABplpappppa	n/a	n/a	ABplpapppp	304	n/a	n/a	n/a	n/a	n/a	0	22	0.08	0.97
ABplpappppp	n/a	n/a	ABplpapppp	304	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.88
ABplpppaaaa	n/a	n/a	ABplpppaaa	304	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.88
ABplpppaaap	n/a	n/a	ABplpppaaa	304	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.79
ABprpppaapa	n/a	n/a	ABprpppaap	304	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.06
ABprpppaapp	n/a	n/a	ABprpppaap	304	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.55
ABplapapppp	n/a	400	ABplapappp	305	91	n/a	n/a	n/a	n/a	2	21	0.04	0.62
ABalppapaaa	n/a	n/a	ABalppapaa	305	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.59
ABalppapaap	n/a	n/a	ABalppapaa	305	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.05
ABplapapppa	n/a	n/a	ABplapappp	305	n/a	n/a	n/a	n/a	n/a	0	21	0.06	0.58
ABplpapaapa	n/a	n/a	ABplpapaap	305	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1.15
ABplpapaapp	n/a	n/a	ABplpapaap	305	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.13
ABprpapaaaa	n/a	n/a	ABprpapaaa	305	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.8
ABprpapaaap	n/a	n/a	ABprpapaaa	305	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.54
ABprpapaapa	n/a	n/a	ABprpapaap	305	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1.41
ABprpapaapp	n/a	n/a	ABprpapaap	305	n/a	n/a	n/a	n/a	n/a	0	22	0.15	1.53
ABprapppapp	n/a	411	ABprapppap	306	103	n/a	n/a	n/a	n/a	3	22	0.06	1
ABarapaaaaa	n/a	n/a	ABarapaaaa	306	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.54
ABarapaaaap	n/a	n/a	ABarapaaaa	306	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.41
ABprapppapa	n/a	n/a	ABprapppap	306	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.5
Caapaa	n/a	n/a	Caapa	306	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.77
Caapap	n/a	n/a	Caapa	306	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.06
ABprapaaaap	n/a	418	ABprapaaaa	307	107	n/a	n/a	n/a	n/a	2	22	0.12	1.37
ABalpaaaaaa	n/a	n/a	ABalpaaaaa	307	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.78
ABalpaaaaap	n/a	n/a	ABalpaaaaa	307	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.62
ABplaapaaaa	n/a	n/a	ABplaapaaa	307	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.27
ABplaapaaap	n/a	n/a	ABplaapaaa	307	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.09
ABpraapaaaa	n/a	n/a	ABpraapaaa	307	n/a	n/a	n/a	n/a	n/a	0	22	0.13	1.5
ABpraapaaap	n/a	n/a	ABpraapaaa	307	n/a	n/a	n/a	n/a	n/a	0	22	0.12	1.76
ABprapaaaaa	n/a	n/a	ABprapaaaa	307	n/a	n/a	n/a	n/a	n/a	0	22	0.14	1.23
ABalaappapa	n/a	n/a	ABalaappap	308	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.66
ABalaappapp	n/a	n/a	ABalaappap	308	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.03
ABalppaappa	n/a	n/a	ABalppaapp	308	n/a	n/a	n/a	n/a	n/a	0	22	0.08	0.87
ABalppaappp	n/a	n/a	ABalppaapp	308	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.06
ABplaapapaa	n/a	n/a	ABplaapapa	308	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.89
ABplaapapap	n/a	n/a	ABplaapapa	308	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.94
ABalaapappa	n/a	n/a	ABalaapapp	309	n/a	n/a	n/a	n/a	n/a	0	22	0.15	1.35
ABalaapappp	n/a	n/a	ABalaapapp	309	n/a	n/a	n/a	n/a	n/a	0	22	0.17	1.67
ABalpaappaa	n/a	n/a	ABalpaappa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.36
ABalpaappap	n/a	n/a	ABalpaappa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.41
ABarappaaaa	n/a	n/a	ABarappaaa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.86
ABarappaaap	n/a	n/a	ABarappaaa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.79
ABplppappaa	n/a	n/a	ABplppappa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.13	1.42
ABplppappap	n/a	n/a	ABplppappa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.15	1.63
ABpraaapaad	n/a	n/a	ABpraaapaa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.48
ABpraaapaav	n/a	n/a	ABpraaapaa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.58
ABpraapapaa	n/a	n/a	ABpraapapa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.11
ABpraapapap	n/a	n/a	ABpraapapa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.08	0.97
ABprppaappa	n/a	n/a	ABprppaapp	309	n/a	n/a	n/a	n/a	n/a	0	22	0.16	1.81
ABprppaappp	n/a	n/a	ABprppaapp	309	n/a	n/a	n/a	n/a	n/a	0	22	0.13	1.4
ABprppappaa	n/a	n/a	ABprppappa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.18	1.71
ABprppappap	n/a	n/a	ABprppappa	309	n/a	n/a	n/a	n/a	n/a	0	22	0.15	1.56
ABprapapppp	n/a	394	ABprapappp	310	86	n/a	n/a	n/a	n/a	2	22	0.08	0.71
ABalpapaapa	n/a	n/a	ABalpapaap	310	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.73
ABalpapaapp	n/a	n/a	ABalpapaap	310	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.8
ABplppaappa	n/a	n/a	ABplppaapp	310	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1.5
ABplppaappp	n/a	n/a	ABplppaapp	310	n/a	n/a	n/a	n/a	n/a	0	22	0.13	1.29
ABprapapppa	n/a	n/a	ABprapappp	310	n/a	n/a	n/a	n/a	n/a	0	22	0.12	1.04
