"","x"
"ABarappapaa",1263
"ABarappapap",1546
"ABarappapapa",1546
"ABarappapapp",1546
"ABarappapp",1567
"ABarappappa",3843
"ABarappappp",3430
"ABarappp",-86
"ABarapppa",-86
"ABarapppaa",-86
"ABarapppaaa",-86
"ABarapppaap",-84
"ABarapppap",-86
"ABarapppapa",-86
"ABarapppapp",-86
"ABarapppp",-86
"ABarappppa",-86
"ABarappppaa",-63
"ABarappppap",-80
"ABarappppp",-86
"ABarapppppa",-86
"ABarapppppaa",-86
"ABarapppppap",-86
"ABarapppppp",-86
"ABarp",-86
"ABarpa",-73
"ABarpaa",-59
"ABarpaaa",-21
"ABarpaaaa",-21
"ABarpaaaaa",-21
"ABarpaaaaal",-21
"ABarpaaaaar",-21
"ABarpaaaap",-12
"ABarpaaaapa",-12
"ABarpaaaapp",-12
"ABarpaaap",-21
"ABarpaaapa",-8
"ABarpaaapaa",-8
"ABarpaaapap",-8
"ABarpaaapp",7
"ABarpaap",-59
"ABarpaapa",1
"ABarpaapaa",1
"ABarpaapap",1
"ABarpaapp",-51
"ABarpaappa",-51
"ABarpaappp",-38
"ABarpap",-73
"ABarpapa",-73
"ABarpapaa",-37
"ABarpapaaa",-36
"ABarpapaaaa",-36
"ABarpapaaap",-36
"ABarpapaap",-37
"ABarpapaapa",-37
"ABarpapaapp",-37
"ABarpapaappa",-37
"ABarpapaappp",-37
"ABarpapap",-35
"ABarpapapa",-35
"ABarpapapp",-30
"ABarpapp",-53
"ABarpappa",-53
"ABarpappaa",-33
"ABarpappap",-50
"ABarpappp",-53
"ABarpapppa",-32
"ABarpapppp",-53
"ABarpp",-63
"ABarppa",-63
"ABarppaa",-36
"ABarppaaa",-36
"ABarppaaaa",-36
"ABarppaaap",-21
"ABarppaap",-36
"ABarppaapa",-36
"ABarppaapp",-15
"ABarppaappa",-15
"ABarppaappp",-15
"ABarppap",-28
"ABarppapa",-28
"ABarppapaa",-28
"ABarppapap",-28
"ABarppapp",-28
"ABarppappa",-28
"ABarppappp",-28
"ABarppp",-46
"ABarpppa",-43
"ABarpppaa",4
"ABarpppaaa",4
"ABarpppaap",4
"ABarpppap",-43
"ABarpppapa",-43
"ABarpppapp",-43
"ABarpppappa",-43
"ABarpppappp",-43
"ABarpppp",-46
"ABarppppa",-46
"ABarppppaa",-46
"ABarppppap",-38
"ABarppppp",-36
"ABarpppppa",-36
"ABarpppppp",-36
"ABp",NA
"ABpl",-238
"ABpla",-33
"ABplaa",-33
"ABplaaa",-33
"ABplaaaa",-33
"ABplaaaaa",-16
"ABplaaaaaa",-16
"ABplaaaaaaa",-16
"ABplaaaaaap",-16
"ABplaaaaap",-16
"ABplaaaaapa",-16
"ABplaaaaapp",-16
"ABplaaaaappa",-16
"ABplaaaaappp",-16
"ABplaaaap",-17
"ABplaaaapa",-17
"ABplaaaapp",-17
"ABplaaap",-27
"ABplaaapa",-23
"ABplaaapaa",-23
"ABplaaapap",-11
"ABplaaapp",-27
"ABplaaappa",-27
"ABplaaappp",-27
"ABplaap",-33
"ABplaapa",-33
"ABplaapaa",-11
"ABplaapaaa",-11
"ABplaapaaaa",-11
"ABplaapaaap",-11
"ABplaapaap",-5
"ABplaapaapa",-5
"ABplaapaapp",-5
"ABplaapap",-33
"ABplaapapa",-33
"ABplaapapaa",-33
"ABplaapapap",-33
"ABplaapapp",-33
"ABplaapappa",-33
"ABplaapappp",-33
"ABplaapapppa",-33
"ABplaapapppp",-33
"ABplaapp",-33
"ABplaappa",-33
"ABplaappaa",-33
"ABplaappap",-33
"ABplaappp",-33
"ABplaapppa",-5
"ABplaapppp",-33
"ABplaappppa",-33
"ABplaappppp",-33
"ABplap",-23
"ABplapa",-23
"ABplapaa",-23
"ABplapaaa",-23
"ABplapaaaa",-23
"ABplapaaaaa",-23
"ABplapaaaap",-23
