Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
ABalappaa,238.009090909091,0,1,0,0,1,0.0932798105767092,59.1,55.32
ABalappaaa,NA,0,0,0,0,0,NA,NA,NA
ABalappaap,337.869230769231,1,0,2,0,3,0.130053532874572,98.2307692307692,119.166666666667
ABalappaapa,NA,0,0,0,0,0,NA,NA,NA
ABalappaapp,NA,0,0,0,0,0,NA,NA,NA
ABalappap,226.290909090909,0,0,0,0,0,0.014663447685072,47.3681818181818,45.52
ABalappapa,330.76875,0,0,0,0,0,0.0812507719096393,102.86875,121.425
ABalappapaa,NA,0,0,0,0,0,NA,NA,NA
ABalappapap,NA,0,0,0,0,0,NA,NA,NA
ABalappapp,293.595454545455,2,0,0,0,2,0.0158658922073861,65.6863636363636,71.06
ABalappappa,NA,0,0,0,0,0,NA,NA,NA
ABalappappp,NA,0,0,0,0,0,NA,NA,NA
ABalappp,170.627272727273,0,1,0,0,1,0.0134185663987753,35.2045454545455,32.26
ABalapppa,217.754545454545,0,0,0,0,0,0.0928699204485151,45.4909090909091,43.26
ABalapppaa,294.031818181818,3,0,0,0,3,0.00014282655130964,74.6545454545455,84.98
ABalapppaaa,NA,0,0,0,0,0,NA,NA,NA
ABalapppaap,NA,0,0,0,0,0,NA,NA,NA
ABalapppap,283.104545454545,3,0,0,0,3,0.0397554874101827,63.7363636363636,69.44
ABalapppapa,400.266666666667,0,0,0,0,0,NA,115.2,NA
ABalapppapaa,NA,0,0,0,0,0,NA,NA,NA
ABalapppapap,NA,0,0,0,0,0,NA,NA,NA
ABalapppapp,NA,0,0,0,0,0,NA,NA,NA
ABalapppp,217.604545454545,0,0,0,0,0,0.150922222062777,45.35,43.3
ABalappppa,277.381818181818,0,0,0,0,0,0.159126752444186,58.1409090909091,59.82
ABalappppaa,398.5,0,0,0,0,0,NA,120.033333333333,NA
ABalappppaaa,NA,0,0,0,0,0,NA,NA,NA
ABalappppaap,NA,0,0,0,0,0,NA,NA,NA
ABalappppap,NA,0,0,0,0,0,NA,NA,NA
ABalappppp,289.836363636364,5,0,0,0,5,3.97587789062182e-05,70.6045454545455,82.56
ABalapppppa,NA,0,0,0,0,0,NA,NA,NA
ABalapppppp,NA,0,0,0,0,0,NA,NA,NA
ABalp,74.0136363636364,0,0,0,0,0,8.09224094049949e-05,17.2363636363636,13.68
ABalpa,101.372727272727,0,1,0,0,1,0.00906437992623795,25.6136363636364,22.56
ABalpaa,132.75,0,2,0,0,2,0.00181675960824679,29.6727272727273,25.28
ABalpaaa,176.472727272727,0,0,0,0,0,0.00174962053817381,42.0863636363636,37.98
ABalpaaaa,231.3,0,1,0,0,1,0.0563413916694475,53.1818181818182,48.5
ABalpaaaaa,306.322727272727,0,0,0,0,0,0.598099993595836,73.3818181818182,75.16
ABalpaaaaaa,NA,0,0,0,0,0,NA,NA,NA
ABalpaaaaap,NA,0,0,0,0,0,NA,NA,NA
ABalpaaaap,316.554545454545,0,0,0,0,0,0.082047805357162,83.6136363636364,78.22
ABalpaaaapa,NA,0,0,0,0,0,NA,NA,NA
ABalpaaaapp,NA,0,0,0,0,0,NA,NA,NA
ABalpaaap,229.377272727273,0,1,0,0,1,0.00848262177345913,51.2636363636364,48.36
ABalpaaapa,313.97619047619,1,0,0,0,1,0.211172142839846,82.9809523809524,88.64
ABalpaaapaa,NA,0,0,0,0,0,NA,NA,NA
ABalpaaapap,NA,0,0,0,0,0,NA,NA,NA
ABalpaaapp,311.913636363636,0,0,0,0,0,0.943707445737328,80.9409090909091,80.66
ABalpaaappa,NA,0,0,0,0,0,NA,NA,NA
ABalpaaappp,NA,0,0,0,0,0,NA,NA,NA
ABalpaap,168.786363636364,0,1,0,0,1,0.0037305430654157,34.3954545454545,30.16
ABalpaapa,210.736363636364,0,0,0,0,0,0.000193908602593415,40.2954545454545,36.78
ABalpaapaa,283.395454545455,1,0,0,0,1,0.663990474585369,71.0090909090909,72.72
ABalpaapaaa,NA,0,0,0,0,0,NA,NA,NA
ABalpaapaap,NA,0,0,0,0,0,NA,NA,NA
ABalpaapap,261.918181818182,0,0,0,0,0,0.0158459678189494,49.5590909090909,46.56
ABalpaapapa,NA,0,0,0,0,0,NA,NA,NA
ABalpaapapp,NA,0,0,0,0,0,NA,NA,NA
ABalpaapp,221.05,0,0,0,0,0,1.14903015832388e-06,50.6227272727273,45.72
ABalpaappa,307.972727272727,0,0,0,0,0,0.139985183418833,85.2772727272727,90.6
ABalpaappaa,NA,0,0,0,0,0,NA,NA,NA
ABalpaappap,NA,0,0,0,0,0,NA,NA,NA
ABalpaappp,296.036363636364,1,0,0,0,1,0.325474566597095,73.3318181818182,76.26
ABalpaapppa,NA,0,0,0,0,0,NA,NA,NA
ABalpaapppp,NA,0,0,0,0,0,NA,NA,NA
ABalpap,132.304545454545,0,1,0,0,1,0.00301539348885528,29.2272727272727,25.28
ABalpapa,171.086363636364,0,1,0,0,1,0.00223738778020518,37.1318181818182,32.84
ABalpapaa,221.786363636364,0,0,0,0,0,0.209302648097134,49.0863636363636,47
ABalpapaaa,289.545454545455,0,0,0,0,0,0.442619944604894,66.1272727272727,67.48
ABalpapaaaa,NA,0,0,0,0,0,NA,NA,NA
ABalpapaaap,NA,0,0,0,0,0,NA,NA,NA
