paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
ABplpaaap 0.0384	-1	-5	3	-2	-2	2	0	1	0	0	1	-2	-2	2	3	0	-1	-1	-1	3	1	0	-3	-4	1	-3	-2
ABplpaaapa 0.0246	2	0		5	-6	4	6	0	0	1	-2	-1	0	7	-2	1	7	-7	-3	-1	-3	-7	10	5	21	21	5
ABplpaaapaa NA																											
ABplpaaapap NA																											
ABplpaaapp 0.0113	-5	-3	-1	-3	-3	3	4	2	-1	-3	3	0	2	0	0	2	2	0	-3	6	-2	-1	8	9	12	11	1
ABplpaaappa NA																			4		-4	0					
ABplpaaappaa NA																											
ABplpaaappap NA																											
ABplpaaappp NA																											
ABplpaap 0.0022	1	1	1	-1	0	1	-1	0	-1	-1	1	-2	0	-2	-1	-1	3	-1	-2	-1	4	0	-5	-3	-4	-5	-2
ABplpaapa 0.0059	-3	-2	1	-2	-2	2	2	0	1	0	1	-1	0	2	3	0	-1	-1	1	0	-1	2	-8	-3	-3	-5	-4
ABplpaapaa 0.0242	-1	-1	1	2	5	3	8	-5	-4	-1	-2	-2	-5	6	-3	-1	-1	-2	10	0	-1	-3	11	-1	10	10	16
ABplpaapaaa NA																											
ABplpaapaap NA																											
ABplpaapap 0	5	-2	3	-1	-1	0	3	9	-1	0	-1	2	-3	4	-6	-2	4	-2	0	0	-4	-7	12	7	13	10	11
ABplpaapapa NA																											
ABplpaapapp NA																											
ABplpaapp 0.0738	-4	-1	4	-3	0	2	0	-1	2	0	0	1	-2	0	4	-1	-1	0	1	-1	-2	1	-7	-3	-1	-1	-2
ABplpaappa 0.0542	-1	-2	7	-1	0	-1	-4	2	2	-1	-2	-1	-3	5	-2	0	6	1	-1	-1	-3	-2	9	-3	9	9	10
ABplpaappaa NA																											
ABplpaappap NA																											
ABplpaappp 0.083	2	0	5	0	-3	1	-5	1	3	0	-2	-3	-2	4	1	-1	5	-1	-3	0	-2	0	5	-3	4	9	8
ABplpaapppa NA																											
ABplpaapppp NA																			3		-4	1					
ABplpaappppa NA																											
ABplpaappppp NA																											
ABplpap 0.0065	1	0	0	-2	1	-1	-2	0	-1	0	1	0	1	0	0	1	0	1	0	-2	1	1	-4	-1	-5	-3	-3
ABplpapa 0.0134	-1	-1	0	-2	-1	1	2	0	2	0	2	-1	-1	-2	0	0	0	0	1	-2	2	1	-4	0	-3	-3	-2
ABplpapaa 0.0131	-2	-1	-2	-1	-1	2	3	1	-1	1	0	2	-4	1	1	1	0	-2	-2	0	0	3	-4	-7	-2	-1	-5
ABplpapaaa 0.2417	0	1	10	3	-1	-1	-4	3	-21	5	-1	0	1	-3	1	-5	2	-2	3	7	0	3	-1	-3	12	8	3
ABplpapaaaa NA																											
ABplpapaaap NA																											
ABplpapaap 0.0931	-2	2	7	0	0	0	-5	-3	2	-1	-1	3	-2	10	-4	1	-2	1	3	1	-6	-3	7	-2	6	12	3
ABplpapaapa NA																											
ABplpapaapp NA																											
ABplpapap 0.7328	-2	1	0	-1	-1	2	2	3	1	-1	0	0	-1	-1	-1	1	-2	0	-2	1	0	1	-4	-2	2	-1	2
ABplpapapa 0.1154	-1	-4	3	0	2	3	7	-1	4	0	-1	1	-2	0	-1	-3	1	-4	-2	0	-1	-2	8	1	4	4	-1
ABplpapapaa NA																											
ABplpapapap NA																											
ABplpapapp 0.0073	2	0	6	-2	-2	-2	1	2	1	-4	-1	-4	3	5	0	-3	7	-3	0	3	-1	-8	8	1	8	9	7
ABplpapappa NA																											
ABplpapappp NA																											
ABplpapp 0.0358	-2	0	1	-1	-1	0	1	-2	1	1	3	-1	0	-1	-1	-1	-1	-1	0	-1	1	1	-3	-1	-3	-4	0
ABplpappa 0.075	0	1	-1	-3	0	1	1	0	1	1	1	-2	-1	1	4	-1	-3	2	0	0	2	0	1	3	1	1	0
ABplpappaa 0.1107	-3	-11	2	1	3	4	3	2	-4	3	0	0	-2	0	0	-2	1	4	-1	2	-3	1	6	0	0	7	2
ABplpappaaa NA																											
ABplpappaap NA																											
ABplpappap NA																											
ABplpappp 0.278	-1	-1	1	-1	-1	5	1	1	-3	2	6	-4	-3	-1	6	-3	0	0	3	-3	0	-4	-3	-4	2	-2	0
ABplpapppa 0.0204	2	-1	5	-4	-1	6	4	-1	2	4	1	-3	-2	5	-3	-1	4	-5	-5	-5	-5	3	1	5	12	5	8
ABplpapppaa NA																											
ABplpapppap NA																											
ABplpapppp 0.2969	-1	-1	7	-1	3	6	5	-4	-1	9	-2	4	-5	0	-1	-2	-2	-5	2	-4	-3	-5	3	-9	14	2	19
ABplpappppa NA																											
ABplpappppp NA																											
ABplpp 0.0055	1	-1	0	-2	1	-2	0	0	-1	0	1	3	3	-1	0	1	-1	1	-2	-2	0	1	-4	-3	-8	-4	-3
ABplppa 0.0036	1	2	-3	-2	3	-2	1	0	0	1	3	-1	-2	0	-1	1	1	0	-1	0	0	0	-5	-2	-5	-5	-2
ABplppaa 3e-04	0	0	1	-3	1	5	5	0	-2	0	3	-1	-2	-3	2	0	-1	-3	-2	-2	2	0	-6	-3	-7	-4	-4
ABplppaaa 0.1506	1	-1	1	0	2	0	2	-1	0	3	1	-2	-3	-2	0	0	-2	-1	1	1	-1	2	-5	-2	0	0	0
ABplppaaaa 0.0303	1	-2	-1	-1	3	4	-2	4	0	0	0	0	-1	-2	-3	-1	-2	-1	0	2	-1	3	2	0	3	3	1
ABplppaaaaa NA																											
ABplppaaaap 0.5527															0				9		-14	5		0			-10
ABplppaaaapa NA																											
ABplppaaaapp NA																											
ABplppaaap NA																											
ABplppaap 0.2924	1	0	0	0	2	-1	2	-1	0	0	-1	-1	-1	-1	2	-1	-1	0	1	-1	1	0	0	-2	5	8	0
ABplppaapa 0.5392	-8	4	2	-2	3	5		-2	9	1	-5	-1	-2	1	-5	-3	6	0	-2	0	-2	-1	8	-2	0	-2	3
ABplppaapaa NA																											
ABplppaapap NA																											
ABplppaapp 0.2209	-5	-5	4	1	13	0	3	1	1	-2	-3	1	0	5	1	-4	-3	-4	-1	6	-2	-6	1	-2	10	0	7
ABplppaappa NA																											
ABplppaappp NA																											
ABplppap 0.0028	0	-1	1	-2	0	2	3	2	0	0	2	-5	-1	-3	0	1	2	-1	-2	-2	3	0	-6	-2	-5	-4	-3
ABplppapa 0.7929	-1	0	-1	-2	1	0	2	-1	2	1	1	1	-2	-1	0	0	0	2	1	1	-2	-1	-3	1	2	1	-2
ABplppapaa 0.0064	3	0	1	-1	-1	0	2	1	3	-1	-2	-2	1	2	-4	-2	-1	2	-1	1	0	-3	7	2	6	9	10
ABplppapaaa NA																											
ABplppapaaaa NA																											
ABplppapaaap NA																											
ABplppapaap NA																											
ABplppapap 0.4011	-4	1	2	-2	5	-7		7	-1	3	-1	3	8	-2	-1	0	5	-5	-6	3	-2	-3	9	-4	7	-4	6
ABplppapapa NA																											
ABplppapapp NA																											
ABplppapp 0.3043	-3	-1	-1	-2	5	1	3	1	1	2	-1	3	-4	0	-1	-2	-1	-1	3	2	-1	-1	-4	2	5	13	1
ABplppappa 0.0033	-1	-1	4	-5	-2	-2	3	6	1	1	-3	-2	4	4	-2	-2	5	-4	-3	-2	-2	1	22	12	18	7	16
ABplppappaa NA																											
ABplppappap NA																											
ABplppappp 0.002	5	-1		-3	6	-6		0	3	2	-5	-1	5	14	-9	2	-2	1	-4	9	-7	-9	10	7	18	11	18
ABplppapppa NA																											
ABplppapppp NA																											
ABplppp 7e-04	1	1	-1	-1	2	-2	-1	1	0	-1	3	-1	0	-1	-1	0	1	0	-1	-2	2	0	-5	-2	-5	-5	-4
ABplpppa 0.0135	1	1	0	-2	-1	-1	2	0	0	2	2	-2	-1	-1	0	0	1	1	-2	-2	2	1	-1	-2	-5	-2	-2
ABplpppaa 0.031	-3	0	-1	0	3	6	2	-1	0	-2	0	-1	0	-1	0	0	-1	-3	1	1	1	0	0	-8	-4	-3	-5
ABplpppaaa 0.0098	-6	2	7	2	-8	-2	3	-3	-1	6	-3	-2	-1	4	-3	3	7	-4	4	1	-1	-6	9	2	7	10	4
ABplpppaaaa NA																											
ABplpppaaap NA																											
ABplpppaap 0.2477	1	2	9	-5	-2	-2	0	1	4	0	-3	-3	-1	0	-1	1	2	-4	0	-1	0	1	2	2	0	11	-1
ABplpppaapa NA																											
ABplpppaapaa NA																											
ABplpppaapap NA																											
ABplpppaapp NA																											
ABplpppap 0.8993	-3	0	2	-2	5	3	2	0	-2	1	0	1	-2	0	1	0	0	-2	-1	0	-1	-2	3	-1	-2	1	-2
ABplpppapa 0.095	1	-2	0	1	2	-1	3	1	2	7	-2	-3	0	-1	-2	-4	1	-2	1	-3	2	-1	6	18	1	-1	16
ABplpppapaa NA																											
ABplpppapap NA																											
ABplpppapp NA																											
ABplpppp 0.0162	2	2	-1	-1	0	0	1	0	1	1	0	-1	-1	-1	1	-1	1	-1	-3	-1	1	0	-1	-1	-4	-5	-3
ABplppppa 0.2484	-1	-2	1	-2	1	0	1	-1	0	1	1	-1	-2	-2	1	1	0	1	0	1	1	2	5	-1	2	1	1
ABplppppaa 0.3305	4	-2	9	2	-1	-1	0	1	7	2	-3	3	-7	-6	-6	-1	4	-4	0	0	-1	-2	-1	5	7	3	-3
ABplppppaaa NA																											
ABplppppaap NA																											
ABplppppap 0.0931	3	-3	8	2	-4	2	4	-2	3	-3	4	0	-1	-1	-6	-2	0	-2	-1	4	-2	0	1	3	2	4	-1
ABplppppapa NA																											
ABplppppapp NA																											
ABplppppp 0.0799	-3	-3	1	-2	4	0	4	2	0	0	3	-2	0	-1	-2	4	-1	-2	-1	-1	0	0	5	1	-1	4	5
ABplpppppa 0.0015	-3	-3	4	-3	-4	-2	1	1	-2		12	-3	-4	25	-5	4		-7	-2	0	-2	-9	14	12	27	20	28
ABplpppppaa NA																											
ABplpppppap NA																											
ABplpppppp 0.8846	-1	0	6	6	4	-5	1	4	7	1	0	1	3	-4	0	-5	-2	-8	-9	-3	-1	5	-1	2	-3	2	-1
ABplppppppa NA																											
ABplppppppp NA																											
ABpr 0.0151	3	-6	3		-3	2	1	3	-3	-7	-6	-5	3	1	3	3	3	2	1	2	2	-2	-8	-6	-3	-1	-4
ABpra 0.0012	3	2	0	-6	0	1	0	0	1	0	1	0	-1	0	-1	1	0	0	0	-1	1	0	-3	-2	-5	-3	-2
ABpraa 3e-04	3	0	-2	-2	1	-2	-2	0	-1	0	4	0	3	-1	0	-1	-1	0	-2	-2	3	1	-3	-3	-4	-6	-5
ABpraaa 2e-04	0	1	-2	-2	-1	0	-2	0	-1	0	2	-1	-1	-1	1	3	1	1	1	-1	0	0	-3	-3	-5	-2	-3
ABpraaaa 0.007	2	-1	0	-3	-2	1	2	-3	-3	-1	2	0	-2	0	2	0	2	1	0	0	2	-1	-4	-3	-2	-1	-4
ABpraaaaa 0.0017	-3	0	6	-1	-1	5	2	-1	0	-2	-3	3	-3	-2	-1	2	-2	6	0	-2	0	-1	-3	-2	-6	-3	-3
ABpraaaaaa 0.0052	-1	1		0	-4	3	-1	8	-4	-1	-4	1	0	15	0	-1	0	-4	-2	-2	-3	-2	22	6	12	12	13
ABpraaaaaaa NA																											
ABpraaaaaap NA																											
ABpraaaaap 0.0125	-2	0		4	2		-6	6	-3	-5	-6	4	10	6	4	5	0	-2	-7	-2	-2	-5	27	10	17	7	28
ABpraaaaapd NA																											
ABpraaaaapv NA																											
ABpraaaap 0.0292	-3	-1	-2	2	0	1	0	1	0	2	-1	-1	-2	0	0	-2	1	3	1	0	0	2	-1	-3	-5	-1	-5
ABpraaaapa 0.1697	3	-3	-1	-3	-3	4	3	6	4	6	0	-1	-2	1	-1	-1	4	-5	-5	-4	-1	-3	9	0	14	19	-5
ABpraaaapad NA																											
ABpraaaapav NA																											
ABpraaaapp 0.1424	0	0	-5	0	2	4	-3	-1	4	0	-4	1	-4	2	9	1	0	1	-3	-1	-1	-1	14	-1	1	5	5
ABpraaaappa NA																											
ABpraaaappp NA																			-3		3	0		11			
ABpraaaapppa NA																											
ABpraaaapppp NA																											
ABpraaap 0.0096	1	0	0	-2	-1	1	0	-1	-1	0	2	-1	-1	-1	0	-1	1	1	1	0	2	0	-3	0	-3	-3	-2
ABpraaapa 0.0278	-2	-3	-2	-1	1	4	1	0	2	-1	2	0	-1	1	-1	-1	-2	0	0	2	2	1	-2	0	-2	-1	-3
ABpraaapaa 0.0656	0	-6	9	1	4	3	0	1	7	-2	3	0	1	1	-7	-2	-3	-1	-3	1	0	-9	6	1	16	1	14
ABpraaapaad NA																											
ABpraaapaav NA																											
ABpraaapap 0.037	-2	-7	1	4	8	0	0	4	1	-5	-1	0	0	0	1	4	-4	-1	-6	2	3	-2	4	5	10	0	10
ABpraaapapa NA																			1			-1					
ABpraaapapaa NA																											
ABpraaapapap NA																											
ABpraaapapp NA																											
ABpraaapp 0.1167	-1	-3	0	-2	1	2	0	-1	0	2	-1	-1	-2	3	1	-2	-1	1	-1	2	0	2	-3	0	-2	-1	-1
ABpraaappa 0.593	-2	-1	6	-2	-2	4	-2	-1	4	8	3	5	0	-2	2	-2	2	-5	-5	-7	-3	0	3	-2	-2	-4	1
ABpraaappaa NA																											
ABpraaappap NA																											
ABpraaappp 0.2199	0	-1	-1	2	-2	1	2	2	0	0	-1	4	1	-1	2	-4	-2	-3	1	1	1	0	0	2	2	0	1
ABpraaapppa 0.03		-3													12	-1	-3		-5	4	-1	-3	-7	-2		-8	-10
ABpraaapppaa NA																											
ABpraaapppap NA																											
ABpraaapppp 0.1268		2													0	3	0	1	-2	-5	1	0	1	-1	3	9	9
ABpraaappppa NA																											
ABpraaappppp NA																											
ABpraap 0.0175	0	1	-2	-2	-1	1	-2	0	-3	-2	3	-1	-1	-1	1	1	2	2	1	0	2	0	-5	-2	-6	-2	-2
ABpraapa 0	2	0	-2	-4	-3	2	0	0	-2	-2	1	-1	-1	-1	3	3	0	2	-1	0	1	2	-3	-2	-4	-2	-3
ABpraapaa 0.0011	0	-1	-2	-1	-3	1	1	0	1	-1	-1	0	1	1	3	1	-2	0	1	0	2	1	-4	-3	-4	-1	-3
ABpraapaaa 0.5643	1	0	0	1	-3	3	-1	-2	4	-2	4	0	1	2	3	3	1	-8	-3	-2	3	-4	1	-5	9	5	-2
ABpraapaaaa NA																											
ABpraapaaap NA																											
ABpraapaap 0.1043	-1	-1	5	4	-2	3	1	3	0	-1	-2	-3	-1	3	3	-2	0	-2	-2	0	0	-5	4	0	11	12	0
ABpraapaapa NA																											
ABpraapaapp NA																											
ABpraapap 0.0384	0	-2	2	-1	-3	-1	-1	-2	1	1	1	-2	-3	3	3	-1	-2	3	2	2	-1	3	0	-2	0	-2	-3
ABpraapapa 0.0184	-2	-2	2	1	-4	4	0	-1	0	-4	-1	3	2	-3	-1	1	1	-2	7	1	-2	0	14	4	12	2	8
ABpraapapaa NA																											
ABpraapapap NA																											
ABpraapapp 0.0832	4	1	1	0	-3	2	-2	2	2	-2	0	-1	1	2	-2	-2	0	0	-1	2	-3	0	8	3	1	2	1
ABpraapappa NA																											
ABpraapappp NA																			-1		1	-1		10			
ABpraapapppa NA																											
ABpraapapppp NA																											
ABpraapp 0.014	0	0	-2	0	0	0	0	-2	-2	-2	2	-1	0	0	1	1	-1	2	-1	-1	1	2	-1	-1	-3	-3	-4
ABpraappa 0	-3	-2	1	-1	4	1	0	-1	1	0	1	-3	-3	2	2	0	-2	4	1	1	-2	2	-9	-7	-9	-8	-10
ABpraappaa NA																											
ABpraappap NA																											
ABpraappp 0.0788	0	-1	0	-3	0	2	-1	-2	-2	-1	1	0	-1	0	1	1	-1	5	1	1	0	1	-4	0	0	-1	-3
ABpraapppa NA																											
ABpraapppp NA																											
ABprap 0.0024	1	0	-2	-2	1	-2	-1	0	-1	0	2	2	1	-1	0	-1	1	0	-2	-2	2	1	-4	-1	-5	-4	-3
ABprapa 0.0046	2	-1	-2	0	1	-1	-2	0	-1	-2	2	1	0	0	1	1	1	2	1	-1	0	0	-2	-2	-5	-3	-2
ABprapaa 8e-04	-3	3	3	-2	1	3	3	0	0	-2	-1	-1	-3	-2	2	0	-1	1	-1	-2	0	3	-5	-2	-5	-4	-3
ABprapaaa 0.0205	0	1	-1	-1	-1	3	0	0	-1	1	1	0	-2	1	3	-1	0	1	-3	-1	1	0	-3	-1	-3	-5	-1
ABprapaaaa 0.0713	3	2	0	-3	-2	-3	-5	1	7	0	-5	-2	-3	3	-2	0	0	2	4	-1	1	1	13	5	27	7	2
ABprapaaaaa NA																											
ABprapaaaap NA																					3	-3					
ABprapaaaapa NA																											
ABprapaaaapp NA																											
ABprapaaap 0.0119	-3	-3	5	-2	-1	-2	-2	3	2	-6	-2	-1	-1	6	3	2	-5	-2	8	0	-5	6	15	1	20	18	16
ABprapaaapa NA																											
ABprapaaapad NA																											
ABprapaaapav NA																											
ABprapaaapp NA																											
ABprapaap 0.4009	-1	-1	-4	-2	0	0	-2	-1	-2	0	1	6	-2	-1	2	0	1	5	-1	4	-2	0	-6	-1	0	-1	1
ABprapaapa NA																											
ABprapaapp NA																											
ABprapap 2e-04	1	1	0	-1	1	1	3	1	-1	-1	0	-2	-1	-1	0	-2	1	1	-1	-1	0	1	-2	-4	-3	-4	-2
ABprapapa 0.0752	1	0	0	-3	-1	-1	2	-4	-1	-3	3	0	-1	1	2	1	-1	3	3	0	0	-1	-4	2	-4	-3	-3
ABprapapaa NA																											
ABprapapaaa NA																											
ABprapapaap NA																											
ABprapapap NA																											
ABprapapp 0.1252	-1	0	0	-1	0	1	2	-2	0	-1	2	0	0	1	0	-1	1	1	-1	1	1	-2	-6	0	-1	-4	0
ABprapappa NA																											
ABprapappp 0.0911	6	-6	-2	5	0	-1	0	5	-1	0	1	2	1	11	0	-5	-1	-2	-4	-2	-4	-4	-4	19	7	7	15
ABprapapppa NA																											
ABprapapppp NA																					4	-4					
ABprapappppa NA																											
ABprapappppaa NA																											
ABprapappppap NA																											
ABprapappppp NA																											
ABprapp 0	3	0	-1	-1	0	0	-1	-1	0	-3	2	-2	1	0	0	0	2	0	-1	-1	0	1	-4	-2	-4	-3	-3
ABprappa 0.2535	2	0	-1	-3	1	2	2	-1	-3	-1	2	-1	-2	-2	-1	-2	-1	3	3	-1	2	2	-3	-2	-4	1	1
ABprappaa 0.0187	-1	-3	-1	-3	2	2	0	-1	-1	-3	3	-1	0	3	2	2	0	0	-1	1	-1	0	-4	-2	-2	-3	0
ABprappaaa NA																											
ABprappaap NA																											
ABprappap 0.2334	-2	-1	0	-1	1	-1	3	-3	-1	-1	4	-2	1	5	-1	-1	-1	0	0	0	0	-1	-4	4	2	7	2
ABprappapa NA																											
ABprappapp NA																											
ABprappp 0.3534	2	0	0	-3	-1	1	0	1	-1	0	0	1	-2	-1	2	0	-1	1	-2	1	2	0	-1	-2	-1	2	-2
ABprapppa 0.0958	4	-3	-2	-3	-1	2	2	-1	-1	-2	1	1	-3	-2	0	1	0	1	1	1	3	2	0	-5	-7	0	-5
ABprapppaa 0.5482		10		0	8		-3	1	-7	-4	-2	-1	3	0	-3	-1	17	-7	-6	1	1	-7	10	-10	-5	-3	-4
ABprapppaaa NA																											
ABprapppaap NA																											
ABprapppap 0.3001	5	-3	-1	6	4	-4	1	-2	2	-4	-3	2	-1	2	-2	-3	9	-3	-2	-3	4	-5	4	-5	3	5	4
ABprapppapa NA																											
ABprapppapp NA																			3		-5	1					
ABprapppappa NA																											
ABprapppappp NA																											
ABprapppp 0.4712	1	0	-3	1	1	2	1	-2	-3	-1	1	5	1	-2	1	-1	-3	2	0	-2	0	1	2	-3	-1	7	2
ABprappppa NA																											
ABprappppp NA																											
ABprp 0	3	2	-1	-7	-1	0	0	0	1	-1	2	1	0	-1	0	0	0	1	0	-1	1	1	-4	-2	-4	-3	-3
ABprpa 0.0052	2	1	-1	-1	2	-2	-1	1	0	-1	1	0	-2	0	-1	0	2	1	-1	-1	1	-2	-3	-2	-6	-5	-2
ABprpaa 0.0032	2	0	-2	-1	2	-1	-1	0	-1	0	2	0	1	-1	0	1	0	-1	-2	-1	1	1	-4	-1	-4	-3	-3
ABprpaaa 0.0092	0	2	-2	-2	-2	2	3	0	0	1	0	-1	1	-3	0	1	2	-1	1	-2	0	0	-3	-1	-4	-5	-4
ABprpaaaa 0.0154	-1	-2	-2	-1	-3	1	-2	0	0	3	-2	2	-1	-1	3	-2	0	1	2	1	1	2	-6	-3	-1	-2	-4
ABprpaaaaa 0.1245	-6	-3	1	2	-2	3	0	1	-1	3	-4	-4	5	0	-1	3	-2	5	2	1	-1	0	6	-2	17	7	2
ABprpaaaaaa NA																											
ABprpaaaaap NA																											
ABprpaaaap 0.0267	-1	1	2	1	-5	6	3	-3	4	-3	-4	-1	1	0	-1	-3	3	1	2	-1	-2	-1	8	1	7	3	4
ABprpaaaapa NA																											
ABprpaaaapp NA																											
ABprpaaap 0.1493	-1	0	1	0	-2	0	2	-1	-1	-1	2	1	-2	-2	2	-1	1	1	-1	2	-2	1	-3	-1	1	-1	-2
ABprpaaapa 8e-04	-1	-2	0	-2	-6	2	0	1	2	-2	-5	2	1	8	-4	5	7	-5	-1	6	-3	-3	7	10	15	17	14
ABprpaaapaa NA																											
ABprpaaapap NA																											
ABprpaaapp 0.0363	5	-2	-3	0	0	-1	2	4	4	-8	-2	-2	0	2	3	4	0	-1	0	-2	-2	-2	5	3	1	9	2
ABprpaaappa NA																			-1		0	1					
ABprpaaappaa NA																											
ABprpaaappap NA																											
ABprpaaappp NA																											
ABprpaap 0	0	1	-2	-1	0	2	1	-1	0	1	1	-2	-2	-2	-1	0	3	0	0	1	0	0	-5	-3	-4	-4	-3
ABprpaapa 0.0025	0	-1	-1	1	-1	3	1	0	1	-1	1	-1	-1	0	1	1	-2	-1	0	1	-1	0	-5	-3	-2	-4	-3
ABprpaapaa 0.16	2	0	-4	1	6	4	-2	3	0	1	-2	1	-4	1	-3	-1	0	1	3	1	-5	-2	1	3	12	19	-2
ABprpaapaaa NA																											
ABprpaapaap NA																											
ABprpaapap 0.0235	1	0	-1	2	1	-1	4	4	-1	1	-5	-2	3	-2	-5	2	6	-1	0	1	-6	2	9	16	8	13	0
ABprpaapapa NA																											
ABprpaapapp NA																											
ABprpaapp 0.0127	0	0	-4	0	-3	3	2	2	0	0	0	-3	-2	1	3	1	-3	-1	0	3	-1	2	-3	-1	-1	-2	-4
ABprpaappa 0.0011	3	-2	-1	2	1	3	-1	-2	1	0	2	0	-2	1	-4	-2	-2	0	4	-3	-2	4	7	9	15	11	8
ABprpaappaa NA																											
ABprpaappap NA																											
ABprpaappp 0.0141	2	0	-4	1	-2	3	-1	2	0	-1	0	0	4	-2	0	0	-2	1	-6	3	-3	3	1	4	2	4	1
ABprpaapppa NA																											
ABprpaapppp NA																			11		-11	0					
ABprpaappppa NA																											
ABprpaappppp NA																											
ABprpap 4e-04	2	0	-1	0	1	-1	0	0	-1	0	3	-1	2	0	-1	1	0	0	-1	-1	0	0	-3	-2	-5	-3	-4
ABprpapa 0.1464	2	0	0	0	0	0	1	0	0	-2	0	-1	0	-3	0	1	3	0	-1	-2	1	0	-1	1	-2	-1	-3
ABprpapaa 1e-04	-2	-2	1	1	-3	2	2	1	-1	0	0	-2	-1	0	4	1	-3	2	0	0	-2	1	-4	-2	-2	-3	-3
ABprpapaaa 0.5998	1	-4	4	0	3	-3	6	-3	2	-4	-3	6	-3	11	2	4	-4	-4	-8	1	-1	-1	-1	-2	6	6	-3
ABprpapaaaa NA																											
ABprpapaaap NA																											
ABprpapaap 0.0341	-1	-1	2	-2	7	-2	5	0	2	-1	-2	3	-2	2	-1	-1	-3	1	-2	-2	-1	0	0	4	11	10	13
ABprpapaapa NA																											
ABprpapaapp NA																											
ABprpapap 0.1242	-4	-1	0	1	-3	2	1	-1	1	2	-1	0	0	0	2	1	-2	1	1	1	0	-1	-1	-2	1	-4	-5
ABprpapapa 2e-04	-2	1	1	2	-1	2	0	-1	1	-1	-3	0	0	-2	-1	3	0	-1	2	0	0	-2	6	5	5	5	2
ABprpapapaa NA																											
ABprpapapap NA																											
ABprpapapp 0.0014	-1	2	2	0	0	0	2	1	4	-2	-4	3	2	-2	-4	2	1	1	0	-1	-2	-4	4	3	4	7	6
ABprpapappa NA																											
ABprpapappp NA																											
ABprpapp 0.003	-1	0	-2	0	-2	1	1	0	0	0	1	-1	1	-1	2	-1	2	1	-1	0	0	2	-3	-1	-3	-3	-3
ABprpappa 0.1245	0	-3	2	-1	0	4	-1	0	-1	1	-1	-4	-3	0	2	1	-2	2	1	1	0	1	4	5	7	4	-3
ABprpappaa 0.7774	-2	1	-5	1	-5	1	3	4	1	2	-2	2	0	-3	2	1	-1	3	-2	1	-1	-1	-11	1	7	9	-1
ABprpappaaa NA																											
ABprpappaap NA																											
ABprpappap 0.2629	0	-1	2	3	0	-1	3	-1	1	0	-4	1	-2	2	-3	-3	-2	5	-7	3	4	-2	-1	-1	6	8	0
ABprpappapa NA																											
ABprpappapp NA																											
ABprpappp 0.1354	-2	-2	1	-1	1	4	-2	2	0	-1	1	-5	-2	0	1	0	-2	0	-1	0	1	6	3	6	7	2	-3
ABprpapppa 0.028	0	-2	0	-3	-2	2	-3	3	-2	-1	-4	-1	-1	2	-4	1	1	4	2	8	1	0	4	8	18	11	27
ABprpapppaa NA																											
ABprpapppap NA																											
ABprpapppp 0.2633	-3	0	-1	-1	4	0	1	2	-1	4	-2	3	-1	3	-3	-3	-1	0	-4	3	-1	-1	2	-3	2	2	5
ABprpappppa NA																											
ABprpappppp NA																											
ABprpp 0.0079	2	0	0	0	3	0	-1	0	-1	-1	1	-1	0	0	-1	0	1	0	-1	0	0	0	-4	-1	-5	-5	-3
ABprppa 0.0069	1	1	-3	-2	1	-2	1	0	0	1	3	-1	0	0	-1	2	-1	1	-1	-2	2	1	-4	-2	-7	-5	-2
ABprppaa 0.0284	3	2	-2	-1	-1	2	0	2	-2	0	2	1	1	-2	2	-2	0	-1	-1	-1	-2	-1	-6	-2	-3	-1	-6
ABprppaaa 0.2022	-3	0	-1	0	0	1	3	0	-1	-1	0	0	2	0	1	-1	-2	0	0	-1	1	1	4	-1	-1	2	3
ABprppaaaa 0.0091	-1	4	1	-1	1	-1	1	2	1	-2	2	-3	3	1	2	-2	-4	1	-1	-2	-3	1	6	2	6	2	5
ABprppaaaaa NA																											
ABprppaaaap NA																			3		-5	2					
ABprppaaaapa NA																											
ABprppaaaapp NA																											
ABprppaaap NA																											
ABprppaap 0.2941	0	-3	0	-3	-1	2	1	1	-4	1	0	0	-1	-2	1	1	-2	5	0	-1	2	4	1	0	-2	4	5
ABprppaapa 0.0935	0	5	-1	4	-2	0	3	-3	6	-4	-3	1	-2	6	-5	-2	2	-1	-5	-3	5	0	9	3	23	1	7
ABprppaapaa NA																											
ABprppaapap NA																											
