paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
ABalpaaap 0.0085	-2	-3	2	1	-1	-1	0	0	-1	3	1	-1	0	-1	-2	3	-2	1	0	2	2	0	-5	-1	-2	-4	-3
ABalpaaapa 0.2112	0	-1		5	-1	-6	2	-3	-2	0	-5	-3	1	7	-5	-1	3	3	0	3	5	-4	3	-7	10	15	8
ABalpaaapaa NA																											
ABalpaaapap NA																											
ABalpaaapp 0.9437	-3	1	8	4	5	-9	-4	-5	0	9	5	-1	-2	7	-5	1	1	2	-5	-3	-4	-3	-2	-11	0	12	-1
ABalpaaappa NA																											
ABalpaaappp NA																											
ABalpaap 0.0037	2	1	0	-2	-1	-1	2	-1	-1	0	3	-2	1	-2	-3	0	0	1	3	0	0	1	-4	-2	-7	-4	-4
ABalpaapa 2e-04	0	-2	2	-2	-2	-2	2	-1	-1	2	1	0	-1	0	-3	0	1	2	1	3	1	-1	-4	-4	-4	-4	-2
ABalpaapaa 0.664	-5	1	4	-1	-2	-2	1	2	-3	6	0	-3	-2	-5	0	-2	-3	5	-2	10	-1	0	15	-2	-1	-5	1
ABalpaapaaa NA																											
ABalpaapaap NA																											
ABalpaapap 0.0158	1	0	-3	-1	3	3	5	-2	3	-1	0	-1	-3	0	-3	-1	1	1	-3	2	-1	-1	-1	-2	-3	-6	-3
ABalpaapapa NA																											
ABalpaapapp NA																											
ABalpaapp 0	-1	0	1	-3	-6	-2	5	2	-2	1	3	-1	0	3	-5	2	-5	3	2	1	3	-1	-5	-6	-5	-4	-6
ABalpaappa 0.14	8	-4	9	-3	2	-2	0	1	-1	5	1	0	8	14	1	-11	-2	-8	-10	-7	4	-3	15	1	-1	7	5
ABalpaappaa NA																											
ABalpaappap NA																											
ABalpaappp 0.3255	0	-2	10	-5	-2	-3	0	-2	1	2	7	0	2	2	-2	-5	3	-1	-1	-2	1	-2	2	-4	6	11	-1
ABalpaapppa NA																											
ABalpaapppp NA																											
ABalpap 0.003	0	1	-1	0	1	-1	1	0	0	-1	1	1	-2	-2	1	1	-2	-1	-1	-1	2	2	-3	-2	-6	-5	-4
ABalpapa 0.0022	1	1	-1	-3	0	0	-1	-1	-2	-1	3	-2	0	-1	1	0	3	2	2	-1	1	-1	-4	-3	-4	-7	-3
ABalpapaa 0.2093	-3	-2	1	0	-2	0	2	-1	0	2	0	3	-2	0	0	2	-1	-1	1	3	1	0	-5	-1	-4	-4	3
ABalpapaaa 0.4426	-3	-1	4	-1	-2	2	-1	-3	4	3	-3	0	1	-2	2	0	4	-5	1	0	0	0	-2	0	0	2	7
ABalpapaaaa NA																											
ABalpapaaap NA																											
ABalpapaap 0.628	-6	2	5	3	-2	2	5	7	-3	-7	5	3	2	1	-4	5	8	-8	-6	-5	-4	-2	2	-1	5	5	-5
ABalpapaapa NA																											
ABalpapaapp NA																											
ABalpapap 0.1724	0	0	0	-1	-1	1	2	-2	1	1	-1	0	-3	1	-1	1	-2	-1	3	2	0	-1	1	0	-2	-3	-5
ABalpapapa 0.0623	5	-2	2	-3	-3	1	1	0	2	-1	-2	3	-1	1	-2	1	2	-1	-3	1	0	0	3	-1	4	1	4
ABalpapapaa NA																											
ABalpapapap NA																			0		-7	7					
ABalpapapapa NA																											
ABalpapapapp NA																											
ABalpapapp 0.049	-5	-4	0	10	-4	-4	-3	3	3	-3	-1	0	1	4	-2	-2	3	-1	-1	4	3	-1	1	1	8	9	5
ABalpapappa NA																											
ABalpapappp NA																											
ABalpapp 0.0073	2	2	-2	-2	0	0	-1	0	0	0	1	1	-1	-1	0	1	1	2	0	0	0	0	-3	-1	-5	-5	-3
ABalpappa 0.0427	-2	0	0	0	-2	1	2	-1	-1	4	1	0	0	1	-3	1	-2	1	0	1	2	-2	-5	-2	0	-1	-3
ABalpappaa 0.3135	-5	1	9	13	-4	-6	-3	3	4	-2	2	9	-3	0	-4	-2	-2	-3	-5	1	-2	1	2	0	0	-7	-4
ABalpappaaa NA																											
ABalpappaap NA																			0		-2	2		6			
ABalpappaapa NA																											
ABalpappaapp NA																											
ABalpappap 0.571	1	1	3	0	0	-1	3	4	1	3	-2	3	-5	-3	-2	0	1	-1	-2	0	-4	-1	-1	-1	-2	2	-1
ABalpappapa NA																											
ABalpappapp NA																											
ABalpappp 0.0066	-2	1	0	-3	-2	3	1	-2	0	2	1	0	-1	1	-2	1	-3	1	3	0	0	0	-3	-2	-1	-5	-3
ABalpapppa 0.3837	-2	6		11	6	-3	-3	-8	7		5	1	-1	9	-8	-11	-1	-8	7	-3	0	-5	6	-3	4	5	-2
ABalpapppaa NA																											
ABalpapppap NA																											
ABalpapppp 0.0451	1	-1	3	-2	2	0	3	1	0	-3	-2	1	-1	-3	-1	-3	0	1	5	-1	1	-2	-2	1	-4	-3	-4
ABalpappppa NA																											
ABalpappppp NA																											
ABalpp 0.003	0	1	-1	-1	3	-3	1	1	0	1	1	-2	0	-2	1	0	0	0	-1	-1	1	2	-3	-2	-6	-4	-2
ABalppa 0.0548	1	0	-2	-1	0	1	-1	0	-1	0	2	2	-1	-1	-2	1	0	1	1	0	1	-1	-3	-1	-6	-4	0
