"Cells","Fates","Times","CC_Defects","Pos_Defects","Angle_Defects","Cell_Count","Division_Count","Expression","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","MeanMaxPositionDev","MeanMeanPositionDev"
"ABalpapappp","SMBVL",302,0,0,0,5,0,6722,3638,0,0,43,0,3.64994019940341,2.28563128002985
"ABalpapp",NA,133,0,0,0,5,5,4619,0,0,0,0,0,4.68001965338427,3.52621108256223
"ABalpappa",NA,168,1,0,0,5,5,4619,234,0,0,0,0,5.63111802608814,4.12137444302916
"ABalpappaa",NA,213,0,0,0,5,5,4619,864,2,0,0,0,5.09530014279637,2.91104566022808
"ABalpappaaa","death",292,0,0,0,5,0,4619,864,30,0,0,0,5.29352012838976,3.04230576435337
"ABalpappaap",NA,292,0,1,0,5,0,4619,864,2,0,0,0,5.38310212099326,2.72736726598061
"ABalpappaapa","I2L",400,0,0,0,NA,0,4619,864,2,0,0,0,NA,NA
"ABalpappaapp","death",400,0,0,0,NA,0,4619,864,2,0,0,0,NA,NA
"ABalpappap",NA,213,0,0,1,5,5,4619,918,0,0,23,0,4.2433010298404,2.88012148520418
"ABalpappapa","e2V",273,0,0,0,5,0,4619,2621,0,0,23,0,3.68852231266151,2.04194575597989
"ABalpappapp","mc3V",273,0,0,0,5,0,4619,2395,84,0,23,0,4.035029225521,2.23603860074789
"ABalpappp",NA,168,0,0,0,5,5,4619,162,0,0,0,0,5.28639993822367,4.09283874078805
"ABalpapppa",NA,213,0,0,0,5,5,4619,2480,0,0,0,0,3.24137974876636,1.99469884306427
"ABalpapppaa","I1L",324,0,0,0,5,0,4619,2480,167,6,0,0,2.58970100117486,1.66093072196865
"ABalpapppap","death",324,0,1,0,5,0,4619,2480,0,0,0,0,3.16966925806342,2.04931441054784
"ABalpapppp",NA,213,0,0,0,5,5,4619,2750,0,0,0,0,3.74269155789712,2.54351071944947
"ABalpappppa","mc1V",265,0,0,0,5,0,4619,4326,0,0,0,0,3.62811533802804,1.85258790841996
"ABalpappppp","m3VL",265,0,0,0,5,0,4619,3923,0,0,0,0,3.38569689422932,1.79981628691665
"ABalpp",NA,75,1,0,0,5,5,2957,0,0,0,0,0,3.45622682460773,2.18148653119901
"ABalppa",NA,103,1,0,0,5,5,2957,0,0,0,0,708,4.9015707481378,3.60586145431227
"ABalppaa",NA,135,2,0,1,5,5,9001,0,0,0,0,708,6.29142592524648,4.52328535680704
"ABalppaaa",NA,179,2,0,0,5,5,14332,0,0,0,0,708,4.94120004189963,3.30079604249792
"ABalppaaaa","death",234,0,0,0,5,0,14332,17,0,29,18,708,4.06751697810303,2.55695214193381
"ABalppaaap",NA,234,4,0,0,5,5,19191,0,0,0,0,708,4.40492215580587,2.72407578481068
"ABalppaaapa","AVAL",311,0,1,0,5,0,19191,0,0,0,0,708,4.72559873838041,3.21918731259184
"ABalppaaapp","OLQsoVL",311,0,0,0,5,0,19191,0,0,0,0,708,3.80604916554224,2.84429471781269
"ABalppaap",NA,179,1,0,0,5,5,13995,0,0,0,0,708,4.87337104990652,3.27015899545093
"ABalppaapa","death",231,0,0,0,5,0,13995,23,0,479,31,708,4.73360814447646,3.08277552010739
"ABalppaapp",NA,231,2,0,0,5,5,17168,1,0,1468,0,708,3.87962683972434,2.40568402524438
"ABalppaappa","death",308,0,1,0,5,0,17168,1,0,4446,0,708,5.19843757820373,3.267344974164
"ABalppaappp","CEPsoVL",308,0,1,0,5,0,17168,1,0,5475,0,708,4.45829297482427,2.36436848293671
"ABalppap",NA,135,0,0,0,5,5,6167,0,0,0,0,708,5.4590046000037,3.9425335792408
"ABalppapa",NA,172,1,0,0,5,4,6167,0,0,0,0,708,5.52767765123254,3.75856686640642
"ABalppapaa",NA,220,0,0,1,5,5,8916,0,0,0,0,708,5.05988098445783,3.09581102807676
"ABalppapaaa","RMDVL",305,0,0,0,5,0,8916,0,0,0,0,708,4.08725736817223,2.24597873777081
"ABalppapaap","ILshVL",305,0,0,0,5,0,8916,0,0,0,0,708,4.00411014166755,2.46529032254564
"ABalppapap",NA,220,2,0,2,5,5,6189,0,0,0,0,708,4.87352111856802,2.86340344672779
"ABalppapapa","SAADL",299,0,0,0,5,0,6189,0,258,683,0,708,3.30034041928303,2.09933423949459
"ABalppapapp","ILsoVL",299,0,0,0,5,0,6189,0,0,0,0,708,4.0110895438809,2.51433533859917
"ABalppapp",NA,172,0,0,0,5,5,6167,0,0,0,0,708,4.67337015981193,3.26200458164117
"ABalppappa",NA,218,0,0,0,5,5,6693,0,0,0,0,708,4.35961103104911,2.49372369080391
"ABalppappaa","SMDVL",296,0,0,0,5,0,6693,0,0,0,0,708,3.20362537868029,1.96015215051562
"ABalppappap","BAGL",296,0,0,0,5,0,6693,0,0,0,0,708,3.18538391568349,2.05956027864864
"ABalppappp",NA,218,0,0,0,5,5,6167,0,0,0,0,708,4.24530984243243,2.45057958240721
"ABalppapppa",NA,286,0,0,0,5,0,6167,0,0,0,0,708,3.81428482490627,1.98161707336082
"ABalppapppaa","IL1VL",400,0,0,0,NA,0,6167,0,0,0,0,708,NA,NA
"ABalppapppap","death",400,0,0,0,NA,0,6167,0,0,0,0,708,NA,NA
"ABalppapppp","IL2VL",286,0,0,0,5,0,6167,0,0,0,0,708,3.3384493382723,1.81509450404486
"ABalppp",NA,103,0,0,0,5,5,3245,0,0,0,0,437,3.81513800029879,2.90784620026889
"ABalpppa",NA,134,0,0,0,5,5,6529,0,0,0,0,437,3.57334837762986,2.35583383940581
"ABalpppaa",NA,173,1,0,2,5,4,9639,0,0,0,0,437,4.12351112287211,2.81533735706942
"ABalpppaaa",NA,227,2,0,0,5,4,10775,0,0,0,0,437,4.49232858144969,2.50019198689451
"ABalpppaaaa","AVEL",313,0,1,0,5,0,10775,0,244,0,0,437,4.86153551735163,2.79966018820135
"ABalpppaaap","OLQshVL",313,0,0,0,5,0,10775,0,0,0,0,437,3.92914182813405,2.51964089722865
"ABalpppaap",NA,227,2,0,1,5,5,10158,0,100,0,0,437,4.12502933804572,2.6271563652561
"ABalpppaapd","OLLshL",318,0,0,0,5,0,10158,0,100,0,0,437,3.39517879124432,2.12555182244273
"ABalpppaapv","death",318,0,2,0,5,0,10158,0,100,15,0,437,3.68903734241377,2.24550808996206
"ABalpppap",NA,173,0,0,0,5,5,11112,0,0,0,0,437,4.25516652705028,2.71480794155051
"ABalpppapa",NA,220,0,0,0,5,5,12003,0,0,283,0,437,4.71535087828793,2.75475456793517
"ABalpppapad","RMDL",298,0,1,0,5,0,12003,0,0,2914,0,437,3.98352723042508,2.3121873327849
"ABalpppapav","AFDL",298,0,0,0,5,0,12003,0,0,4242,0,437,4.54612225398154,2.66532372049771
"ABalpppapp",NA,220,2,0,0,5,5,12671,0,0,0,0,437,3.78985870418809,2.23684238020031
"ABalpppappa","death",287,0,0,0,5,0,12671,0,118,0,0,437,2.70313337134415,1.79337695171105
"ABalpppappp",NA,287,0,0,0,5,0,12671,0,0,0,0,437,3.14982607496507,1.78357414743871
"ABalpppapppa","ASKL",400,0,0,0,NA,0,12671,0,0,0,0,437,NA,NA
"ABalpppapppp","death",400,0,0,0,NA,0,12671,0,0,0,0,437,NA,NA
"ABalpppp",NA,134,0,0,1,5,5,6143,0,0,0,0,437,4.12117647222403,2.45646825737615
"ABalppppa",NA,169,0,0,0,5,5,8949,0,0,0,0,437,4.38443029698822,3.11310457115629
"ABalppppaa",NA,218,3,0,0,5,5,8949,0,0,0,0,437,3.80019932841603,2.31013118181917
"ABalppppaad","ADLL",297,0,0,0,5,0,8949,0,0,26,0,437,3.1028365114721,1.9836968704665
"ABalppppaav","death",297,0,0,0,5,0,8949,0,0,0,0,437,3.66468915957786,2.05078500934454
