"Cells","Names","Birth Times","peak exp","CC X20230222_JIM188_tbx.9_die.1_L1","CC X20230223_JIM188_tbx.9_die.1_L4","CC X20230224_RW10265_tbx.8_die.1_L1","CC X20230224_RW10265_tbx.8_die.1_L3","CC X20230224_RW10265_tbx.8_die.1_L4","Position X20230222_JIM188_tbx.9_die.1_L1","Position X20230223_JIM188_tbx.9_die.1_L4","Position X20230224_RW10265_tbx.8_die.1_L1","Position X20230224_RW10265_tbx.8_die.1_L3","Position X20230224_RW10265_tbx.8_die.1_L4","Angle X20230222_JIM188_tbx.9_die.1_L1","Angle X20230223_JIM188_tbx.9_die.1_L4","Angle X20230224_RW10265_tbx.8_die.1_L1","Angle X20230224_RW10265_tbx.8_die.1_L3","Angle X20230224_RW10265_tbx.8_die.1_L4"
"ABalappaapp","death",339,15871,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalappap",NA,178,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappapa",NA,227,7459,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0
"ABalappapaa","AVHR",332,7459,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalappapap","death",332,7459,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalappapp",NA,227,8599,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"ABalappappa","CANR",295,9314,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalappappp","OLLsoR",295,8599,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalappp",NA,135,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapppa",NA,172,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapppaa",NA,219,669,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalapppaaa","ALA",295,3359,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapppaap","RMED",295,1152,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapppap",NA,219,831,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0
"ABalapppapa",NA,284,14993,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapppapaa","OLQDR",400,14993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapppapap","death",400,14993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapppapp","URYDR",284,8104,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapppp",NA,172,772,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalappppa",NA,219,772,0,0,0,0,0,0,1,0,0,0,0,NA,0,NA,0
"ABalappppaa",NA,278,15441,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalappppaaa","IL1DR",400,15441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
