"Cells","Names","Birth Times","peak exp","CC X20230222_JIM188_tbx.9_die.1_L1","CC X20230223_JIM188_tbx.9_die.1_L4","CC X20230224_RW10265_tbx.8_die.1_L1","CC X20230224_RW10265_tbx.8_die.1_L3","CC X20230224_RW10265_tbx.8_die.1_L4","Position X20230222_JIM188_tbx.9_die.1_L1","Position X20230223_JIM188_tbx.9_die.1_L4","Position X20230224_RW10265_tbx.8_die.1_L1","Position X20230224_RW10265_tbx.8_die.1_L3","Position X20230224_RW10265_tbx.8_die.1_L4","Angle X20230222_JIM188_tbx.9_die.1_L1","Angle X20230223_JIM188_tbx.9_die.1_L4","Angle X20230224_RW10265_tbx.8_die.1_L1","Angle X20230224_RW10265_tbx.8_die.1_L3","Angle X20230224_RW10265_tbx.8_die.1_L4"
"ABalappaap",NA,239,10122,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"ABalappaapa","RID",339,10122,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA
"ABalappaapp","death",339,10122,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA
"ABalappap",NA,178,11080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappapa",NA,227,11132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappapaa","AVHR",332,11132,NA,NA,NA,NA,NA,0,0,NA,1,0,NA,NA,NA,NA,NA
"ABalappapap","death",332,11132,NA,NA,NA,NA,NA,1,0,NA,0,0,NA,NA,NA,NA,NA
"ABalappapp",NA,227,11080,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalappappa","CANR",295,11080,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalappappp","OLLsoR",295,11080,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalappp",NA,135,5514,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ABalapppa",NA,172,9326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapppaa",NA,219,9326,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ABalapppaaa","ALA",295,9326,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalapppaap","RMED",295,9326,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalapppap",NA,219,9326,1,0,1,1,0,0,0,0,0,0,0,NA,NA,0,0
"ABalapppapa",NA,284,9326,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalapppapaa","OLQDR",400,9326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapppapap","death",400,9326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapppapp","URYDR",284,9326,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalapppp",NA,172,8719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappppa",NA,219,9911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappppaa",NA,278,9911,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalappppaaa","IL1DR",400,9911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalappppaap","death",400,9911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalappppap","IL2DR",278,9911,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalappppp",NA,219,8719,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"ABalapppppa","AVJR",291,8719,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalapppppp","CEPsoDR",291,8719,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalp",NA,56,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpa",NA,75,2957,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0
