"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"ABalappppaa","ABalappppaa",3.13434058600703,3.99545290148155,4.3659698440061,6.40195995560547,2.9736777136344
"ABalappppap","ABalappppap",2.40156199170457,3.94374480432296,4.37337963039282,6.66252170645218,4.42737738787829
"ABalappppp","ABalappppp",3.87194917755388,3.86167618047598,5.77494092896006,2.96737855749906,2.70312822525721
"ABalapppppa","ABalapppppa",4.01192613124711,3.03114750131928,4.44418389307708,4.26220138641537,2.68094305498191
"ABalapppppp","ABalapppppp",2.05925867883862,2.52175376365599,3.82763881472397,3.16476315835262,3.53734363612019
"ABalp","ABalp",4.55926745799442,5.5093724676659,5.40581855803658,4.25937848067613,5.06622432973963
"ABalpa","ABalpa",2.33504118922384,5.21893550369676,6.02626411611686,2.49360832277921,3.94742479489849
"ABalpaa","ABalpaa",3.70676385667477,4.23388868240248,5.87997755895615,2.81899312944661,5.43469142745626
"ABalpaaa","ABalpaaa",3.75839328752273,6.36692965515207,6.34346293800113,3.73609652359273,7.15532759136978
"ABalpaaaa","ABalpaaaa",6.68300976441891,7.06121277828578,4.59638257155103,5.17973062236987,6.81161122745619
"ABalpaaaaa","ABalpaaaaa",7.3306324382359,5.34558103357335,4.06300133628031,4.93326883810471,3.24819547359977
"ABalpaaaaaa","ABalpaaaaaa",7.46195571372789,5.07416477887146,2.27659115278593,3.43386304558326,2.74505009061766
"ABalpaaaaap","ABalpaaaaap",7.79295101992733,4.93997830988019,2.79870627515288,6.30279593861741,5.13574695307191
"ABalpaaaap","ABalpaaaap",7.51166750167773,4.00681329608963,3.51262499906642,4.19115145035856,3.46109889620184
"ABalpaaaapa","ABalpaaaapa",4.87237320922442,6.4687561444553,3.75171260609675,2.88198285703649,3.28763005696864
"ABalpaaaapp","ABalpaaaapp",5.72774441154298,6.22182952033079,3.99945877397935,5.81403883616582,5.38359706863182
"ABalpaaap","ABalpaaap",5.09625385391126,8.01524652135453,3.69747214226689,3.29954090438242,6.6838041415078
"ABalpaaapa","ABalpaaapa",4.46825230962565,4.44059125680375,5.10576348867842,2.81375385273866,7.17024178050727
"ABalpaaapaa","ABalpaaapaa",3.33839806336388,4.05178610607327,3.82232755698469,3.73975031152525,4.71640749731916
"ABalpaaapap","ABalpaaapap",2.53491043976477,6.01488868058922,4.68884576368426,3.66203765393312,6.25862527708126
"ABalpaaapp","ABalpaaapp",3.32915850154312,3.49802964753133,4.05571242590315,1.52369869742429,8.12388548761609
"ABalpaaappa","ABalpaaappa",4.63308800274237,3.39951373606593,2.79076036751271,5.86416858799724,7.21256766220867
"ABalpaaappp","ABalpaaappp",4.55858973178635,5.32537991998525,2.38663493301867,3.48035303656187,6.95022386038944
"ABalpaap","ABalpaap",5.27427328379774,4.72235884398834,6.73385038057779,3.01438944473258,5.30577742277249
"ABalpaapa","ABalpaapa",5.86930200466069,6.28356544088586,6.19938025691461,4.59902304221059,6.35293955393805
"ABalpaapaa","ABalpaapaa",6.99324950329788,4.66910869881939,4.5436057397745,6.2435854585606,2.74491021589637
"ABalpaapaaa","ABalpaapaaa",4.10423076702273,4.66365198038136,5.67128273135445,7.25228327168187,2.03521033348913
"ABalpaapaap","ABalpaapaap",5.01211624627097,2.84334342041152,3.24822857046533,4.67632853039229,3.56898486866104
"ABalpaapap","ABalpaapap",6.25153848347783,4.81532475648804,4.39740572122023,4.27206917958901,5.52857582495367
"ABalpaapapa","ABalpaapapa",5.40799152866046,3.73306446736719,6.19062427662814,3.8539765655151,3.7149402754284
"ABalpaapapp","ABalpaapapp",3.87912770330984,3.26698241321099,3.06313375621084,3.49199946577448,2.33232839955035
"ABalpaapp","ABalpaapp",6.08555596878485,7.8154235262246,5.64915605299683,2.90473435550276,7.08622437911971
"ABalpaappa","ABalpaappa",7.64296724971506,6.02667463472244,6.02685350912253,3.05748667881565,3.17116061933258
"ABalpaappaa","ABalpaappaa",2.67009226856922,4.27596314540649,3.23018572373114,4.85998929372589,1.84991525032442
"ABalpaappap","ABalpaappap",3.45784580109406,3.83458213856776,3.3164939667373,4.82342209861728,2.73817453547517
"ABalpaappp","ABalpaappp",4.89100397668244,5.15746187424657,3.48083857627566,3.92814060213355,3.04964804322193
"ABalpaapppa","ABalpaapppa",3.24436574555168,3.91301122440544,3.32259977575509,5.94996281541721,2.39137891120213
"ABalpaapppp","ABalpaapppp",3.56736817590774,4.48405649449642,3.54045297331229,5.29336845575428,3.55937562942458
"ABalpap","ABalpap",3.86910703425812,4.80035094904894,5.17659709886171,3.05251610605238,4.83041043083824
"ABalpapa","ABalpapa",6.65011063876996,5.89071354714539,6.803798155812,3.61102945521374,5.57958128288043
"ABalpapaa","ABalpapaa",9.02024808041027,7.93783415757882,6.49483963650889,4.41856286921582,3.84139815197634
"ABalpapaaa","ABalpapaaa",4.47231019012131,4.69538199968425,5.65464369077345,2.22607302189582,2.91982710128324
"ABalpapaaaa","ABalpapaaaa",6.45570489413235,3.78832448535255,3.29638139282541,3.59196418554299,2.84382234102119
"ABalpapaaap","ABalpapaaap",10.3799583893083,3.32381214404543,3.61082834289204,5.80463937383559,5.09174602627569
"ABalpapaap","ABalpapaap",5.45319119984997,4.87192487942276,4.81900229201151,2.34268060202376,3.3202832304418
"ABalpapaapa","ABalpapaapa",4.36024662126446,3.25847708108796,3.74497963160315,4.46661266880915,2.61196751932697
"ABalpapaapp","ABalpapaapp",4.0661834793654,3.34978390964161,2.65902971948686,5.67378163999418,5.14161057528364
"ABalpapap","ABalpapap",8.03453150419733,7.49982030557259,4.07442010478551,2.96427727509807,6.25398793326113
"ABalpapapa","ABalpapapa",5.84943522119214,5.73795616295881,2.50883412684098,2.28778195661032,6.20004576643427
"ABalpapapaa","ABalpapapaa",3.24107065879816,3.75108655369438,2.63334466643305,2.93098491266937,3.30082139572603
"ABalpapapap","ABalpapapap",4.57992426948871,3.99888977391995,2.70465595179084,3.67276353449004,3.62960712528219
"ABalpapapp","ABalpapapp",6.20158434642524,5.56931273764308,3.06224203049391,3.10793771808641,7.26355885788697
"ABalpapappa","ABalpapappa",7.80961727677468,6.26842171509682,4.2399029846533,2.86110119265667,4.71772331607907
"ABalpapappp","ABalpapappp",3.70084235188387,4.04142390552547,3.2578528837307,3.68304291735414,3.56653893852289
"ABalpapp","ABalpapp",5.05954590747638,6.27029800147677,4.68692735465804,1.92260984030337,5.4607171630068
"ABalpappa","ABalpappa",7.35964830984041,5.01877897319717,3.58561450990336,4.13514032029801,8.05640801720174
"ABalpappaa","ABalpappaa",5.64477392681925,4.10568388272682,3.79948168878311,3.4115442121864,8.51501700346627
"ABalpappaaa","ABalpappaaa",4.61730249282651,6.15276104911563,5.88558257511993,4.32876542174529,5.48318910314146
"ABalpappaap","ABalpappaap",10.6954398878225,4.57270832248115,3.64016015649456,4.26841938409844,3.73878285406965
"ABalpappap","ABalpappap",5.85690126732823,3.51242682570626,2.9514828396432,2.13275869928888,6.76293551723543
"ABalpappapa","ABalpappapa",4.55106061624271,3.02946683979924,3.80316145883571,3.3071536201899,3.75176902823999
"ABalpappapp","ABalpappapp",5.20099066068543,2.83595372556523,3.3721987706389,4.41917780137532,4.3468251693401
"ABalpappp","ABalpappp",6.27061790687033,7.17551278694491,3.39856517922275,4.22503002763512,5.36227379044523
"ABalpapppa","ABalpapppa",3.59021991069029,3.90974894162698,2.32046555519713,2.36964896703201,4.01681536928539
"ABalpapppaa","ABalpapppaa",2.86956296651914,1.75945838141473,2.59775383745266,3.21071277323971,2.51101704724804
"ABalpapppap","ABalpapppap",3.81958941178974,5.23773214551319,1.58785179822549,2.83929182857849,2.36388110621019
"ABalpapppp","ABalpapppp",3.25806832612814,5.21749180475654,2.93635988530863,3.01903137965535,4.28250639363694
"ABalpappppa","ABalpappppa",4.35683893758465,2.78604947287576,3.74464970342292,3.24282223834123,4.01021633791566
"ABalpappppp","ABalpappppp",3.96850642898671,1.96222854255787,3.37099683547354,4.44153523557363,3.18521742855483
"ABalpp","ABalpp",2.67763927109603,3.54903988572586,4.53800687236324,2.87819634911078,3.63825174474272
"ABalppa","ABalppa",3.81638244384625,3.95018317418741,6.47342047435562,2.62570216410393,7.64216548419581
"ABalppaa","ABalppaa",7.42171027579361,4.84531600455304,7.72092386028769,3.82842078216955,7.64075870342852
"ABalppaaa","ABalppaaa",5.4741526478134,6.42937298620029,4.52751735566707,2.7774176452082,5.49753957460921
"ABalppaaaa","ABalppaaaa",4.66486907213993,4.42439048432983,4.58115991140797,3.44317629636242,3.22398912627501
"ABalppaaap","ABalppaaap",3.89158076190721,6.80535656247312,4.38646329797378,3.9024368051585,3.03877335151673
