"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"Cpppp","Cpppp",0.491356184190933,0.47809875372964,0.587454286783475,0.536887995739705,0.520927206175422
"Cppppa","Cppppa",0.842577442648244,0.637293422457283,0.972307399247074,0.726289322229904,0.832263840670681
"Cppppaa","Cppppaa",1.14504891441075,1.04469208937747,1.21333506495447,1.30021880253957,1.18679746170836
"Cppppap","Cppppap",1.10961909000917,0.95043326352989,0.917963580642205,1.19966040188824,1.26832078304801
"Cppppp","Cppppp",0.894131069960031,0.621611670318613,0.993577354910492,0.872798706983161,0.783084511354991
"Cpppppd","Cpppppd",1.09049978665846,0.88003308243515,1.12064726364137,1.26074681592877,0.885475599858566
"Cpppppv","Cpppppv",0.999460460145847,0.838363282755347,1.11973289573124,1.50885575656134,0.930300369348531
"D","D",0.208577071443437,0.178428840525948,0.279170272730886,0.197300829168745,0.190096655398166
"Da","Da",0.290483367326838,0.292164654952984,0.291306864645551,0.512344916963928,0.409124005023709
"Daa","Daa",0.417320976621674,0.492193243630755,0.508743390029877,0.65963812412522,0.582597918100811
"Daaa","Daaa",0.57824769008194,0.730653709817684,0.546916536535534,0.739998597140107,0.968504806837375
"Daaaa","Daaaa",0.66850928986564,0.805886753738273,0.648393832725686,1.03804039444542,0.939163519229486
"Daaap","Daaap",0.761987921600809,1.02092127296592,0.866812772776567,1.34260008075196,0.977467202440473
"Daap","Daap",0.547144597647173,0.540897784289708,0.697143249772777,0.626904585770067,0.949118868562109
"Daapa","Daapa",0.635649849486394,0.907366722486271,0.823829277297481,0.987252952394105,1.06701450475961
"Daapp","Daapp",0.808615831269376,1.05431938917688,0.82471245003542,0.915113985542334,1.14955917729345
"Dap","Dap",0.358476269580526,0.402193756173521,0.426258181988156,0.702237883883558,0.458712166214802
"Dapa","Dapa",0.613570090682737,0.571681971272683,0.567961536207461,1.11922284814247,0.779329569592665
"Dapaa","Dapaa",0.678743079026801,0.634244694026137,0.634146914804722,1.62853782426483,0.902617655914026
"Dapap","Dapap",0.797174752066102,0.560302428152771,0.868769183290389,2.14765057430369,1.14228711166633
"Dapp","Dapp",0.631194433663572,0.468788645386753,0.476389111393745,0.85687254698108,0.651904720473088
"Dappa","Dappa",0.85048009282963,0.585735394271632,0.82350040406254,1.47654510381583,1.14727931776517
"Dappaa","Dappaa",1.72945455009027,1.20474894497454,NA,2.28948042811268,2.07746394391103
"Dappap","Dappap",1.74632583594413,1.24438369707472,NA,1.96791463105689,1.73028751276646
"Dappp","Dappp",1.13922321543961,0.750679657806913,1.18476292927027,1.59613564777817,1.41358073383324
"Dapppa","Dapppa",1.58288062937719,1.07972009688813,NA,1.6627168752847,1.51746491954655
"Dapppp","Dapppp",1.52844390269747,1.06218080127849,NA,1.88034323415445,1.57825237997009
"Dp","Dp",0.248615595711373,0.283986659082812,0.371236342862723,0.339811200730274,0.309374946099524
"Dpa","Dpa",0.397605001542115,0.495492684573239,0.506106839726475,0.518978004842366,0.562834275690074
"Dpaa","Dpaa",0.869111621527351,0.520137097231302,0.745748127803051,0.527434731106984,0.708885239852723
"Dpaaa","Dpaaa",0.849564176801774,0.618793423566402,0.784237380313977,0.967503152551105,0.952004186424439
"Dpaap","Dpaap",1.03346505767271,0.666015033928933,1.12677809063569,1.05707895945388,1.00584333436539
"Dpap","Dpap",0.697207028852608,0.492710043316917,0.669760725878325,0.776715467561414,0.754071410049921
