paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
ABalpappa 0.0427	41	44	44	44	41	44	46	43	43	47	44	43	44	44	41	44	42	44	43	44	45	41	38	41	43	42	40
ABalpappaa 0.3135	71	77	86	90	73	71	74	80	81	75	78	85	74	77	73	75	74	73	72	78	74	78	78	77	77	69	72
ABalpappaaa NA																											
ABalpappaap NA																			103		100	105		108			
ABalpappaapa NA																											
ABalpappaapp NA																											
ABalpappap 0.571	58	59	61	58	58	57	61	61	59	60	56	60	53	54	56	58	58	57	55	58	54	57	57	57	56	60	57
ABalpappapa NA																											
ABalpappapp NA																											
ABalpappp 0.0066	41	44	44	40	41	46	44	41	43	46	44	43	42	44	41	44	40	44	46	43	43	43	40	41	42	38	40
ABalpapppa 0.3837	107	115		120	115	106	107	101	116		115	110	108	118	101	99	108	101	116	106	109	104	115	106	114	114	107
ABalpapppaa NA																											
ABalpapppap NA																											
ABalpapppp 0.0451	52	49	53	49	52	51	54	51	51	47	48	52	50	48	50	47	51	52	56	49	52	49	49	51	46	47	46
ABalpappppa NA																											
ABalpappppp NA																											
ABalpp 0.003	27	27	25	25	30	24	27	27	26	27	28	24	26	24	27	26	26	27	26	25	27	28	23	24	20	23	24
ABalppa 0.0548	31	30	28	29	30	31	29	31	30	30	32	32	29	29	28	32	31	31	32	31	31	30	27	29	25	26	30
ABalppaa 0.0119	46	43	41	40	44	43	43	41	41	44	43	44	44	40	43	39	44	42	40	40	44	41	37	41	40	36	38
ABalppaaa 6e-04	50	52	50	51	50	55	56	51	54	55	56	55	53	56	51	53	52	53	53	53	53	52	46	47	48	47	50
ABalppaaaa NA																											
ABalppaaap 1e-04	80	81	74	71	75	77	76	76	73	74	71	77	81	89	69	80	73	77	77	80	70	70	93	89	101	94	95
ABalppaaapa NA																											
ABalppaaapp NA																											
ABalppaap 0.1344	48	50	50	51	50	51	49	50	54	52	50	51	49	51	49	51	51	56	50	50	50	52	45	50	50	49	50
ABalppaapa NA																											
ABalppaapp 0.3635	73	76	70	69	79	80	82	78	76	80	69	72	74	81	73	73	74	81	74	72	75	73	89	67	89	78	75
ABalppaappa NA																											
ABalppaappp NA																											
ABalppap 0.0025	37	37	36	34	35	34	34	35	35	36	38	34	35	35	36	36	36	36	36	34	36	35	34	34	33	32	32
