"Cells","Fates","CCTermDefects","PosTermDefects","AngTermDefects","Expression","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABaraaapaaa","arcpost",4,1,4,12715,384,50,2055,0,0
"ABaraaapaap","e2DR",4,1,4,12715,377,0,2055,0,0
"ABaraaapapa","mc1DR",4,1,4,12715,384,0,2225,0,0
"ABaraaapapp","m4R",4,2,4,12715,343,0,2225,0,0
"ABaraaappaa","arcpost",6,0,4,11541,0,796,1687,12,22
"ABaraaappap","arcpost",6,1,4,11541,0,0,1687,12,22
"ABaraaapppa","arc_ant",9,1,4,10884,0,0,1687,12,22
"ABaraaapppp","hyp1",9,0,4,10884,0,0,1687,12,22
"ABaraapaaaa","e3D",6,2,4,7587,0,0,2419,0,0
"ABaraapaaap","m1DL",6,3,4,7587,0,0,2419,0,0
"ABaraapaapa","m2DL",6,2,4,8049,1654,0,2419,0,0
"ABaraapaapp","mc2DL",6,3,4,8049,2027,0,2419,0,0
"ABaraapapaa",NA,6,2,5,10140,1422,73,2383,0,0
"ABaraapapap","m5L",6,1,5,10140,1119,73,2383,0,0
"ABaraapappa","M2L",5,4,4,7042,1252,73,2383,12,0
"ABaraapappp","M3L",5,1,4,7042,1027,73,2383,12,0
"ABaraappaaa","MI",4,1,4,8106,831,0,2098,0,0
"ABaraappaap","m1DR",4,0,4,8106,831,0,2098,0,0
"ABaraappapa","m2DR",4,2,4,7078,1482,0,2249,0,0
"ABaraappapp","mc2DR",4,1,4,7078,1933,0,2249,0,0
"ABaraapppaa",NA,7,0,5,7760,3051,0,2135,0,0
"ABaraapppap","m5R",7,2,5,7760,3051,0,2135,0,0
"ABaraappppa","M2R",4,0,4,6196,2695,6,2135,0,0
"ABaraappppp","M3R",4,2,4,6196,2695,0,2135,0,0
"ABarapaaaaa","e3VR",6,1,6,5371,0,0,0,0,0
"ABarapaaaap","m2VR",6,2,6,5371,0,0,0,0,0
"ABarapaaapa","m1VR",6,1,5,5371,0,0,0,31,0
"ABarapaaapp","death",6,1,5,5371,43,0,0,31,0
"ABarapaapaa","m2R",6,0,3,5094,1400,3,0,0,0
"ABarapaapap","death",6,2,3,5094,1400,297,93,0,0
"ABarapaappa","m3R",6,1,3,5254,2221,141,0,0,0
"ABarapaappp","MCR",6,0,3,5254,1310,72,0,0,0
"ABarapapaaa","death",2,1,2,4653,410,0,0,0,0
"ABarapapaap",NA,2,0,2,4653,410,14,0,0,0
"ABarapapapa","arcpost",2,0,5,4653,3330,60,0,0,0
"ABarapapapp","I5",2,0,5,4653,3295,33,0,0,0
"ABarapappaa","I1R",4,0,3,3966,1412,0,8,0,0
"ABarapappap","death",4,1,3,3966,1412,0,0,0,0
"ABarapapppa","mc2V",2,0,3,4334,2003,29,0,0,0
"ABarapapppp","m3VR",2,1,3,4334,2127,0,0,0,0
"ABarappaaaa","RIPR",4,0,2,3573,0,0,12,0,26
"ABarappaaap","death",4,0,2,3573,0,0,0,0,26
"ABarappaapa","hyp1",4,0,3,3573,0,0,0,0,22
"ABarappaapp","death",4,0,3,3573,0,0,0,0,22
"ABarappapaa","RMDDR",1,0,2,3297,1263,0,0,0,0
"ABarappapap",NA,1,0,2,3297,1546,0,0,0,0
"ABarappappa","DB2",1,1,2,3297,3843,34,0,0,0
"ABarappappp","SMBVR",1,0,2,3297,3430,0,0,0,0
"ABarapppaaa","RMDVR",1,1,2,5730,0,0,0,0,0
"ABarapppaap","ILshVR",1,1,2,5730,0,0,0,0,0
"ABarapppapa","SAADR",1,0,2,5730,0,0,0,0,0
"ABarapppapp","ILsoVR",1,0,2,5730,0,0,0,0,0
"ABarappppaa","SMDVR",2,0,2,5245,0,0,0,0,0
"ABarappppap","BAGR",2,1,2,5245,0,0,0,0,0
"ABarapppppa",NA,1,0,2,5245,0,0,0,0,0
"ABarapppppp","IL2VR",1,0,2,5245,0,0,0,0,0
"ABarpaaaaal","OLQsoDL",6,0,3,11756,0,0,0,0,4
"ABarpaaaaar","OLQsoDR",6,0,3,11756,0,0,0,0,4
"ABarpaaaapa","OLQshDL",5,1,3,11756,0,3500,13865,0,0
"ABarpaaaapp","CEPshDL",5,1,3,11756,0,3500,12992,0,0
"ABarpaaapaa","OLQshSR",5,2,3,10669,0,758,14477,0,0
"ABarpaaapap","CEPshDR",5,0,3,10669,0,758,14160,0,0
"ABarpaaapp","death",3,0,3,10508,7,3605,1458,0,0
"ABarpaapaa","hyp6",4,1,2,13473,1,3116,0,0,0
"ABarpaapap","hyp7",4,1,2,13749,1,2901,0,0,0
"ABarpaappa","hyp7",3,3,2,15356,0,3244,0,0,0
"ABarpaappp","hyp7",3,4,2,14525,0,1008,0,0,0
"ABarpapaaaa","URADR",7,2,2,8720,0,1306,0,0,0
"ABarpapaaap","CEMDR",7,2,2,8720,0,1306,0,0,0
"ABarpapaapa","death",5,1,2,8868,0,909,1108,0,0
"ABarpapaapp",NA,6,0,2,8868,0,909,0,0,0
"ABarpapapa","hyp4",4,4,2,9405,0,0,0,0,0
"ABarpapapp","hyp6",4,4,2,10610,0,1082,0,0,0
"ABarpappaa","XXXR",6,3,2,7337,0,264,401,0,4
"ABarpappap","hyp5",6,1,2,10586,0,0,0,0,0
"ABarpapppa","HOR",4,2,2,9166,0,0,0,0,0
"ABarpapppp","H1R",4,3,2,11416,0,0,0,0,0
"ABarppaaaa","ADEshL",4,0,2,10403,0,2549,4,0,8323
"ABarppaaap","H2L",4,2,2,10403,0,2452,4,0,8323
"ABarppaapa","hyp7",6,3,3,11084,0,2848,0,0,8964
"ABarppaapp",NA,6,2,3,11084,0,1526,0,0,9064
"ABarppapaa","V1L",6,2,2,11281,0,0,0,12,7197
"ABarppapap","V2L",6,1,2,11281,0,0,0,0,7897
"ABarppappa","V4L",7,1,2,10927,0,0,0,0,7751
"ABarppappp","V6L",7,0,2,10927,0,0,0,0,7751
"ABarpppaaa","ADEshR",4,3,2,9535,4,2059,258,0,8571
"ABarpppaap","H2R",4,3,2,9535,4,2059,258,0,8571
"ABarpppapa","hyp7",4,0,3,10457,0,2215,313,0,9706
"ABarpppapp",NA,4,4,3,10457,0,0,313,0,9706
"ABarppppaa","V1R",6,2,2,10693,0,0,1292,0,10028
"ABarppppap","V2R",6,2,2,9874,0,0,1381,0,10028
"ABarpppppa","V4R",6,1,2,10020,0,0,1633,0,10247
"ABarpppppp","V6R",6,2,2,10020,0,0,1787,0,10247
"ABplaaaaaaa","URADL",5,2,1,13039,0,892,8,0,0
"ABplaaaaaap","CEMDL",5,2,1,13039,0,892,14,0,0
"ABplaaaaapa","death",4,0,1,13039,0,0,8,0,0
"ABplaaaaapp",NA,5,0,1,13039,0,228,8,0,0
"ABplaaaapa","hyp6",1,1,0,13520,0,3990,8,0,0
"ABplaaaapp","hyp6",1,2,0,14071,0,3291,8,0,0
"ABplaaapaa","XXXL",4,3,0,12903,0,1492,8,0,0
"ABplaaapap","hyp5",4,2,0,15266,0,1492,8,0,0
"ABplaaappa","HOL",1,1,0,14335,0,313,8,0,0
"ABplaaappp","H1L",1,1,0,15232,0,1190,8,0,0
"ABplaapaaaa","hyp3",4,0,0,13832,0,183,8,0,0
"ABplaapaaap","ILsoDL",4,2,0,13832,0,0,8,0,0
"ABplaapaapa","URBL",3,0,0,13832,0,0,8,0,0
"ABplaapaapp","AMshL",3,0,0,13832,0,0,8,0,0
"ABplaapapaa","AWAL",4,1,0,12658,0,1085,8,0,0
"ABplaapapap","ASGL",4,1,0,12658,0,743,8,0,0
"ABplaapappa","AIBL",4,1,0,12658,0,709,8,0,0
"ABplaapappp",NA,4,0,0,12658,0,374,8,0,0
"ABplaappaa","hyp4",4,3,4,15298,0,0,8,0,0
"ABplaappap","hyp6",4,2,4,17924,0,0,8,0,0
"ABplaapppa","hyp7",2,0,4,20502,0,0,8,0,0
"ABplaapppp","hyp7",2,1,4,22215,0,0,8,0,0
"ABplapaaaaa","death",5,0,0,10372,0,0,14,0,6747
"ABplapaaaap",NA,5,0,0,10372,0,0,8,0,6747
"ABplapaaapa",NA,4,0,0,10372,0,0,8,0,6747
"ABplapaaapp","RMGL",4,0,0,10372,0,0,8,0,6747
"ABplapaapa","G2",3,2,0,11113,3,0,8,0,7651
"ABplapaapp","P1/2L",3,2,0,12810,3,0,8,0,7651
"ABplapapaa",NA,6,3,0,14144,0,0,8,1630,3742
"ABplapapap","P9/10L",6,3,0,15878,0,0,8,1415,3742
"ABplapappa","P11",3,5,0,15497,0,0,8,2902,3742
"ABplapapppa","death",5,0,0,13727,0,0,8,1284,3742
