Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
ABalppppaa	289	236.4	225	278.4	269.4	217.1
ABalppppaad	NA	NA	NA	NA	NA	NA
ABalppppaav	NA	NA	NA	NA	NA	NA
ABalppppap	299	229.9	212	263.2	250.8	223.6
ABalppppapa	409	NA	NA	NA	NA	NA
ABalppppapaa	NA	NA	NA	NA	NA	NA
ABalppppapap	NA	NA	NA	NA	NA	NA
ABalppppapp	NA	NA	NA	NA	NA	NA
ABalppppp	214	142.9	139.9	169.3	163.3	141.4
ABalpppppa	279	216.8	210.4	248.2	240.8	208.9
ABalpppppaa	NA	NA	NA	NA	NA	NA
ABalpppppap	NA	NA	NA	NA	NA	NA
ABalpppppp	259	194.3	188	228.4	220.9	191.3
ABalppppppa	349	273.1	264.7	335.5	307.4	268.4
ABalppppppaa	NA	NA	NA	NA	NA	NA
ABalppppppap	NA	NA	NA	NA	NA	NA
ABalppppppp	349	279.8	264.7	316.2	298.7	270.1
ABalpppppppa	NA	NA	NA	NA	NA	NA
ABalpppppppp	NA	NA	NA	NA	NA	NA
ABar	51	6	9	22.5	21	9
ABara	73	21	22.5	39.1	37.6	24
ABaraa	103	43.6	45.1	61.7	61.6	46.6
ABaraaa	132	73.6	70.7	91.8	90.2	75.1
ABaraaaa	171	111.2	105.2	137	132.4	111.2
ABaraaaaa	239	159.8	149.1	192.9	187	159.9
ABaraaaaaa	324	249.6	218.5	288.6	281.4	235.1
ABaraaaaaaa	NA	NA	NA	NA	NA	NA
ABaraaaaaap	NA	NA	NA	NA	NA	NA
ABaraaaaap	329	241.4	216.9	285.2	274.5	241.7
ABaraaaaapa	NA	NA	NA	NA	NA	NA
ABaraaaaapp	NA	NA	NA	NA	NA	NA
ABaraaaap	244	167.6	152.2	200.9	196.6	167.7
ABaraaaapa	324	263	226.7	317.9	296.9	270.1
ABaraaaapaa	NA	NA	NA	NA	NA	NA
ABaraaaapap	NA	NA	NA	NA	NA	NA
ABaraaaapp	NA	NA	NA	NA	NA	NA
ABaraaap	171	103.7	105.2	129.4	123.3	105.2
ABaraaapa	220	141.4	141.4	178.7	164.8	143
ABaraaapaa	294	225	205.6	280.1	249.1	215.4
ABaraaapaaa	NA	NA	NA	NA	NA	NA
ABaraaapaap	NA	NA	NA	NA	NA	NA
ABaraaapap	279	199.1	191.2	251.5	227.5	194.5
ABaraaapapa	NA	NA	NA	NA	NA	NA
ABaraaapapp	NA	NA	NA	NA	NA	NA
ABaraaapp	231	152.1	146	186.6	171.1	156.8
ABaraaappa	304	234.8	231.6	280.1	276.2	241.7
ABaraaappaa	NA	NA	NA	NA	NA	NA
ABaraaappap	NA	NA	NA	NA	NA	NA
ABaraaappp	299	236.4	212	288.6	271.1	253.3
ABaraaapppa	NA	NA	NA	NA	NA	NA
