"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"ABalapaapp","ABalapaapp",1.70831959308784,2.94695729905944,2.71524376641938,4.63879719639396,1.97664546491438
"ABalapaappa","ABalapaappa",1.12770516388845,3.03762347717971,2.9647413601811,2.31577369937818,1.69853260343772
"ABalapaappp","ABalapaappp",1.68894433251243,3.01150702734001,2.51730604516737,2.44179097226455,2.23939862606996
"ABalapap","ABalapap",1.87287608976657,3.49766352884992,2.81921172539943,2.43127327313011,2.64802289511743
"ABalapapa","ABalapapa",3.78103124945772,2.71835112688447,3.25060683351389,3.35315377576076,5.44177429751468
"ABalapapaa","ABalapapaa",2.75866314064637,2.61636096283388,2.12843050710617,2.7966262620424,2.33025365129161
"ABalapapap","ABalapapap",2.254173434702,2.24989736137874,1.90347202398775,2.28574205313043,2.13959006953129
"ABalapapapa","ABalapapapa",1.87622393102645,1.43097928865634,3.45867240299455,3.34031753156392,2.1177365193469
"ABalapapapp","ABalapapapp",1.30792496842658,1.65028946895449,1.90285552323272,2.63824462446359,1.8118089678319
"ABalapapp","ABalapapp",1.40321665306531,2.72523210437501,2.22211279925652,2.86839419049275,5.31567037164692
"ABalapappa","ABalapappa",1.54217507419827,2.89533015721554,1.92800613649477,2.52656102485713,1.60883609497228
"ABalapappaa","ABalapappaa",1.39113498697449,2.28722016709819,2.61468895188617,2.73694574731279,1.97546866981497
"ABalapappap","ABalapappap",2.15242668258379,1.84623561005641,2.37615355211374,2.30025693740109,2.15406489177522
"ABalapappp","ABalapappp",1.60999525493291,2.31929238651348,2.65248439579606,3.37885423797544,2.11236517036135
"ABalapapppa","ABalapapppa",1.62202345152969,2.14501086710253,3.50030133143069,2.66637113876606,1.85607368844656
"ABalapapppp","ABalapapppp",1.48261224570314,1.25490875438601,3.25413726590719,1.95676667982527,2.38452326974579
"ABalapp","ABalapp",1.99669517444772,1.69336484404018,2.82932584583547,2.51271594619078,2.79970297087548
"ABalappa","ABalappa",1.81347780755623,3.0150861970807,3.35711334106798,3.55688694955211,2.64022564778074
"ABalappaa","ABalappaa",2.57919067955884,4.28514532883164,2.40839915020406,4.15807183325373,2.85528402618657
"ABalappaaa","ABalappaaa",2.05020725939447,3.3794022906565,4.40815672940539,3.50722239299836,1.72593394878586
"ABalappaap","ABalappaap",2.01300014521728,1.97439015143323,3.097516730869,4.29889920847934,1.64630827606592
"ABalappaapa","ABalappaapa",NA,4.3921183539236,NA,3.55471668200555,2.04617371605405
"ABalappaapp","ABalappaapp",NA,2.39965075114583,NA,5.05023248459683,1.93064544821721
"ABalappap","ABalappap",2.70928669238521,3.89112216544624,2.07313443161313,4.85813638161716,4.03114546000824
"ABalappapa","ABalappapa",2.58960875860431,3.10745537800812,2.18952845413434,3.99483093672579,2.27612563378413
"ABalappapaa","ABalappapaa",2.16538248172955,3.85889720538895,NA,2.98001316352593,2.16537081892846
"ABalappapap","ABalappapap",2.69214215215139,4.07035395261204,NA,3.18367595580356,2.43247985952464
"ABalappapp","ABalappapp",2.91805397729711,2.39618062572651,2.76441043181377,4.23772285320477,2.08524582733427
"ABalappappa","ABalappappa",1.89091454505464,2.71414594808715,2.07766398663358,2.94875717981825,2.10827557764675
"ABalappappp","ABalappappp",1.65737237283333,2.38929100326019,2.84946465763818,3.21497364401033,2.20614785394324
"ABalappp","ABalappp",1.53552238780576,2.56806615695895,2.24004877102309,3.02942622698369,2.46011002696354
"ABalapppa","ABalapppa",2.76271203270667,4.89897672849952,2.06716695924828,2.6492661462314,2.18037683831141
"ABalapppaa","ABalapppaa",3.03470640819671,2.43993048681164,2.54831665117038,3.21776517714975,1.66968808833976
"ABalapppaaa","ABalapppaaa",1.61056204722417,2.98451599579332,2.33027359523487,2.53212974705882,1.98890484105822
"ABalapppaap","ABalapppaap",1.90413043941611,2.83884339101193,2.68895183580151,2.91069383165683,1.30445940090308
"ABalapppap","ABalapppap",3.01832478701825,2.55098215523929,2.42880017354075,2.7063830568473,1.50933700380176
"ABalapppapa","ABalapppapa",1.69201732903243,1.92646679358445,2.46220665367704,2.41425037777391,1.53897043312965
"ABalapppapp","ABalapppapp",1.64190780425058,1.98339662401138,2.40899048546092,3.3190593669972,1.24227621744236
"ABalapppp","ABalapppp",2.0841266836071,4.49405601310301,1.09595911003879,2.41126007782375,1.65148639608119
"ABalappppa","ABalappppa",2.52468152847108,3.60534741472167,2.31023045294356,2.84773886170836,1.15729967555814
"ABalappppaa","ABalappppaa",1.57924192461396,3.08507619604385,2.60798408143479,2.6398140191819,1.44575389560968
"ABalappppap","ABalappppap",1.36626389195107,2.94032532088213,2.70520660800704,2.41534029513072,2.39945660089723
"ABalappppp","ABalappppp",2.58257110286448,2.72875275854484,3.33058941569688,1.97109685733656,1.55536982602022
"ABalapppppa","ABalapppppa",1.57973863077477,2.06909864428473,3.02462180909067,2.22039759746096,1.54199545716789
"ABalapppppp","ABalapppppp",1.21916227409987,1.81317051867884,2.51472540919002,1.87563205864469,1.97520234990048
"ABalp","ABalp",2.32846985131539,2.54676042149371,3.98666374591819,2.68980915299664,2.93533393355643
"ABalpa","ABalpa",1.46204399829154,3.30949757396917,5.06942467385847,1.6949107647602,2.88545466427531
"ABalpaa","ABalpaa",2.56142876378446,3.42034676925525,4.99527897656888,1.5528634080452,4.02548957433551
"ABalpaaa","ABalpaaa",2.45224925798441,5.02523795183411,5.22914509522644,2.13231969246771,4.51406770359436
"ABalpaaaa","ABalpaaaa",5.00230797231818,5.45965698250962,3.12866089712485,2.94524178194582,4.23805970159607
"ABalpaaaaa","ABalpaaaaa",4.82416465647809,3.95412562104358,2.57270183201747,3.03603617300624,1.92136000067833
"ABalpaaaaaa","ABalpaaaaaa",4.5339712997992,3.01695439040037,1.85093887059104,2.36708320965499,1.4176874884292
"ABalpaaaaap","ABalpaaaaap",4.92916003708916,3.00471128992081,1.86727266695871,3.65627235997213,3.91713760468611
"ABalpaaaap","ABalpaaaap",4.76750311380101,2.67007129076443,2.42648071536169,2.92107905793148,2.28515407896216
"ABalpaaaapa","ABalpaaaapa",3.00557285526684,3.1941183517583,2.32962556728758,1.74783652255876,1.91474891982834
"ABalpaaaapp","ABalpaaaapp",2.66701699459211,2.43316450523778,2.26393946850254,1.43263027656685,1.70284589651008
"ABalpaaap","ABalpaaap",3.76929996160627,5.74090482412057,1.52653332749214,2.24545163264998,5.06589509173156
"ABalpaaapa","ABalpaaapa",2.09928035894897,3.44968938375308,2.81431732467151,1.47203964829223,5.50375860746134
"ABalpaaapaa","ABalpaaapaa",1.72261566461647,3.35599046994729,2.37066825663804,2.8493715181032,3.7605970496528
"ABalpaaapap","ABalpaaapap",1.35992794327705,4.84599313503472,2.84720405506595,2.71107576031003,4.37423237288976
"ABalpaaapp","ABalpaaapp",2.00400547380481,2.51242737574738,2.04154197956687,0.900495448481516,6.65475627700832
"ABalpaaappa","ABalpaaappa",2.14258971932743,2.10350525977338,1.66433400205166,2.9047206867861,6.02119015387413
"ABalpaaappp","ABalpaaappp",2.15142710470521,2.9846297244477,1.56404304847135,1.46873671023336,5.91220385356895
