Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
ABarapaaaap	NA	NA	NA	NA	NA
ABarapaaap	324	321.2	318.8	309.9	330.9
ABarapaaapa	NA	NA	NA	NA	NA
ABarapaaapp	NA	NA	NA	NA	NA
ABarapaap	229	219.1	219.1	220.4	217.2
ABarapaapa	339	NA	315.1	309.9	337.6
ABarapaapaa	NA	NA	NA	NA	NA
ABarapaapap	NA	NA	NA	NA	NA
ABarapaapp	284	281.2	280	301.7	278.7
ABarapaappa	NA	NA	NA	NA	NA
ABarapaappp	NA	NA	NA	NA	NA
ABarapap	171	169.4	167.2	169.7	170
ABarapapa	214	215.6	215.6	217.7	215.6
ABarapapaa	304	290.1	302.1	296.2	299.7
ABarapapaaa	NA	NA	NA	NA	NA
ABarapapaap	389	NA	NA	NA	NA
ABarapapaapa	NA	NA	NA	NA	NA
ABarapapaapp	NA	NA	NA	NA	NA
ABarapapap	279	275.8	289.2	288	283.5
ABarapapapa	NA	NA	NA	NA	NA
ABarapapapp	NA	NA	NA	NA	NA
ABarapapp	210	213.9	213.8	215	212.5
ABarapappa	319	NA	330	334.6	352.6
ABarapappaa	NA	NA	NA	NA	NA
ABarapappap	NA	NA	NA	NA	NA
ABarapappp	259	270.4	270.9	271.7	264.2
ABarapapppa	NA	NA	NA	NA	NA
ABarapapppp	NA	NA	NA	NA	NA
ABarapp	132	132.8	130	132.8	133.1
ABarappa	171	174.5	170.6	177.7	173
ABarappaa	229	229.6	226.2	228.4	227.9
ABarappaaa	304	321.2	316.9	307.1	317.7
ABarappaaaa	NA	NA	NA	NA	NA
ABarappaaap	NA	NA	NA	NA	NA
ABarappaap	314	310.2	324.4	309.9	314.4
ABarappaapa	NA	NA	NA	NA	NA
ABarappaapp	NA	NA	NA	NA	NA
ABarappap	219	226.1	224.4	231.1	220.2
ABarappapa	294	297.4	300.3	304.4	294.8
ABarappapaa	NA	NA	NA	NA	NA
ABarappapap	404	NA	NA	NA	NA
ABarappapapa	NA	NA	NA	NA	NA
ABarappapapp	NA	NA	NA	NA	NA
ABarappapp	299	304.7	309.5	304.4	301.4
ABarappappa	NA	NA	NA	NA	NA
ABarappappp	NA	NA	NA	NA	NA
ABarappp	171	171.1	165.5	169.7	170
ABarapppa	220	224.3	219.1	220.4	221.8
ABarapppaa	294	312	307.7	307.1	306.3
ABarapppaaa	NA	NA	NA	NA	NA
ABarapppaap	NA	NA	NA	NA	NA
ABarapppap	294	302.9	300.3	304.4	302.9
ABarapppapa	NA	NA	NA	NA	NA
ABarapppapp	NA	NA	NA	NA	NA
ABarapppp	219	217.4	215.6	217.7	217.2
ABarappppa	294	297.4	311.4	304.4	302.9
ABarappppaa	NA	NA	NA	NA	NA
ABarappppap	NA	NA	NA	NA	NA
ABarappppp	289	282.9	291	296.2	291.6
ABarapppppa	404	NA	NA	NA	NA
ABarapppppaa	NA	NA	NA	NA	NA
ABarapppppap	NA	NA	NA	NA	NA
ABarapppppp	NA	NA	NA	NA	NA
ABarp	73	72.2	69.2	73	78.6
ABarpa	103	100.1	97.9	101.5	102.2
ABarpaa	132	129.5	128.3	130.2	131.7
ABarpaaa	171	181.2	175.7	180.3	177.5
ABarpaaaa	239	234.8	228	233.8	232.6
ABarpaaaaa	319	NA	311.4	323.7	339.2
ABarpaaaaal	NA	NA	NA	NA	NA
ABarpaaaaar	NA	NA	NA	NA	NA
ABarpaaaap	319	310.2	309.5	318.1	311.2
ABarpaaaapa	NA	NA	NA	NA	NA
ABarpaaaapp	NA	NA	NA	NA	NA
ABarpaaap	239	243.6	231.4	239.1	235.7
ABarpaaapa	314	NA	316.9	320.9	335.9
ABarpaaapaa	NA	NA	NA	NA	NA
ABarpaaapap	NA	NA	NA	NA	NA
ABarpaaapp	NA	NA	NA	NA	NA
ABarpaap	171	169.4	167.2	169.7	170
ABarpaapa	219	222.6	213.8	225.8	215.6
ABarpaapaa	NA	NA	NA	NA	NA
ABarpaapap	NA	NA	NA	NA	NA
ABarpaapp	214	220.9	215.6	223	215.6
ABarpaappa	NA	NA	NA	NA	NA
ABarpaappp	NA	NA	NA	NA	NA
ABarpap	132	131.1	130	130.2	133.1
ABarpapa	171	169.4	172.3	169.7	171.6
