Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
ABalpaaapaa,NA,0,0,0,0,0,NA,NA,NA
ABalpaaapap,NA,0,0,0,0,0,NA,NA,NA
ABalpaaapp,311.913636363636,2,0,1,0,3,0.317885328573176,80.9409090909091,90.9666666666667
ABalpaaappa,NA,0,0,0,0,0,NA,NA,NA
ABalpaaappp,NA,0,0,0,0,0,NA,NA,NA
ABalpaap,168.786363636364,0,0,0,0,0,0.436338680438729,34.3954545454545,33.55
ABalpaapa,210.736363636364,0,0,0,0,0,0.0168799299246506,40.2954545454545,42.25
ABalpaapaa,283.395454545455,0,0,0,0,0,0.808680312746692,71.0090909090909,71.425
ABalpaapaaa,NA,0,0,0,0,0,NA,NA,NA
ABalpaapaap,NA,0,0,0,0,0,NA,NA,NA
ABalpaapap,261.918181818182,1,0,0,0,1,0.287107342882817,49.5590909090909,52.3
ABalpaapapa,NA,0,0,0,0,0,NA,NA,NA
ABalpaapapp,NA,0,0,0,0,0,NA,NA,NA
ABalpaapp,221.05,0,0,0,0,0,0.333777329318283,50.6227272727273,49.425
ABalpaappa,307.972727272727,0,0,0,0,0,0.68959097914432,85.2772727272727,87.075
ABalpaappaa,NA,0,0,0,0,0,NA,NA,NA
ABalpaappap,NA,0,0,0,0,0,NA,NA,NA
ABalpaappp,296.036363636364,0,0,0,0,0,0.61073138874413,73.3318181818182,74.7
ABalpaapppa,NA,0,0,0,0,0,NA,NA,NA
ABalpaapppp,NA,0,0,0,0,0,NA,NA,NA
ABalpap,132.304545454545,0,0,0,0,0,0.182830312260539,29.2272727272727,28.65
ABalpapa,171.086363636364,0,0,0,0,0,0.68656117343706,37.1318181818182,37.575
ABalpapaa,221.786363636364,0,0,0,0,0,0.0365231219099276,49.0863636363636,50.55
ABalpapaaa,289.545454545455,1,0,0,0,1,0.289241697059596,66.1272727272727,70.625
ABalpapaaaa,NA,0,0,0,0,0,NA,NA,NA
ABalpapaaap,NA,0,0,0,0,0,NA,NA,NA
