"","Cells","20220915_JIM712_ceh.32_L4","20220923_JIM712_ceh.32_L4","20221004_JIM712_ceh.32_L2","20221004_JIM712_ceh.32_L4"
"ABalapppaa","ABalapppaa",0.496194660755782,0.83475933481147,0.759396559279339,0.80632945066702
"ABalapppaaa","ABalapppaaa",0.979962095611989,1.29580736740114,1.10893556360467,1.36024668067997
"ABalapppaap","ABalapppaap",0.796961745352746,1.28096912063874,0.99940097311969,1.15818758740252
"ABalapppap","ABalapppap",0.506287161726494,0.972320080837449,0.895222576409856,0.794658463889597
"ABalapppapa","ABalapppapa",0.652591550047047,1.34037684215871,1.0210528101833,1.04088987158229
"ABalapppapp","ABalapppapp",0.633945155904406,1.3701529998243,1.04214068470685,1.0005296613095
"ABalapppp","ABalapppp",0.512516890177485,0.703924876964631,0.559248068334465,0.801249115611746
"ABalappppa","ABalappppa",0.52108724547377,0.751938925740848,0.638427090591042,0.608163653911467
"ABalappppaa","ABalappppaa",0.724386555770445,1.14727552233606,1.11098560433942,0.980980934531816
"ABalappppap","ABalappppap",0.646312438688673,1.25951110321428,1.11882298973056,0.7663856674936
"ABalappppp","ABalappppp",0.513387619391958,0.613439193496489,0.645225671307632,0.57975592282468
"ABalapppppa","ABalapppppa",0.60283899054211,1.20066886784906,0.99943093658761,0.817559145327172
"ABalapppppp","ABalapppppp",0.676194151420662,1.06702373447802,1.09437406914475,0.658663270710755
"ABalp","ABalp",0.106155314751676,0.149292899168182,0.1169441499276,0.10530447961376
"ABalpa","ABalpa",0.18394683371214,0.192313737027292,0.172403704459849,0.174063720973723
"ABalpaa","ABalpaa",0.237030607762793,0.167166477934817,0.236860728297441,0.236896225309585
"ABalpaaa","ABalpaaa",0.503858956176066,0.304604097192932,0.382752521014142,0.416887397295438
"ABalpaaaa","ABalpaaaa",1.12600648623962,0.458203068478308,1.09454567652965,0.86949168748814
"ABalpaaaaa","ABalpaaaaa",1.14589488486103,0.788027616377503,0.776751057297926,0.971079373779715
"ABalpaaaaaa","ABalpaaaaaa",1.15798238965358,1.12314613768753,1.15591421940201,0.916644097776296
"ABalpaaaaap","ABalpaaaaap",1.22361538812824,1.05412935450931,1.17770177140968,0.864805519441371
"ABalpaaaap","ABalpaaaap",1.51624115994699,0.762836342781076,1.27611416826734,0.991093019888399
"ABalpaaaapa","ABalpaaaapa",1.57009422822791,1.25469543078623,1.22183531996124,1.0109364023025
"ABalpaaaapp","ABalpaaaapp",1.60224182797818,1.37321878229034,1.31702941557847,0.749937507977795
"ABalpaaap","ABalpaaap",0.949408534055481,0.531095442790557,1.10607557666313,1.15784181159219
"ABalpaaapa","ABalpaaapa",1.03440962628757,0.817945445061531,1.07785427612959,1.35902647295435
"ABalpaaapaa","ABalpaaapaa",1.0479372648459,1.27221845067072,1.07956855123163,1.29587054065374
"ABalpaaapap","ABalpaaapap",1.0258810034226,0.910333993473429,0.999865334261147,1.13539305351915
"ABalpaaapp","ABalpaaapp",1.26979532454762,0.586232087162379,0.920125094173649,1.30585503952978
"ABalpaaappa","ABalpaaappa",1.56670554129508,1.06170665240437,1.18818312903783,NA
"ABalpaaappp","ABalpaaappp",1.68921514457716,0.967681522173712,1.64899549616905,NA
"ABalpaap","ABalpaap",0.407146583878569,0.380310429643244,0.404494444025481,0.356177979771097
