Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
ABalpppappp	379	NA	NA	NA	NA
ABalpppapppa	NA	NA	NA	NA	NA
ABalpppapppp	NA	NA	NA	NA	NA
ABalpppp	171	134.3	106.8	109.3	114.4
ABalppppa	220	178.3	149.9	155.5	162.4
ABalppppaa	289	251.7	227	227.2	246.7
ABalppppaad	NA	NA	NA	NA	NA
ABalppppaav	NA	NA	NA	NA	NA
ABalppppap	299	243.4	220.4	219.7	238.4
ABalppppapa	409	NA	NA	NA	NA
ABalppppapaa	NA	NA	NA	NA	NA
ABalppppapap	NA	NA	NA	NA	NA
ABalppppapp	NA	NA	NA	NA	NA
ABalppppp	214	171.9	143.7	150.6	154.6
ABalpppppa	279	240.1	213.8	219.7	235.1
ABalpppppaa	NA	NA	NA	NA	NA
ABalpppppap	NA	NA	NA	NA	NA
ABalpppppp	259	222	196	202.3	207.2
ABalppppppa	349	NA	275.3	NA	293.8
ABalppppppaa	NA	NA	NA	NA	NA
ABalppppppap	NA	NA	NA	NA	NA
ABalppppppp	349	NA	278.7	NA	283.6
ABalpppppppa	NA	NA	NA	NA	NA
ABalpppppppp	NA	NA	NA	NA	NA
ABar	51	30	4.5	7	7.5
ABara	73	46.6	21	23.4	24
ABaraa	103	72.2	46.6	47.1	48.1
ABaraaa	132	102.3	75.2	78	79.7
ABaraaaa	171	146.7	112.9	119	123.6
ABaraaaaa	239	195.9	164.1	167.8	176.6
ABaraaaaaa	324	268.5	236.9	234.7	266.7
ABaraaaaaaa	NA	NA	NA	NA	NA
ABaraaaaaap	NA	NA	NA	NA	NA
ABaraaaaap	329	276.9	233.6	237.2	266.7
ABaraaaaapa	NA	NA	NA	NA	NA
ABaraaaaapp	NA	NA	NA	NA	NA
ABaraaaap	244	200.7	168.8	175.1	179.8
ABaraaaapa	324	NA	258.5	254.8	287
ABaraaaapaa	NA	NA	NA	NA	NA
ABaraaaapap	NA	NA	NA	NA	NA
ABaraaaapp	NA	NA	NA	NA	NA
ABaraaap	171	137.4	108.3	116.5	115.9
ABaraaapa	220	178.3	146.8	158	159.3
ABaraaapaa	294	253.4	217.1	227.2	241.7
ABaraaapaaa	NA	NA	NA	NA	NA
ABaraaapaap	NA	NA	NA	NA	NA
ABaraaapap	279	236.8	200.8	214.7	221.9
ABaraaapapa	NA	NA	NA	NA	NA
ABaraaapapp	NA	NA	NA	NA	NA
ABaraaapp	231	187.9	156.2	167.8	175
ABaraaappa	304	271.9	238.5	247.2	270.1
ABaraaappaa	NA	NA	NA	NA	NA
ABaraaappap	NA	NA	NA	NA	NA
ABaraaappp	299	255.1	228.6	237.2	260
ABaraaapppa	NA	NA	NA	NA	NA
ABaraaapppp	NA	NA	NA	NA	NA
ABaraap	132	102.3	75.2	78	78.2
ABaraapa	171	139	109.9	114.1	119
ABaraapaa	229	183.1	154.6	160.4	168.7
ABaraapaaa	299	263.4	228.6	227.2	261.7
ABaraapaaaa	NA	NA	NA	NA	NA
ABaraapaaap	NA	NA	NA	NA	NA
ABaraapaap	284	245.1	217.1	219.7	240
ABaraapaapa	NA	NA	NA	NA	NA
ABaraapaapp	NA	NA	NA	NA	NA
ABaraapap	229	183.1	153	158	164
ABaraapapa	279	233.5	208.9	212.3	218.6
ABaraapapaa	409	NA	NA	NA	NA
ABaraapapaad	NA	NA	NA	NA	NA
ABaraapapaav	NA	NA	NA	NA	NA
ABaraapapap	NA	NA	NA	NA	NA
ABaraapapp	324	278.6	228.6	244.7	275.1
