"","Cells","20220915_JIM712_ceh.32_L4","20220923_JIM712_ceh.32_L4","20221004_JIM712_ceh.32_L2","20221004_JIM712_ceh.32_L4"
"ABalpa","ABalpa",2.55670848150177,1.49542988658839,2.11430895147549,2.00249363622741
"ABalpaa","ABalpaa",2.7009261501979,2.06230746613707,2.20714415165968,1.17494715258235
"ABalpaaa","ABalpaaa",4.01791226490586,2.76091885597696,4.50847312478862,3.4824328693074
"ABalpaaaa","ABalpaaaa",10.5457844289917,3.65717375401074,7.96229635809477,6.5489089738887
"ABalpaaaaa","ABalpaaaaa",6.82609421753076,3.95303738545656,2.36705574430497,4.64377321512489
"ABalpaaaaaa","ABalpaaaaaa",5.12952492211078,3.95824300225167,3.35298547609568,2.93210677314887
"ABalpaaaaap","ABalpaaaaap",4.9051760584386,3.58870756410701,5.60427287931656,3.43508908947467
"ABalpaaaap","ABalpaaaap",9.76590496511386,2.22567701039572,6.79444310922555,4.530173671277
"ABalpaaaapa","ABalpaaaapa",7.08407024919565,3.56103948756138,3.22062783300267,2.4152423360588
"ABalpaaaapp","ABalpaaaapp",7.81040091730586,4.33401912923878,3.70511559738763,2.20532964289895
"ABalpaaap","ABalpaaap",7.22407943570463,4.66283463784036,5.81722210625843,9.61462844617924
"ABalpaaapa","ABalpaaapa",5.32989110103092,3.41037760214692,4.61414465421347,7.83790337343934
"ABalpaaapaa","ABalpaaapaa",3.95137199239662,2.97150842641802,3.18711521462214,6.00210587252801
"ABalpaaapap","ABalpaaapap",4.86652293387243,2.77026356971126,3.11347895956589,6.29338554146177
"ABalpaaapp","ABalpaaapp",6.58767883641614,1.72894072370815,3.80431022487561,7.09762177853734
"ABalpaaappa","ABalpaaappa",8.90729957296453,2.69541653991258,5.28431107651188,NA
"ABalpaaappp","ABalpaaappp",10.2470727257497,2.27475905588269,7.17773840755079,NA
"ABalpaap","ABalpaap",2.77227692017168,1.72277847145016,2.83335519283884,2.8206326850475
"ABalpaapa","ABalpaapa",3.41430553874158,2.0431305767994,1.97570114000616,3.05173216542891
"ABalpaapaa","ABalpaapaa",3.04615402563332,1.75963241220623,1.57509870412061,3.00195615336829
"ABalpaapaaa","ABalpaapaaa",2.58901625308768,2.98481790889416,1.5396845111637,6.01616571391861
"ABalpaapaap","ABalpaapaap",2.04358707770364,3.04181819186095,2.93072902951831,5.95997991700147
"ABalpaapap","ABalpaapap",3.15112924053805,1.76392516112909,3.71065173235479,1.50758737883609
"ABalpaapapa","ABalpaapapa",2.82456337824844,1.58998208421985,2.71796669241124,2.63376264998648
"ABalpaapapp","ABalpaapapp",2.98870689469275,2.06164420982692,3.04199686111076,3.00851214840473
"ABalpaapp","ABalpaapp",2.37780012362898,2.10465165301991,2.83991217113327,4.49674620815728
"ABalpaappa","ABalpaappa",3.8317564028685,1.66276347683938,2.65257537167087,4.65140365968489
"ABalpaappaa","ABalpaappaa",3.49179605067185,2.42809065308251,3.07553484886085,3.88674112072342
"ABalpaappap","ABalpaappap",3.99408917600719,1.8981916156003,2.33309885456344,4.05971273967864
"ABalpaappp","ABalpaappp",1.81337773756294,1.69038603135128,2.11241215479656,3.07762392316853
"ABalpaapppa","ABalpaapppa",3.7658153211054,4.14407425539335,3.73293872676288,4.04448076300889
"ABalpaapppp","ABalpaapppp",3.42587201068982,2.63548694769286,3.48712041476694,1.28219457822449
"ABalpap","ABalpap",4.00112988501632,1.51040349721189,2.23625761066542,1.46330338503763
"ABalpapa","ABalpapa",3.41317106038655,2.96506971890152,4.05934017122042,2.18259201654309
"ABalpapaa","ABalpapaa",4.00998334236053,5.3165001012045,2.83225478229658,5.6502926090064
"ABalpapaaa","ABalpapaaa",3.67804896867252,2.19440593842369,0.996541438253553,2.75435891586434
"ABalpapaaaa","ABalpapaaaa",2.97788457401247,1.44673740396863,3.03878637679437,1.53445038864085
"ABalpapaaap","ABalpapaaap",3.93234986916715,1.61478700093485,2.42213474681659,1.74773054637193
"ABalpapaap","ABalpapaap",3.50561832917612,1.76545111383524,3.79577457831667,3.42540280419937
"ABalpapaapa","ABalpapaapa",5.81464646382389,3.04108509015879,6.91766361742874,1.59420983204952
"ABalpapaapp","ABalpapaapp",5.38216357201947,2.34889292056113,4.5254501869374,1.83750184796009
"ABalpapap","ABalpapap",3.53491878971724,2.32034975762088,2.75434819476891,5.58771197161069
"ABalpapapa","ABalpapapa",1.44845962499452,1.50698501288372,2.11043933690236,3.98797126434292
"ABalpapapaa","ABalpapapaa",3.65020315330429,1.73669169213806,3.5275539614231,2.66445880731245
