"Cells","Fates","Times","CC_Defects","Pos_Defects","Angle_Defects","Cell_Count","Division_Count","Expression","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","MeanMaxPositionDev","MeanMeanPositionDev"
"ABalapapp",NA,171,1,0,1,4,4,2952,0,0,922,0,217,4.18655170981039,2.67638249268922
"ABalapappa",NA,218,0,0,0,4,4,2952,0,0,6274,0,217,2.90466663441108,1.78045396225022
"ABalapappaa",NA,279,0,2,0,4,0,15639,0,0,9532,0,217,4.68345566940335,3.18847361721902
"ABalapappaaa","IL1DL",400,0,0,0,NA,0,15639,0,0,9532,0,217,NA,NA
"ABalapappaap","death",400,0,0,0,NA,0,15639,0,0,9532,0,217,NA,NA
"ABalapappap","IL2DL",279,0,2,0,4,0,11060,0,0,8299,0,217,4.15974622926863,2.65216291614271
"ABalapappp",NA,218,2,0,0,4,4,2952,0,0,5496,0,217,4.02023779635517,2.44581248586737
"ABalapapppa","AVJL",294,0,2,0,4,0,2952,0,0,10446,0,217,4.0401907097461,3.00794610641681
"ABalapapppp","CEPsoDL",294,0,2,0,4,0,2952,0,0,10112,0,217,4.40096115891506,3.13589975206217
"ABalapp",NA,103,0,0,0,4,4,95,0,0,0,0,88,3.21985186102804,2.0238142381307
"ABalappa",NA,135,0,0,0,4,4,863,0,0,469,0,92,5.64677097186351,3.15917663562228
"ABalappaa",NA,178,0,0,0,4,4,932,0,0,1761,0,92,6.17057076502161,3.8225732905855
"ABalappaaa","death",239,0,2,0,4,0,5141,2,0,1761,0,92,5.85503610903614,3.912858904384
"ABalappaap",NA,239,0,0,0,4,4,15871,0,0,1761,0,92,6.25691806678896,3.91754588415688
"ABalappaapa","RID",339,0,0,0,3,0,15960,0,0,1761,0,92,3.6947937968745,3.05329381008215
"ABalappaapp","death",339,0,0,0,3,0,15871,0,0,1761,0,92,3.3318060688067,2.83048803494011
"ABalappap",NA,178,0,0,0,4,4,1251,3,0,1315,0,92,5.81940645981564,4.29638598965828
"ABalappapa",NA,227,0,1,0,4,4,7459,3,0,1653,0,92,5.27122346033847,3.17021227394838
"ABalappapaa","AVHR",332,0,0,0,1,0,7459,3,0,2409,0,92,1.98999705432236,1.33756578245622
"ABalappapap","death",332,0,0,0,1,0,7459,3,0,2756,0,92,3.14573226605125,2.06929791071939
"ABalappapp",NA,227,0,0,0,4,4,8599,3,0,2003,0,92,5.53619574230188,3.34137199727035
"ABalappappa","CANR",295,0,3,0,4,0,9314,3,100,2003,0,92,6.94877631770439,5.0602030410132
"ABalappappp","OLLsoR",295,0,1,0,4,0,8599,3,1,2541,0,92,4.9272516205087,3.47291769344319
"ABalappp",NA,135,0,0,0,4,4,669,0,0,322,0,88,4.96283825898158,2.60589893695705
"ABalapppa",NA,172,0,0,0,4,4,669,0,0,3239,0,88,4.51369058266788,3.05402093282856
"ABalapppaa",NA,219,0,0,0,4,2,669,0,0,7177,0,88,4.68969599348967,2.67188556011009
"ABalapppaaa","ALA",295,0,1,0,4,0,3359,0,0,7177,0,88,4.72260924807885,3.14119354669059
"ABalapppaap","RMED",295,0,2,0,4,0,1152,0,0,7177,0,88,4.75386637829158,3.20995816574584
"ABalapppap",NA,219,1,0,0,4,4,831,0,0,6513,0,88,4.68040275124414,3.14981051389608
"ABalapppapa",NA,284,0,0,0,4,0,14993,0,0,6513,0,88,3.79691462871412,2.61148580426914
"ABalapppapaa","OLQDR",400,0,0,0,NA,0,14993,0,0,6513,0,88,NA,NA
"ABalapppapap","death",400,0,0,0,NA,0,14993,0,0,6513,0,88,NA,NA
"ABalapppapp","URYDR",284,0,1,0,4,0,8104,0,0,6513,0,88,4.19165614454115,2.97833308834746
"ABalapppp",NA,172,0,0,0,4,4,772,0,0,2802,0,88,5.52764459481761,3.67141539000988
"ABalappppa",NA,219,0,0,0,4,4,772,0,0,7483,0,88,3.80883344268726,2.52544157621199
"ABalappppaa",NA,278,0,3,0,4,0,15441,0,0,7483,0,88,5.10537775912601,3.52340308672185
"ABalappppaaa","IL1DR",400,0,0,0,NA,0,15441,0,0,7483,0,88,NA,NA
"ABalappppaap","death",400,0,0,0,NA,0,15441,0,0,7483,0,88,NA,NA
"ABalappppap","IL2DR",278,0,1,0,4,0,8908,0,0,7483,0,88,4.10065128785738,2.63399673182284
"ABalappppp",NA,219,0,0,0,4,3,772,0,0,7313,0,88,3.97872272712261,2.37200055646582
"ABalapppppa","AVJR",291,0,1,0,4,0,1157,0,0,12621,0,88,3.67367740922727,2.64489216695016
"ABalapppppp","CEPsoDR",291,0,1,0,4,0,772,0,0,10742,0,88,4.33998548494468,2.74023018848665
"ABalp",NA,56,0,0,1,4,3,51,0,0,0,0,0,3.67751466474204,2.28335183214145
"ABalpa",NA,75,0,0,0,4,4,80,0,0,0,0,0,3.66500282742736,2.04223523894826
"ABalpaa",NA,102,0,0,1,4,4,80,0,0,0,0,0,3.44660557957487,2.03633123014425
"ABalpaaa",NA,134,0,0,0,4,4,581,0,0,0,0,0,6.05402933673251,3.69243427874471
