paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20221004_JIM712_ceh.32_L4	X20221004_JIM712_ceh.32_L2	X20220915_JIM712_ceh.32_L4	X20220923_JIM712_ceh.32_L4
ABplpappa 0.6994	0	1	-1	-3	0	1	1	0	1	1	1	-2	-1	1	4	-1	-3	2	0	0	2	0	-1	1	2	-1
ABplpappaa 0.4376	-3	-11	2	1	3	4	3	2	-4	3	0	0	-2	0	0	-2	1	4	-1	2	-3	1	4	1	6	-3
ABplpappaaa NA																										
ABplpappaap NA																										
ABplpappap NA																										
ABplpappp 0.4339	-1	-1	1	-1	-1	5	1	1	-3	2	6	-4	-3	-1	6	-3	0	0	3	-3	0	-4	0	4	4	-2
ABplpapppa 0.6428	2	-1	5	-4	-1	6	4	-1	2	4	1	-3	-2	5	-3	-1	4	-5	-5	-5	-5	3	-1	2	-3	7
ABplpapppaa NA																										
ABplpapppap NA																										
ABplpapppp 0.861	-1	-1	7	-1	3	6	5	-4	-1	9	-2	4	-5	0	-1	-2	-2	-5	2	-4	-3	-5	0	5	-5	2
ABplpappppa NA																										
ABplpappppp NA																										
ABplpp 0.1278	1	-1	0	-2	1	-2	0	0	-1	0	1	3	3	-1	0	1	-1	1	-2	-2	0	1	-1	0	-4	-5
ABplppa 0.7814	1	2	-3	-2	3	-2	1	0	0	1	3	-1	-2	0	-1	1	1	0	-1	0	0	0	0	3	0	-2
ABplppaa 0.07	0	0	1	-3	1	5	5	0	-2	0	3	-1	-2	-3	2	0	-1	-3	-2	-2	2	0	-1	0	-2	-1
ABplppaaa 0.2636	1	-1	1	0	2	0	2	-1	0	3	1	-2	-3	-2	0	0	-2	-1	1	1	-1	2	1	-4	-1	-4
ABplppaaaa 0.5813	1	-2	-1	-1	3	4	-2	4	0	0	0	0	-1	-2	-3	-1	-2	-1	0	2	-1	3	0	4	-1	0
ABplppaaaaa NA																										
ABplppaaaap NA															0				9		-14	5				
ABplppaaaapa NA																										
ABplppaaaapp NA																										
ABplppaaap NA																										
ABplppaap 0.1799	1	0	0	0	2	-1	2	-1	0	0	-1	-1	-1	-1	2	-1	-1	0	1	-1	1	0	1	2	6	0
ABplppaapa 0.7062	-8	4	2	-2	3	5		-2	9	1	-5	-1	-2	1	-5	-3	6	0	-2	0	-2	-1	2	-7	-6	22
ABplppaapaa NA																										
ABplppaapap NA																										
ABplppaapp 0.7484	-5	-5	4	1	13	0	3	1	1	-2	-3	1	0	5	1	-4	-3	-4	-1	6	-2	-6	-2	8	-4	1
ABplppaappa NA																										
ABplppaappp NA																										
ABplppap 0.2198	0	-1	1	-2	0	2	3	2	0	0	2	-5	-1	-3	0	1	2	-1	-2	-2	3	0	0	-1	-1	-3
ABplppapa 0.7676	-1	0	-1	-2	1	0	2	-1	2	1	1	1	-2	-1	0	0	0	2	1	1	-2	-1	-1	1	2	-4
ABplppapaa 0.2285	3	0	1	-1	-1	0	2	1	3	-1	-2	-2	1	2	-4	-2	-1	2	-1	1	0	-3	-1	8	5	0
ABplppapaaa NA																										
ABplppapaaaa NA																										
ABplppapaaap NA																										
ABplppapaap NA																										
ABplppapap 0.4989	-4	1	2	-2	5	-7		7	-1	3	-1	3	8	-2	-1	0	5	-5	-6	3	-2	-3	1	2	-3	-4
ABplppapapa NA																										
ABplppapapp NA																										
ABplppapp 0.6262	-3	-1	-1	-2	5	1	3	1	1	2	-1	3	-4	0	-1	-2	-1	-1	3	2	-1	-1	-1	3	3	-1
ABplppappa 0.7918	-1	-1	4	-5	-2	-2	3	6	1	1	-3	-2	4	4	-2	-2	5	-4	-3	-2	-2	1	-4	7	-4	-2
ABplppappaa NA																										
ABplppappap NA																										
ABplppappp 0.3396	5	-1		-3	6	-6		0	3	2	-5	-1	5	14	-9	2	-2	1	-4	9	-7	-9	-2	3	-6	-5
ABplppapppa NA																										
ABplppapppp NA																										
ABplppp 0.6788	1	1	-1	-1	2	-2	-1	1	0	-1	3	-1	0	-1	-1	0	1	0	-1	-2	2	0	-2	2	-1	-2
ABplpppa 0.5485	1	1	0	-2	-1	-1	2	0	0	2	2	-2	-1	-1	0	0	1	1	-2	-2	2	1	0	-1	3	-1
ABplpppaa 0.931	-3	0	-1	0	3	6	2	-1	0	-2	0	-1	0	-1	0	0	-1	-3	1	1	1	0	1	3	-1	-2
ABplpppaaa 0.3139	-6	2	7	2	-8	-2	3	-3	-1	6	-3	-2	-1	4	-3	3	7	-4	4	1	-1	-6	1	8	0	1
ABplpppaaaa NA																										
ABplpppaaap NA																										
ABplpppaap 0.5392	1	2	9	-5	-2	-2	0	1	4	0	-3	-3	-1	0	-1	1	2	-4	0	-1	0	1	-2	10	-2	3
ABplpppaapa NA																										
ABplpppaapaa NA																										
ABplpppaapap NA																										
ABplpppaapp NA																										
ABplpppap 0.8451	-3	0	2	-2	5	3	2	0	-2	1	0	1	-2	0	1	0	0	-2	-1	0	-1	-2	-1	6	-1	-2
ABplpppapa 0.6999	1	-2	0	1	2	-1	3	1	2	7	-2	-3	0	-1	-2	-4	1	-2	1	-3	2	-1	-2	8	1	-3
ABplpppapaa NA																										
ABplpppapap NA																										
ABplpppapp NA																										
ABplpppp 0.7306	2	2	-1	-1	0	0	1	0	1	1	0	-1	-1	-1	1	-1	1	-1	-3	-1	1	0	0	0	2	-1
ABplppppa 0.5239	-1	-2	1	-2	1	0	1	-1	0	1	1	-1	-2	-2	1	1	0	1	0	1	1	2	0	4	2	-2
ABplppppaa 0.8448	4	-2	9	2	-1	-1	0	1	7	2	-3	3	-7	-6	-6	-1	4	-4	0	0	-1	-2	-5	8	-4	-1
ABplppppaaa NA																										
ABplppppaap NA																										
ABplppppap 0.3765	3	-3	8	2	-4	2	4	-2	3	-3	4	0	-1	-1	-6	-2	0	-2	-1	4	-2	0	-1	10	10	-4
ABplppppapa NA																										
ABplppppapp NA																										
ABplppppp 0.0145	-3	-3	1	-2	4	0	4	2	0	0	3	-2	0	-1	-2	4	-1	-2	-1	-1	0	0	3	7	5	3
ABplpppppa 0.3446	-3	-3	4	-3	-4	-2	1	1	-2		12	-3	-4	25	-5	4		-7	-2	0	-2	-9	-4	5	8	3
ABplpppppaa NA																										
ABplpppppap NA																										
ABplpppppp 0.8733	-1	0	6	6	4	-5	1	4	7	1	0	1	3	-4	0	-5	-2	-8	-9	-3	-1	5	-9	10	-2	-3
ABplppppppa NA																										
ABplppppppp NA																										
ABpr 0.2044	3	-6	3		-3	2	1	3	-3	-7	-6	-5	3	1	3	3	3	2	1	2	2	-2	4	-9	-7	-7
ABpra 0.1263	3	2	0	-6	0	1	0	0	1	0	1	0	-1	0	-1	1	0	0	0	-1	1	0	0	0	-1	-2
ABpraa 0.2824	3	0	-2	-2	1	-2	-2	0	-1	0	4	0	3	-1	0	-1	-1	0	-2	-2	3	1	1	0	-2	-3
ABpraaa 0.5247	0	1	-2	-2	-1	0	-2	0	-1	0	2	-1	-1	-1	1	3	1	1	1	-1	0	0	0	1	-2	-3
ABpraaaa 0.3808	2	-1	0	-3	-2	1	2	-3	-3	-1	2	0	-2	0	2	0	2	1	0	0	2	-1	1	-2	1	5
ABpraaaaa 0.9986	-3	0	6	-1	-1	5	2	-1	0	-2	-3	3	-3	-2	-1	2	-2	6	0	-2	0	-1	2	0	-3	1
ABpraaaaaa 0.991	-1	1		0	-4	3	-1	8	-4	-1	-4	1	0	15	0	-1	0	-4	-2	-2	-3	-2	-2	8	1	-7
ABpraaaaaaa NA																										
ABpraaaaaap NA																										
ABpraaaaap 0.1869	-2	0		4	2		-6	6	-3	-5	-6	4	10	6	4	5	0	-2	-7	-2	-2	-5	-3	1	-9	-3
ABpraaaaapd NA																										
ABpraaaaapv NA																										
ABpraaaap 0.559	-3	-1	-2	2	0	1	0	1	0	2	-1	-1	-2	0	0	-2	1	3	1	0	0	2	1	3	0	-1
ABpraaaapa 0.1376	3	-3	-1	-3	-3	4	3	6	4	6	0	-1	-2	1	-1	-1	4	-5	-5	-4	-1	-3	10	2	1	19
ABpraaaapad NA																										
ABpraaaapav NA																										
ABpraaaapp 0.538	0	0	-5	0	2	4	-3	-1	4	0	-4	1	-4	2	9	1	0	1	-3	-1	-1	-1	-3	3	3	1
ABpraaaappa NA																										
ABpraaaappp NA																			-3		3	0				
ABpraaaapppa NA																										
ABpraaaapppp NA																										
ABpraaap 0.8004	1	0	0	-2	-1	1	0	-1	-1	0	2	-1	-1	-1	0	-1	1	1	1	0	2	0	0	-2	1	1
ABpraaapa 0.2357	-2	-3	-2	-1	1	4	1	0	2	-1	2	0	-1	1	-1	-1	-2	0	0	2	2	1	0	-3	1	-3
ABpraaapaa 0.0381	0	-6	9	1	4	3	0	1	7	-2	3	0	1	1	-7	-2	-3	-1	-3	1	0	-9	-5	-1	-8	-6
ABpraaapaad NA																										
ABpraaapaav NA																										
ABpraaapap 0.4058	-2	-7	1	4	8	0	0	4	1	-5	-1	0	0	0	1	4	-4	-1	-6	2	3	-2	1	0	-3	-2
ABpraaapapa NA																			1			-1				
ABpraaapapaa NA																										
ABpraaapapap NA																										
ABpraaapapp NA																										
ABpraaapp 0.7766	-1	-3	0	-2	1	2	0	-1	0	2	-1	-1	-2	3	1	-2	-1	1	-1	2	0	2	0	2	-1	-3
ABpraaappa 0.2215	-2	-1	6	-2	-2	4	-2	-1	4	8	3	5	0	-2	2	-2	2	-5	-5	-7	-3	0	-2	-5	0	0
ABpraaappaa NA																										
ABpraaappap NA																										
ABpraaappp 0.8003	0	-1	-1	2	-2	1	2	2	0	0	-1	4	1	-1	2	-4	-2	-3	1	1	1	0	-1	3	-1	-1
ABpraaapppa NA		-3													12	-1	-3		-5	4	-1	-3		-6		
ABpraaapppaa NA																										
ABpraaapppap NA																										
ABpraaapppp 0.3768		2													0	3	0	1	-2	-5	1	0		-2	-9	
ABpraaappppa NA																										
ABpraaappppp NA																										
ABpraap 0.4648	0	1	-2	-2	-1	1	-2	0	-3	-2	3	-1	-1	-1	1	1	2	2	1	0	2	0	-1	1	0	-2
ABpraapa 0.5076	2	0	-2	-4	-3	2	0	0	-2	-2	1	-1	-1	-1	3	3	0	2	-1	0	1	2	3	-1	-1	3
ABpraapaa 0.0538	0	-1	-2	-1	-3	1	1	0	1	-1	-1	0	1	1	3	1	-2	0	1	0	2	1	0	-2	-2	-3
ABpraapaaa 0.2731	1	0	0	1	-3	3	-1	-2	4	-2	4	0	1	2	3	3	1	-8	-3	-2	3	-4	4	5	0	-1
ABpraapaaaa NA																										
ABpraapaaap NA																										
ABpraapaap 0.7138	-1	-1	5	4	-2	3	1	3	0	-1	-2	-3	-1	3	3	-2	0	-2	-2	0	0	-5	2	-1	1	0
ABpraapaapa NA																										
ABpraapaapp NA																										
ABpraapap 0.734	0	-2	2	-1	-3	-1	-1	-2	1	1	1	-2	-3	3	3	-1	-2	3	2	2	-1	3	0	2	2	-3
ABpraapapa 0.1804	-2	-2	2	1	-4	4	0	-1	0	-4	-1	3	2	-3	-1	1	1	-2	7	1	-2	0	-3	1	-7	-3
ABpraapapaa NA																										
ABpraapapap NA																										
ABpraapapp 0.5685	4	1	1	0	-3	2	-2	2	2	-2	0	-1	1	2	-2	-2	0	0	-1	2	-3	0	1	5	-4	2
ABpraapappa NA																										
ABpraapappp NA																			-1		1	-1				
ABpraapapppa NA																										
ABpraapapppp NA																										
ABpraapp 0.0446	0	0	-2	0	0	0	0	-2	-2	-2	2	-1	0	0	1	1	-1	2	-1	-1	1	2	2	0	2	0
ABpraappa 0.7414	-3	-2	1	-1	4	1	0	-1	1	0	1	-3	-3	2	2	0	-2	4	1	1	-2	2	1	-2	-1	1
ABpraappaa NA																										
ABpraappaaa NA																										
ABpraappaap NA																										
ABpraappap NA																										
ABpraappp 0.0028	0	-1	0	-3	0	2	-1	-2	-2	-1	1	0	-1	0	1	1	-1	5	1	1	0	1	3	3	1	3
ABpraapppa NA																										
ABpraapppp NA																										
ABprap 0.4632	1	0	-2	-2	1	-2	-1	0	-1	0	2	2	1	-1	0	-1	1	0	-2	-2	2	1	-1	2	-2	-2
ABprapa 0.3692	2	-1	-2	0	1	-1	-2	0	-1	-2	2	1	0	0	1	1	1	2	1	-1	0	0	0	1	-3	-3
ABprapaa 0.7992	-3	3	3	-2	1	3	3	0	0	-2	-1	-1	-3	-2	2	0	-1	1	-1	-2	0	3	-1	-1	2	-1
ABprapaaa 0.038	0	1	-1	-1	-1	3	0	0	-1	1	1	0	-2	1	3	-1	0	1	-3	-1	1	0	-2	-1	-4	-4
ABprapaaaa 0.4336	3	2	0	-3	-2	-3	-5	1	7	0	-5	-2	-3	3	-2	0	0	2	4	-1	1	1	0	10	-2	1
ABprapaaaaa NA																										
ABprapaaaap NA																					3	-3				
ABprapaaaapa NA																										
ABprapaaaapp NA																										
ABprapaaap 0.951	-3	-3	5	-2	-1	-2	-2	3	2	-6	-2	-1	-1	6	3	2	-5	-2	8	0	-5	6	-3	9	-3	-3
ABprapaaapa NA																										
ABprapaaapad NA																										
ABprapaaapav NA																										
ABprapaaapp NA																										
ABprapaap 0.4548	-1	-1	-4	-2	0	0	-2	-1	-2	0	1	6	-2	-1	2	0	1	5	-1	4	-2	0	1	0	-1	-5
ABprapaapa NA																										
ABprapaapp NA																										
ABprapap 0.5912	1	1	0	-1	1	1	3	1	-1	-1	0	-2	-1	-1	0	-2	1	1	-1	-1	0	1	-1	-1	1	-1
ABprapapa 0.1808	1	0	0	-3	-1	-1	2	-4	-1	-3	3	0	-1	1	2	1	-1	3	3	0	0	-1	0	0	-2	-5
ABprapapaa NA																										
ABprapapaaa NA																										
ABprapapaap NA																										
ABprapapap NA																										
ABprapapp 0.0376	-1	0	0	-1	0	1	2	-2	0	-1	2	0	0	1	0	-1	1	1	-1	1	1	-2	-3	0	-2	-3
ABprapappa NA																										
ABprapappp 0.8425	6	-6	-2	5	0	-1	0	5	-1	0	1	2	1	11	0	-5	-1	-2	-4	-2	-4	-4	-6	6	-3	1
ABprapapppa NA																										
ABprapapppp NA																					4	-4				
ABprapappppa NA																										
ABprapappppaa NA																										
ABprapappppap NA																										
ABprapappppp NA																										
ABprapp 0.6676	3	0	-1	-1	0	0	-1	-1	0	-3	2	-2	1	0	0	0	2	0	-1	-1	0	1	1	0	-1	-2
ABprappa 0.1976	2	0	-1	-3	1	2	2	-1	-3	-1	2	-1	-2	-2	-1	-2	-1	3	3	-1	2	2	-1	1	6	4
ABprappaa 0.2468	-1	-3	-1	-3	2	2	0	-1	-1	-3	3	-1	0	3	2	2	0	0	-1	1	-1	0	-1	0	-2	0
ABprappaaa NA																										
ABprappaap NA																										
ABprappap 0.652	-2	-1	0	-1	1	-1	3	-3	-1	-1	4	-2	1	5	-1	-1	-1	0	0	0	0	-1	-2	2	-4	1
ABprappapa NA																										
ABprappapp NA																										
ABprappp 0.247	2	0	0	-3	-1	1	0	1	-1	0	0	1	-2	-1	2	0	-1	1	-2	1	2	0	1	3	4	-1
ABprapppa 0.0719	4	-3	-2	-3	-1	2	2	-1	-1	-2	1	1	-3	-2	0	1	0	1	1	1	3	2	0	-3	-4	-2
ABprapppaa 0.2925		10		0	8		-3	1	-7	-4	-2	-1	3	0	-3	-1	17	-7	-6	1	1	-7		-6	-14	1
ABprapppaaa NA																										
ABprapppaap NA																										
ABprapppap 0.8704	5	-3	-1	6	4	-4	1	-2	2	-4	-3	2	-1	2	-2	-3	9	-3	-2	-3	4	-5	0	5	-6	-1
ABprapppapa NA																										
ABprapppapp NA																			3		-5	1				
ABprapppappa NA																										
ABprapppappp NA																										
ABprapppp 0.2527	1	0	-3	1	1	2	1	-2	-3	-1	1	5	1	-2	1	-1	-3	2	0	-2	0	1	-2	1	-7	-2
ABprappppa NA																										
ABprappppp NA																										
ABprp 0.2999	3	2	-1	-7	-1	0	0	0	1	-1	2	1	0	-1	0	0	0	1	0	-1	1	1	-1	1	-2	-3
ABprpa 0.0404	2	1	-1	-1	2	-2	-1	1	0	-1	1	0	-2	0	-1	0	2	1	-1	-1	1	-2	-2	-1	-3	-4
ABprpaa 0.9582	2	0	-2	-1	2	-1	-1	0	-1	0	2	0	1	-1	0	1	0	-1	-2	-1	1	1	1	2	-2	-1
ABprpaaa 0.2544	0	2	-2	-2	-2	2	3	0	0	1	0	-1	1	-3	0	1	2	-1	1	-2	0	0	0	1	0	0
ABprpaaaa 0.4841	-1	-2	-2	-1	-3	1	-2	0	0	3	-2	2	-1	-1	3	-2	0	1	2	1	1	2	0	1	-1	-2
ABprpaaaaa 0.6145	-6	-3	1	2	-2	3	0	1	-1	3	-4	-4	5	0	-1	3	-2	5	2	1	-1	0	-6	4	-6	2
ABprpaaaaaa NA																										
ABprpaaaaap NA																										
ABprpaaaap 0.5633	-1	1	2	1	-5	6	3	-3	4	-3	-4	-1	1	0	-1	-3	3	1	2	-1	-2	-1	-1	7	-4	6
ABprpaaaapa NA																										
ABprpaaaapp NA																										
ABprpaaap 0.3256	-1	0	1	0	-2	0	2	-1	-1	-1	2	1	-2	-2	2	-1	1	1	-1	2	-2	1	1	0	-2	-3
ABprpaaapa 0.2842	-1	-2	0	-2	-6	2	0	1	2	-2	-5	2	1	8	-4	5	7	-5	-1	6	-3	-3	-1	10	-2	7
ABprpaaapaa NA																										
ABprpaaapap NA																										
ABprpaaapp 0.9726	5	-2	-3	0	0	-1	2	4	4	-8	-2	-2	0	2	3	4	0	-1	0	-2	-2	-2	-1	3	3	-5
ABprpaaappa NA																			-1		0	1				
ABprpaaappaa NA																										
ABprpaaappap NA																										
ABprpaaappp NA																										
ABprpaap 0.8164	0	1	-2	-1	0	2	1	-1	0	1	1	-2	-2	-2	-1	0	3	0	0	1	0	0	1	0	-1	0
ABprpaapa 0.3548	0	-1	-1	1	-1	3	1	0	1	-1	1	-1	-1	0	1	1	-2	-1	0	1	-1	0	0	1	-2	-3
ABprpaapaa 0.3964	2	0	-4	1	6	4	-2	3	0	1	-2	1	-4	1	-3	-1	0	1	3	1	-5	-2	11	-2	-3	8
ABprpaapaaa NA																										
ABprpaapaap NA																										
ABprpaapap 0.1829	1	0	-1	2	1	-1	4	4	-1	1	-5	-2	3	-2	-5	2	6	-1	0	1	-6	2	4	13	-3	10
ABprpaapapa NA																										
ABprpaapapp NA																										
ABprpaapp 0.8456	0	0	-4	0	-3	3	2	2	0	0	0	-3	-2	1	3	1	-3	-1	0	3	-1	2	0	2	2	-4
ABprpaappa 0.0135	3	-2	-1	2	1	3	-1	-2	1	0	2	0	-2	1	-4	-2	-2	0	4	-3	-2	4	3	8	4	7
ABprpaappaa NA																										
ABprpaappap NA																										
ABprpaappp 0.1712	2	0	-4	1	-2	3	-1	2	0	-1	0	0	4	-2	0	0	-2	1	-6	3	-3	3	0	10	1	8
ABprpaapppa NA																										
ABprpaapppp NA																			11		-11	0				
ABprpaappppa NA																										
ABprpaappppp NA																										
ABprpap 0.7231	2	0	-1	0	1	-1	0	0	-1	0	3	-1	2	0	-1	1	0	0	-1	-1	0	0	2	1	-1	-1
ABprpapa 0.3074	2	0	0	0	0	0	1	0	0	-2	0	-1	0	-3	0	1	3	0	-1	-2	1	0	0	-1	0	-1
ABprpapaa 0.2616	-2	-2	1	1	-3	2	2	1	-1	0	0	-2	-1	0	4	1	-3	2	0	0	-2	1	0	0	-1	-3
ABprpapaaa 0.9156	1	-4	4	0	3	-3	6	-3	2	-4	-3	6	-3	11	2	4	-4	-4	-8	1	-1	-1	-2	0	-4	5
ABprpapaaaa NA																										
ABprpapaaap NA																										
ABprpapaap 0.6619	-1	-1	2	-2	7	-2	5	0	2	-1	-2	3	-2	2	-1	-1	-3	1	-2	-2	-1	0	-4	6	-7	0
ABprpapaapa NA																										
ABprpapaapp NA																										
ABprpapap 0.7511	-4	-1	0	1	-3	2	1	-1	1	2	-1	0	0	0	2	1	-2	1	1	1	0	-1	0	5	2	-4
ABprpapapa 0.6769	-2	1	1	2	-1	2	0	-1	1	-1	-3	0	0	-2	-1	3	0	-1	2	0	0	-2	2	0	-5	0
ABprpapapaa NA																										
ABprpapapap NA																										
ABprpapapp 0.7498	-1	2	2	0	0	0	2	1	4	-2	-4	3	2	-2	-4	2	1	1	0	-1	-2	-4	2	3	-4	1
ABprpapappa NA																										
ABprpapappp NA																										
ABprpapp 0.607	-1	0	-2	0	-2	1	1	0	0	0	1	-1	1	-1	2	-1	2	1	-1	0	0	2	0	1	-1	-1
ABprpappa 0.2782	0	-3	2	-1	0	4	-1	0	-1	1	-1	-4	-3	0	2	1	-2	2	1	1	0	1	0	2	1	0
ABprpappaa 0.5314	-2	1	-5	1	-5	1	3	4	1	2	-2	2	0	-3	2	1	-1	3	-2	1	-1	-1	-2	1	0	2
ABprpappaaa NA																										
ABprpappaap NA																										
ABprpappap 0.2565	0	-1	2	3	0	-1	3	-1	1	0	-4	1	-2	2	-3	-3	-2	5	-7	3	4	-2	0	9	1	1
ABprpappapa NA																										
ABprpappapp NA																										
ABprpappp 0.846	-2	-2	1	-1	1	4	-2	2	0	-1	1	-5	-2	0	1	0	-2	0	-1	0	1	6	0	2	0	-4
ABprpapppa 0.0511	0	-2	0	-3	-2	2	-3	3	-2	-1	-4	-1	-1	2	-4	1	1	4	2	8	1	0	1	8	13	7
ABprpapppaa NA																										
ABprpapppap NA																										
ABprpapppp 0.3399	-3	0	-1	-1	4	0	1	2	-1	4	-2	3	-1	3	-3	-3	-1	0	-4	3	-1	-1	0	3	-1	2
ABprpappppa NA																										
ABprpappppp NA																										
ABprpp 0.1615	2	0	0	0	3	0	-1	0	-1	-1	1	-1	0	0	-1	0	1	0	-1	0	0	0	-1	0	-3	-5
ABprppa 0.789	1	1	-3	-2	1	-2	1	0	0	1	3	-1	0	0	-1	2	-1	1	-1	-2	2	1	2	-1	0	-2
ABprppaa 0.2136	3	2	-2	-1	-1	2	0	2	-2	0	2	1	1	-2	2	-2	0	-1	-1	-1	-2	-1	-1	1	-4	-6
ABprppaaa 0.3803	-3	0	-1	0	0	1	3	0	-1	-1	0	0	2	0	1	-1	-2	0	0	-1	1	1	-3	1	-4	0
ABprppaaaa 0.9887	-1	4	1	-1	1	-1	1	2	1	-2	2	-3	3	1	2	-2	-4	1	-1	-2	-3	1	-1	4	-4	1
ABprppaaaaa NA																										
ABprppaaaap NA																			3		-5	2				
ABprppaaaapa NA																										
ABprppaaaapp NA																										
ABprppaaap NA																										
ABprppaap 0.4982	0	-3	0	-3	-1	2	1	1	-4	1	0	0	-1	-2	1	1	-2	5	0	-1	2	4	0	0	6	-1
ABprppaapa 0.5208	0	5	-1	4	-2	0	3	-3	6	-4	-3	1	-2	6	-5	-2	2	-1	-5	-3	5	0	0	1	-3	10
ABprppaapaa NA																										
ABprppaapap NA																										
ABprppaapp 0.5052	0	-5	2	3	-3	-4	4	1	9	4	-6	-3	-2	3	6	-5	1	3	-2	2	-5	-4	-1	11	-3	3
ABprppaappa NA																										
ABprppaappp NA																										
ABprppap 0.5548	2	4	0	-1	-1	-1	0	1	-1	0	-1	1	0	-2	1	0	0	-1	0	-2	0	1	-1	1	-1	-2
ABprppapa 0.5652	1	0	-4	-2	-2	2	-1	1	-1	0	3	3	0	-2	2	-2	-1	0	3	-1	1	2	3	3	-1	-2
ABprppapaa 0.7163	-2	-3	-3	-4	-3	5	0	-1	1	-3	-1	1	2	0	2	-2	1	1	2	4	1	1	-1	5	-1	-1
ABprppapaaa NA																										
ABprppapaaaa NA																										
ABprppapaaap NA																										
ABprppapaap NA																										
ABprppapap 0.8327	4	3	-8	-2	-3	-5	-9	-1	3	-6	1	-2	7	17	-1	-1	4	-2	2	-4	8	-7	-1	-2	-7	7
ABprppapapa NA																										
ABprppapapp NA																										
ABprppapp 0.1042	-5	-2	-2	1	-3	5	-1	1	0	0	3	1	-1	-1	2	2	-1	1	-2	1	-2	2	2	2	0	4
ABprppappa 0.1753	3	2	0	-3	0	-2	-5	3	1	-5	-1	-2	6	9	-4	-5	-1	3	-1	0	4	-2	4	1	2	0
ABprppappaa NA																										
ABprppappap NA																										
ABprppappp 0.2728	-1	-1	0	3	3	-3	1	-5	-2	2	-3	1	2	15	4	-6	-2	1	-3	-4	-1	-2	1	4	-1	14
ABprppapppa NA																										
ABprppapppp NA																										
ABprppp 0.8596	1	1	-3	-2	0	0	1	0	0	1	1	1	1	0	0	0	-1	1	-1	-2	0	0	2	-1	-1	0
ABprpppa 0.3826	0	0	0	0	-2	0	0	2	0	-2	0	-1	1	-2	0	1	0	2	0	-1	0	2	-2	1	0	-3
ABprpppaa 0.6224	0	-1	-2	-2	-1	-2	0	-2	0	-2	1	2	1	4	0	0	1	1	2	0	1	0	-1	1	4	-1
ABprpppaaa 0.5683	-4	-1	3	2	-2	-2	3	3	-2	-3	-5	-3	7	5	-1	5		3	0	-3	-4	-2	-4	1	-1	1
ABprpppaaaa NA																										
ABprpppaaap NA																										
ABprpppaap 0.1921	0	1	-1	5	-3	3	2	5	-2	-3	-10	0	3	8	3	3	-2	-1	-4	0	-3	-4	4	3	1	0
ABprpppaapa NA																										
ABprpppaapaa NA																										
ABprpppaapap NA																										
ABprpppaapp NA																										
ABprpppap 0.7057	1	-3	0	-1	-1	2	-1	0	-1	-1	-1	5	1	2	-1	-1	-1	-2	0	2	0	1	-2	2	3	-1
ABprpppapa 0.4442	1	0	-2	2	1	3	2	2	2	-2	0	0	1	1	-1	-3		1	-2	-2	-2	0	-1	9	3	-2
ABprpppapaa NA																										
ABprpppapap NA																										
ABprpppapp NA																										
ABprpppp 0.7404	1	1	-1	-1	-1	1	-1	1	-1	-1	1	0	0	0	-1	0	0	1	-2	0	-1	1	-1	0	1	-2
ABprppppa 0.4472	2	1	-3	-3	-1	0	-2	0	-2	1	-1	2	-1	-1	-1	-2	-2	3	0	4	2	4	3	0	4	-2
ABprppppaa 0.58	-4	-2	2	0	1	-3	3	1	1	3	-1	-2	5	2	1	-1	-2	-1	-1	3	-2	-2	1	11	-4	1
ABprppppaaa NA																										
ABprppppaap NA																										
ABprppppap 0.3315	-4	1	-2	1	0	6	2	-1	3	0	-4	1	1	-1	-1	-1	2	-3	0	1	-3	2	2	7	-1	1
ABprppppapa NA																										
ABprppppapp NA																										
ABprppppp 0.5827	2	-3	-1	0	-2	0	-2	0	2	0	0	1	0	-1	2	0	-1	1	-4	1	3	5	2	1	4	-4
ABprpppppa 0.3246	4	-3	1	-4	-1	-5	-2	1	8	-7	-2	-2	-3	12	1	5	-4	7	-5	2	4	-9	12	0	-4	12
ABprpppppaa NA																										
ABprpppppap NA																										
ABprpppppp 0.2334	-3	6	-1	-1	-4	-4	-3	5	5	2	0	2	6	3	-2	1	-3	-4	-4	-3	2	0	-2	2	-6	-3
ABprppppppa NA																										
ABprppppppp NA																										
C 0.0701	2	1	1		-1	1	1	1	0	-4	-1	-1	0	3	-1	0	1	0	-1	0	0	0	0	-6	-8	-5
Ca 0.8618	0	1	1	1	3	-1	1	1	-2	-1	0	2	2	-3	-1	-2	-1	-1	-1	-1	0	0	2	2	-1	-4
Caa 0.4223	2	4	1	-2	6	3	-1	-2	6	-1	2	-3	-2	-3	-2	-3	0	-2	-2	-4	2	1	0	1	-2	-2
