paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20221004_JIM712_ceh.32_L4	X20221004_JIM712_ceh.32_L2	X20220915_JIM712_ceh.32_L4	X20220923_JIM712_ceh.32_L4
ABalapppap 0.2389	-2	0	4	-2	2	-2	2	-4	-3	-2	0	1	3	1	1	-1	2	-2	2	3	-1	0	2	3	4	27
ABalapppapa NA																			3		-5	2				
ABalapppapaa NA																										
ABalapppapap NA																										
ABalapppapp NA																										
ABalapppp 0.2219	1	-1	-2	0	0	-1	1	-1	-3	-1	0	3	0	-1	-1	-1	-1	1	-2	6	1	2	4	5	5	-3
ABalappppa 0.8033	-3	-1	0	3	0	2	1	0	4	2	-1	0	0	-2	0	-4	-1	0	-4	3	2	0	-1	-1	1	0
ABalappppaa NA																			5		-13	8				
ABalappppaaa NA																										
ABalappppaap NA																										
ABalappppap NA																										
ABalappppp 0.9153	-6	2	0	3	2	5	0	-4	-1	-4	0	3	1	1	0	-1	5	-2	0	-3	-1	-3	-3	2	-3	5
ABalapppppa NA																										
ABalapppppp NA																										
ABalp 0.3338	3	2	-1	-7	1	0	0	0	1	0	3	1	0	-1	-2	-1	1	1	0	-1	1	-1	-1	1	-2	-3
ABalpa 0.2424	-1	0	0	-2	2	-2	0	2	-1	1	0	-1	1	-3	0	1	1	3	0	-1	0	1	1	0	-2	-2
ABalpaa 0.6762	1	1	-3	-3	2	0	1	-1	0	-1	1	0	0	1	0	0	1	0	-1	0	2	0	0	-1	2	-2
ABalpaaa 0.3167	2	1	0	-2	-4	-4	1	-2	1	1	4	-1	2	-3	-2	2	1	1	2	0	2	1	0	-1	-3	1
ABalpaaaa 0.0253	-2	-3	3	1	-1	1	3	-2	2	1	-1	-3	-2	0	1	1	0	3	-3	4	2	-2	2	1	3	4
ABalpaaaaa 0.2518	-2	-2	6	3	0	-7	5	1	0	-3	-1	-5	11	5	-2	-5	1	0	-1	1	2	-5	6	10	-6	19
ABalpaaaaaa NA																										
ABalpaaaaap NA																										
ABalpaaaap 0.9375	-1	-4	1	1	1	-2	-2	1	0	-4	1	-7	9	6	-6	-5	11	3	-5	5	3	-8	-3	-13	-8	27
ABalpaaaapa NA																										
ABalpaaaapp NA																										
ABalpaaap 0.2059	-2	-3	2	1	-1	-1	0	0	-1	3	1	-1	0	-1	-2	3	-2	1	0	2	2	0	0	6	-1	9
ABalpaaapa 0.3213	0	-1		5	-1	-6	2	-3	-2	0	-5	-3	1	7	-5	-1	3	3	0	3	5	-4	7	2	-4	26
ABalpaaapaa NA																										
ABalpaaapap NA																										
ABalpaaapp 0.3179	-3	1	8	4	5	-9	-4	-5	0	9	5	-1	-2	7	-5	1	1	2	-5	-3	-4	-3		16	-5	19
ABalpaaappa NA																										
ABalpaaappp NA																										
ABalpaap 0.4363	2	1	0	-2	-1	-1	2	-1	-1	0	3	-2	1	-2	-3	0	0	1	3	0	0	1	0	1	-3	-2
ABalpaapa 0.0169	0	-2	2	-2	-2	-2	2	-1	-1	2	1	0	-1	0	-3	0	1	2	1	3	1	-1	2	3	2	1
ABalpaapaa 0.8087	-5	1	4	-1	-2	-2	1	2	-3	6	0	-3	-2	-5	0	-2	-3	5	-2	10	-1	0	2	1	-4	3
ABalpaapaaa NA																										
ABalpaapaap NA																										
ABalpaapap 0.2871	1	0	-3	-1	3	3	5	-2	3	-1	0	-1	-3	0	-3	-1	1	1	-3	2	-1	-1	3	0	-1	8
ABalpaapapa NA																										
ABalpaapapp NA																										
ABalpaapp 0.3338	-1	0	1	-3	-6	-2	5	2	-2	1	3	-1	0	3	-5	2	-5	3	2	1	3	-1	-3	1	-3	-1
ABalpaappa 0.6896	8	-4	9	-3	2	-2	0	1	-1	5	1	0	8	14	1	-11	-2	-8	-10	-7	4	-3	2	0	-7	12
ABalpaappaa NA																										
ABalpaappap NA																										
ABalpaappp 0.6107	0	-2	10	-5	-2	-3	0	-2	1	2	7	0	2	2	-2	-5	3	-1	-1	-2	1	-2	-1	8	-3	1
ABalpaapppa NA																										
ABalpaapppp NA																										
ABalpap 0.1828	0	1	-1	0	1	-1	1	0	0	-1	1	1	-2	-2	1	1	-2	-1	-1	-1	2	2	0	-1	-1	-1
ABalpapa 0.6866	1	1	-1	-3	0	0	-1	-1	-2	-1	3	-2	0	-1	1	0	3	2	2	-1	1	-1	1	-2	0	3
ABalpapaa 0.0365	-3	-2	1	0	-2	0	2	-1	0	2	0	3	-2	0	0	2	-1	-1	1	3	1	0	1	1	2	3
ABalpapaaa 0.2892	-3	-1	4	-1	-2	2	-1	-3	4	3	-3	0	1	-2	2	0	4	-5	1	0	0	0	0	6	-1	14
ABalpapaaaa NA																										
ABalpapaaap NA																										
ABalpapaap 0.0424	-6	2	5	3	-2	2	5	7	-3	-7	5	3	2	1	-4	5	8	-8	-6	-5	-4	-2	-9	-1	-7	-10
ABalpapaapa NA																										
ABalpapaapp NA																										
ABalpapap 0.216	0	0	0	-1	-1	1	2	-2	1	1	-1	0	-3	1	-1	1	-2	-1	3	2	0	-1	1	0	0	2
ABalpapapa 0.0383	5	-2	2	-3	-3	1	1	0	2	-1	-2	3	-1	1	-2	1	2	-1	-3	1	0	0	1	7	4	5
ABalpapapaa NA																										
ABalpapapap NA																			0		-7	7				
ABalpapapapa NA																										
ABalpapapapp NA																										
ABalpapapp 0.5845	-5	-4	0	10	-4	-4	-3	3	3	-3	-1	0	1	4	-2	-2	3	-1	-1	4	3	-1	-14	-3	-8	11
ABalpapappa NA																										
ABalpapappp NA																										
ABalpapp 0.0405	2	2	-2	-2	0	0	-1	0	0	0	1	1	-1	-1	0	1	1	2	0	0	0	0	1	0	1	2
ABalpappa 0.0657	-2	0	0	0	-2	1	2	-1	-1	4	1	0	0	1	-3	1	-2	1	0	1	2	-2	-1	-1	-1	-3
ABalpappaa 0.7892	-5	1	9	13	-4	-6	-3	3	4	-2	2	9	-3	0	-4	-2	-2	-3	-5	1	-2	1	-1	-2	-4	4
ABalpappaaa NA																										
ABalpappaap NA																			0		-2	2				
ABalpappaapa NA																										
ABalpappaapp NA																										
ABalpappap 0.7028	1	1	3	0	0	-1	3	4	1	3	-2	3	-5	-3	-2	0	1	-1	-2	0	-4	-1	-3	5	-4	-1
ABalpappapa NA																										
ABalpappapp NA																										
ABalpappp 0.1861	-2	1	0	-3	-2	3	1	-2	0	2	1	0	-1	1	-2	1	-3	1	3	0	0	0	5	2	2	-1
ABalpapppa 0.5237	-2	6		11	6	-3	-3	-8	7		5	1	-1	9	-8	-11	-1	-8	7	-3	0	-5		5	-6	14
ABalpapppaa NA																										
ABalpapppap NA																										
ABalpapppp 0.4695	1	-1	3	-2	2	0	3	1	0	-3	-2	1	-1	-3	-1	-3	0	1	5	-1	1	-2	2	-1	-2	8
ABalpappppa NA																										
ABalpappppp NA																										
ABalpp 0.1939	0	1	-1	-1	3	-3	1	1	0	1	1	-2	0	-2	1	0	0	0	-1	-1	1	2	1	-3	-3	-3
ABalppa 0.464	1	0	-2	-1	0	1	-1	0	-1	0	2	2	-1	-1	-2	1	0	1	1	0	1	-1	-1	2	-2	-2
ABalppaa 0.9558	4	0	-1	-3	2	1	0	-1	-1	2	0	1	1	-2	1	-3	2	0	-2	-2	2	-1	-1	2	-3	2
ABalppaaa 0.1389	-3	-1	-3	-2	-2	2	3	-2	1	2	3	2	0	3	-2	0	-1	0	0	0	0	-1	7	1	0	4
ABalppaaaa NA																										
ABalppaaap 0.886	4	5	-2	-5	-1	1	0	0	-3	-2	-5	1	5	13	-6	4	-3	1	2	4	-6	-6		2	-3	0
ABalppaaapa NA																										
ABalppaaapp NA																										
ABalppaap 0.4411	-3	0	-1	0	0	0	-1	-1	3	2	0	1	-2	0	-2	0	0	5	-1	0	0	2	1	2	3	-2
ABalppaapa NA																										
ABalppaapp 0.4169	-2	1	-5	-6	4	5	7	3	1	5	-6	-3	-1	5	-2	-2	-1	6	-1	-3	0	-2	-7	3	-8	1
ABalppaappa NA																										
ABalppaappp NA																										
ABalppap 0.8953	1	1	1	-1	-1	-2	-1	-1	-1	1	3	-2	0	0	1	0	0	0	0	-1	1	0	-1	0	-1	1
ABalppapa 0.6687	-2	1	-1	-3	0	-1	-1	1	2	1	-1	2	-1	-1	1	-3	0	3	0	2	0	0	-2	2	1	1
ABalppapaa 0.4304	4	3	5	-2	-4	0	3	-3	1	-1	-3	-1	3	-3	-5	-3	3	10	-2	0	2	-7	-6	4	-1	-5
ABalppapaaa NA																										
ABalppapaap NA																										
ABalppapap 0.9505	-2	-2	2	2	2	-3	-3	1	1	3	3	2	-5	0	3	1	2	-2	2	0	-4	-2	-6	4	-4	6
ABalppapapa NA																										
ABalppapapp NA																										
ABalppapp 0.611	-3	-1	0	-2	1	-2	0	-1	2	2	2	1	-2	0	0	-2	-1	2	-1	2	1	1	-1	1	-1	0
ABalppappa 0.0021	5	9	-2	-3	-6	2	-1	-1	4	0	-6	5	-3	0	-7	-1	1	4	-3	6	4	-6	3	8	7	6
ABalppappaa NA																										
ABalppappap NA																										
ABalppappp 0.5986	0	1	0	-6	-2	-1	-1	2	22	-2	1	0	-4	2	2	-1	-4	-2	-2	-1	-2	-4	0	3	-2	3
ABalppapppa NA																			-8		4	4				
ABalppapppaa NA																										
ABalppapppap NA																										
ABalppapppp NA																										
ABalppp 0.4785	1	0	0	-2	1	1	0	0	-1	0	2	-1	0	-1	-1	1	0	2	-1	0	1	-1	-1	1	0	-2
ABalpppa 0.3185	2	0	0	-1	-1	-1	2	-1	0	2	2	0	-1	0	1	0	-1	0	-1	-2	-1	0	1	1	-1	2
ABalpppaa 0.0421	-1	-2	3	2	-3	2	4	1	-3	-1	3	0	-1	1	2	0	-2	0	-2	-2	1	0	1	2	4	1
ABalpppaaa 0.5816	-2	2	-5	5	-3	-3	0	-1	-2	2	-5	0	1	23	-1	-2	-2	-1	1	1	0	-9	-1	8	-4	3
ABalpppaaaa NA																										
ABalpppaaap NA																										
ABalpppaap 0.0797	3	4	3	8	0	-5	-4	-2	3	1	-2	2	-3	7	-2	2	-6	2	2	-4	-5	-4	-11	-1	-5	-5
ABalpppaapd NA																										
ABalpppaapv NA																										
ABalpppap 0.1835	1	-1	0	-1	-2	0	1	-4	-1	1	1	0	1	2	1	-1	-3	0	0	4	-1	3	0	5	3	1
ABalpppapa 0.0405	5	1	-3	-1	-8	3	2	-1	1	3	-4	2	-8	4	3	-4	1	2	4	6	-4	-1	14	8	2	9
ABalpppapad NA																										
ABalpppapav NA																										
ABalpppapp 0.4719	-2	0	2	-2	0	1	-3	-1	-2	0	1	0	0	1	4	-1		-1	2	0	0	-2	-1	9	2	-2
ABalpppappa NA																										
ABalpppappp NA																			1	3	-8	4				
ABalpppapppa NA																										
ABalpppapppp NA																										
ABalpppp 0.0443	3	0	1	-1	-1	-1	-1	0	0	-1	0	-1	0	-1	-2	0	-1	2	0	-1	0	3	1	2	1	0
ABalppppa 0.2216	0	0	-1	-2	-2	0	-2	-3	0	0	0	0	-2	2	10	-2	-2	1	-3	3	1	2	-1	-1	0	-2
ABalppppaa 0.3225	4	8	1	0	-3	6	-4	-3	0	-1	-4	1	0	-1	7	-5	4	-2	-5	1	-5	0	1	7	-2	3
ABalppppaad NA																										
ABalppppaav NA																										
ABalppppap 0.5587	-2	3	8	-2	-5	-1	4	-1	3	3	1	3	-2	4	1	-4	1	0	-5	-2	-5	-2	-1	7	-3	3
ABalppppapa NA																			-5		-1	6				
ABalppppapaa NA																										
ABalppppapap NA																										
ABalppppapp NA																										
ABalppppp 0.4708	-1	-1	0	-4	-1	1	2	-1	-1	2	2	-3	0	1	2	-2	-2	1	-1	2	1	2	-1	-1	2	-3
ABalpppppa 0.2795	-5	1	0	2	1	-3	-1	-4	1	2	-4	8	1	-3	-4	1	1	-1	2	5	-3	0	-1	4	0	4
ABalpppppaa NA																										
ABalpppppap NA																										
ABalpppppp 0.1892	-1	1	1	0	0	-2	1	-1	5	0	-1	-1	-1	1	-5	-2	2	1	-1	1	1	1	2	6	3	-1
ABalppppppa 0.4889	-3			4											-2	4	-1		0	1	-2	-1		4		0
ABalppppppaa NA																										
ABalppppppap NA																										
ABalppppppp 0.5199	1			6				-2				2			-6	-4	-2		-1	0	1	4		17		-1
ABalpppppppa NA																										
ABalpppppppp NA																										
ABar 0.1379	3	-6	3		-3	4	1	3	-3	-7	-6	-5	2	3	3	2	2	2	1	3	3	-2	2	-9	-7	-6
ABara 0.077	3	2	0	-6	0	-1	0	0	1	0	1	2	0	-1	-2	1	2	1	0	-1	1	-1	-1	0	-2	-2
ABaraa 0.5755	1	0	-2	-2	3	-2	-1	0	-1	2	2	-1	1	-1	2	-1	-1	0	0	0	0	1	1	2	-2	-3
ABaraaa 0.291	1	2	-1	-2	-3	-2	-1	1	0	-1	1	-1	2	0	-1	0	1	2	-1	-2	2	1	0	-1	0	-2
ABaraaaa 0.9664	0	0	1	-1	-2	5	-2	-1	-3	0	6	-2	-1	-1	-3	1	6	1	-1	-3	2	0	4	-2	-1	-1
ABaraaaaa 0.612	0	-1	0	1	-3	-1	1	-2	-1	1	0	-2	3	1	1	1	-1	4	-2	-3	2	-1	0	4	-1	-1
ABaraaaaaa 0.6264	-7	5	7	10	0	4	-2	-6	-6	5	-2	-5	4	1	-9	1	6	5	-1	-1	-2	-6	-3	-1	-10	6
ABaraaaaaaa NA																										
ABaraaaaaap NA																										
ABaraaaaap 0.8755	-3	1	6	9	2	2	0	-2	3	-3	-2	-6	9	15	0	-7	-1	-20	6	-2	-3	-2	6	-4	-7	7
ABaraaaaapa NA																										
ABaraaaaapp NA																										
ABaraaaap 0.9068	-1	1	7	2	-1	-5	-2	2	-2	-2	1	-1	2	4	-3	2	1	-1	-1	0	1	-2	0	4	1	-4
ABaraaaapa 0.4841	1	1		10	-5	-5	1	-4	0		-2	-4			-1	3	-3	6	-5	-2	10	-2		8	-6	13
ABaraaaapaa NA																										
ABaraaaapap NA																										
ABaraaaapp NA																										
ABaraaap 0.3111	0	-1	0	0	0	2	0	2	0	1	3	-2	-1	-2	-2	1	4	2	-3	-2	0	0	2	1	5	-1
ABaraaapa 0.318	-1	0	-1	-1	-2	2	1	-2	1	-1	0	0	-1	-1	-1	-1	1	3	0	2	1	0	1	0	1	0
ABaraaapaa 0.2749	-7	-3	-1	2	0	7	2	1	6	2	-1	-1	-3	-5	-6	-2	4	25	-4	-6	-4	-7	5	2	-2	4
ABaraaapaaa NA																										
ABaraaapaap NA																										
ABaraaapap 0.0396	-2	0	4	2	-3	6	1	0	7	1	-5	-3	-4	-3	-3	-2	1	8	1	-3	1	-4	4	1	2	2
ABaraaapapa NA																										
ABaraaapapp NA																										
ABaraaapp 0.2071	-1	0	-1	0	-5	2	2	-1	0	2	0	-1	-2	0	-3	5	1	0	-1	1	1	2	1	0	1	4
ABaraaappa 0.445	-8	-7	11	4	8	0	3	-1	2	-1	-5	1	4	2	0	1	9	-8	-5	-3	-6	-2	2	3	-3	4
ABaraaappaa NA																										
ABaraaappap NA																										
ABaraaappp 0.7438	-2	-3	3	7	-3	-3	3	5	-1	5	-2	-2	2	8	-6	-1	3	0	-2	-3	-6	-4	-4	4	-2	6
ABaraaapppa NA																										
ABaraaapppp NA																										
ABaraap 0.9337	3	0	0	-1	-2	-1	0	1	-1	-1	1	0	-1	0	0	0	2	1	-2	-1	1	1	1	0	1	-2
ABaraapa 0.866	-1	-1	-3	2	-3	-1	0	1	2	2	4	0	-1	-1	-1	0	2	3	-1	-2	0	-2	1	0	-1	1
