"Cells","CellNames.Cells.","CellTimes.Cells.","X1","X2","X3","X4","X20221004_JIM712_ceh.32_L4","X20221004_JIM712_ceh.32_L2","X20220915_JIM712_ceh.32_L4","X20220923_JIM712_ceh.32_L4","X20220915_JIM712_ceh.32_L4.1","X20220923_JIM712_ceh.32_L4.1","X20221004_JIM712_ceh.32_L2.1","X20221004_JIM712_ceh.32_L4.1"
"ABalaaaarrp","RMER",314,NA,NA,NA,NA,0,0,0,1,0,1,0,1
"ABalaaap",NA,137,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapa",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapal",NA,225,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapall","ILsoL",299,NA,NA,NA,NA,0,0,0,0,1,1,0,1
"ABalaaapalr","AVDL",299,NA,NA,NA,NA,0,0,0,0,1,1,0,0
"ABalaaapar",NA,225,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaparl","death",313,NA,NA,NA,NA,0,0,0,0,1,1,0,0
"ABalaaaparr","ILshDL",313,NA,NA,NA,NA,0,0,0,0,1,1,0,0
"ABalaaapp",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaappl",NA,226,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaappll","ILshDR",312,NA,NA,NA,NA,0,0,0,0,1,0,1,1
"ABalaaapplr","death",312,NA,NA,NA,NA,0,0,0,0,1,0,0,1
"ABalaaappr",NA,226,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapprl","AVDR",300,NA,NA,NA,NA,0,0,0,0,1,1,0,1
"ABalaaapprr","ILsoR",300,NA,NA,NA,NA,0,0,0,0,0,1,1,1
"ABalaap",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapa",NA,137,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapaa",NA,181,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapaaa",NA,236,0,0,0,1,0,0,0,1,0,0,0,1
"ABalaapaaal","death",334,NA,NA,NA,NA,0,0,0,1,1,NA,1,NA
"ABalaapaaar","AINR",334,NA,NA,NA,NA,0,0,0,1,0,NA,1,NA
"ABalaapaap",NA,236,1,0,0,0,1,0,0,0,0,0,0,0
"ABalaapaapa","death",325,NA,NA,NA,NA,1,0,0,0,0,1,1,0
"ABalaapaapp","ILshR",325,NA,NA,NA,NA,1,0,0,0,1,1,0,1
"ABalaapap",NA,181,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapapa","death",235,1,1,NA,1,1,1,0,1,0,0,1,0
"ABalaapapaa",NA,NA,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,NA
"ABalaapapap",NA,NA,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,NA
"ABalaapapp",NA,235,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapappa","death",309,NA,NA,NA,NA,0,0,0,0,1,1,1,1
"ABalaapappp","CEPsoVR",309,NA,NA,NA,NA,0,0,0,0,1,1,1,1
"ABalaapp",NA,137,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaappa",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaappaa","death",230,NA,NA,NA,1,0,0,0,1,0,1,0,0
"ABalaappaaa",NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"ABalaappaap",NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"ABalaappap",NA,230,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaappapa","AVAR",308,NA,NA,NA,NA,0,0,0,0,0,1,1,1
"ABalaappapp","OLQsoVR",308,NA,NA,NA,NA,0,0,0,0,0,1,0,1
"ABalaappp",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapppa",NA,223,0,0,0,1,0,0,0,1,0,0,0,0
"ABalaapppaa","RIAR",316,NA,NA,NA,NA,0,0,0,1,0,1,0,1
"ABalaapppap","death",316,NA,NA,NA,NA,0,0,0,1,0,1,0,1
"ABalaapppp",NA,223,0,0,0,1,0,0,0,1,0,0,0,0
"ABalaappppa",NA,289,0,0,0,0,0,0,0,1,0,1,0,0
"ABalaappppaa","IL1R",400,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"ABalaappppap","death",400,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"ABalaappppp","IL2R",289,NA,NA,NA,NA,0,0,0,1,0,1,0,1
"ABalap",NA,75,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaaa",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaaaa",NA,229,0,0,0,0,0,0,0,0,0,0,0,1
"ABalapaaaaa","AVHL",348,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA
"ABalapaaaap","death",348,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA
