"Cells","CellNames.Cells.","CellTimes.Cells.","X1","X2","X3","X4","X20221004_JIM712_ceh.32_L4","X20221004_JIM712_ceh.32_L2","X20220915_JIM712_ceh.32_L4","X20220923_JIM712_ceh.32_L4","X20220915_JIM712_ceh.32_L4.1","X20220923_JIM712_ceh.32_L4.1","X20221004_JIM712_ceh.32_L2.1","X20221004_JIM712_ceh.32_L4.1"
"ABaraapapaa",NA,274,0,0,0,0,0,0,0,0,0,0,0,0
"ABaraapapaad","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABaraapapaav","NSML",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABaraapapap","m5L",274,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABaraapapp",NA,219,0,0,0,0,0,0,0,0,0,0,0,0
"ABaraapappa","M2L",313,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABaraapappp","M3L",313,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABaraapp",NA,134,0,0,0,0,0,0,0,0,0,0,0,0
"ABaraappa",NA,171,0,0,0,0,0,0,0,0,0,0,0,0
"ABaraappaa",NA,219,0,0,0,0,0,0,0,0,0,0,0,0
"ABaraappaaa","MI",302,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABaraappaap","m1DR",302,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABaraappap",NA,219,0,0,0,0,0,0,0,0,0,0,0,0
"ABaraappapa","m2DR",283,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABaraappapp","mc2DR",283,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABaraappp",NA,171,0,0,0,0,0,0,0,0,0,0,0,0
"ABaraapppa",NA,218,0,1,0,0,0,1,0,0,0,0,0,0
"ABaraapppaa",NA,274,NA,NA,NA,NA,0,1,0,0,1,0,1,0
"ABaraapppaad","death",400,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA
"ABaraapppaav","NSMR",400,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA
"ABaraapppap","m5R",274,NA,NA,NA,NA,0,1,0,0,0,0,0,0
"ABaraapppp",NA,218,0,0,0,0,0,0,0,0,0,0,0,0
"ABaraappppa","M2R",311,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABaraappppp","M3R",311,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarap",NA,75,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapa",NA,102,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapaa",NA,134,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapaaa",NA,174,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapaaaa",NA,228,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapaaaaa","e3VR",306,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABarapaaaap","m2VR",306,NA,NA,NA,NA,0,0,0,0,1,1,1,0
"ABarapaaap",NA,228,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapaaapa","m1VR",316,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarapaaapp","death",316,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarapaap",NA,174,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapaapa",NA,219,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapaapaa","m2R",315,NA,NA,NA,NA,0,0,0,0,1,0,1,NA
"ABarapaapap","death",315,NA,NA,NA,NA,0,0,0,0,1,0,1,NA
"ABarapaapp",NA,219,0,0,1,0,0,0,1,0,0,0,0,0
"ABarapaappa","m3R",278,NA,NA,NA,NA,0,0,1,0,0,0,1,0
"ABarapaappp","MCR",278,NA,NA,NA,NA,0,0,1,0,0,0,0,1
"ABarapap",NA,134,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapapa",NA,170,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapapaa",NA,217,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapapaaa","death",294,NA,NA,NA,NA,0,0,0,0,0,1,0,0
"ABarapapaap",NA,294,0,0,0,0,0,0,0,0,1,0,1,0
"ABarapapaapa","I2R",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarapapaapp","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarapapap",NA,217,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapapapa","arcpost",284,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarapapapp","I5",284,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarapapp",NA,170,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapappa",NA,212,0,0,0,1,0,0,0,1,0,0,0,0
"ABarapappaa","I1R",328,NA,NA,NA,NA,0,0,0,1,0,0,0,NA
"ABarapappap","death",328,NA,NA,NA,NA,0,0,0,1,0,0,0,NA
"ABarapappp",NA,212,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapapppa","mc2V",266,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarapapppp","m3VR",266,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarapp",NA,102,0,0,0,0,0,0,0,0,0,0,0,0
"ABarappa",NA,134,0,0,0,0,0,0,0,0,0,0,0,0
"ABarappaa",NA,174,0,0,0,0,0,0,0,0,0,0,0,0
"ABarappaaa",NA,228,0,0,0,0,0,0,0,0,0,0,0,0
"ABarappaaaa","RIPR",309,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarappaaap","death",309,NA,NA,NA,NA,0,0,0,0,0,1,0,0
"ABarappaap",NA,228,0,0,0,0,0,0,0,0,0,0,0,0
"ABarappaapa","hyp1",315,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarappaapp","death",315,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarappap",NA,174,0,0,0,0,0,0,0,0,0,0,0,0
"ABarappapa",NA,223,0,0,0,0,0,0,0,0,0,0,0,0
"ABarappapaa","RMDDR",295,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABarappapap",NA,295,0,0,0,0,0,0,0,0,1,0,0,0
"ABarappapapa","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarappapapp","SMBDR",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarappapp",NA,223,0,0,0,0,0,0,0,0,0,0,0,0
"ABarappappa","DB2",301,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarappappp","SMBVR",301,NA,NA,NA,NA,0,0,0,0,1,1,1,0
"ABarappp",NA,134,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapppa",NA,171,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapppaa",NA,221,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapppaaa","RMDVR",304,NA,NA,NA,NA,0,0,0,0,1,1,1,0
"ABarapppaap","ILshVR",304,NA,NA,NA,NA,0,0,0,0,1,1,1,0
"ABarapppap",NA,221,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapppapa","SAADR",300,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarapppapp","ILsoVR",300,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABarapppp",NA,171,0,0,0,0,0,0,0,0,0,0,0,0
"ABarappppa",NA,219,0,0,0,0,0,0,0,0,0,0,0,0
"ABarappppaa","SMDVR",296,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarappppap","BAGR",296,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarappppp",NA,219,0,0,0,0,0,0,0,0,0,0,0,0
"ABarapppppa",NA,287,0,0,0,0,0,0,0,0,1,0,1,0
"ABarapppppaa","IL1VR",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarapppppap","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarapppppp","IL2VR",287,NA,NA,NA,NA,0,0,0,0,1,1,1,0
"ABarp",NA,56,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpa",NA,75,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpaa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpaaa",NA,132,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpaaaa",NA,180,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpaaaaa",NA,232,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpaaaaal","OLQsoDL",327,NA,NA,NA,NA,0,0,0,0,0,0,1,NA
"ABarpaaaaar","OLQsoDR",327,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"ABarpaaaap",NA,232,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpaaaapa","OLQshDL",324,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABarpaaaapp","CEPshDL",324,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarpaaap",NA,180,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpaaapa",NA,237,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpaaapaa","OLQshSR",325,NA,NA,NA,NA,0,0,0,0,0,0,1,NA
"ABarpaaapap","CEPshDR",325,NA,NA,NA,NA,0,0,0,0,0,0,1,NA
"ABarpaaapp","death",237,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarpaap",NA,132,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpaapa",NA,169,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpaapaa","hyp6",216,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABarpaapap","hyp7",216,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarpaapp",NA,169,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpaappa","hyp7",216,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarpaappp","hyp7",216,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABarpap",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpapa",NA,134,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpapaa",NA,171,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpapaaa",NA,223,0,0,0,1,0,0,0,1,0,0,0,0
"ABarpapaaaa","URADR",315,NA,NA,NA,NA,0,0,0,1,0,0,1,0
"ABarpapaaap","CEMDR",315,NA,NA,NA,NA,0,0,0,1,0,0,1,0
"ABarpapaap",NA,223,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpapaapa","death",287,NA,NA,NA,NA,0,0,0,0,0,1,0,0
"ABarpapaapp",NA,287,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpapaappa","CEPDR",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarpapaappp","URXR",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarpapap",NA,171,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpapapa","hyp4",222,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABarpapapp","hyp6",222,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABarpapp",NA,134,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpappa",NA,171,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpappaa","XXXR",228,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABarpappap","hyp5",228,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarpappp",NA,171,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpapppa","HOR",222,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABarpapppp","H1R",222,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABarpp",NA,75,0,0,0,0,0,0,0,0,0,0,0,0
"ABarppa",NA,105,0,0,0,0,0,0,0,0,0,0,0,0
"ABarppaa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABarppaaa",NA,176,0,0,0,0,0,0,0,0,0,0,0,0
"ABarppaaaa","ADEshL",234,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarppaaap","H2L",234,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABarppaap",NA,176,0,0,0,0,0,0,0,0,0,0,0,0
"ABarppaapa","hyp7",227,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarppaapp",NA,227,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarppaappa","ALML",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarppaappp","BDUL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarppap",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABarppapa",NA,178,0,0,0,0,0,0,0,0,0,0,0,0
"ABarppapaa","V1L",235,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarppapap","V2L",235,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarppapp",NA,178,0,0,0,0,0,0,0,0,0,0,0,0
"ABarppappa","V4L",236,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarppappp","V6L",236,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarppp",NA,105,0,0,0,0,0,0,0,0,0,0,1,0
"ABarpppa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpppaa",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpppaaa","ADEshR",231,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarpppaap","H2R",231,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarpppap",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABarpppapa","hyp7",226,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarpppapp",NA,226,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABarpppappa","ALMR",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarpppappp","BDUR",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABarpppp",NA,135,0,1,0,0,0,1,0,0,0,0,0,0
"ABarppppa",NA,177,0,0,0,0,0,1,0,0,0,0,0,0
"ABarppppaa","V1R",232,NA,NA,NA,NA,0,1,0,0,0,0,0,0
"ABarppppap","V2R",232,NA,NA,NA,NA,0,1,0,0,0,0,0,0
"ABarppppp",NA,177,0,0,0,0,0,1,0,0,0,0,0,0
"ABarpppppa","V4R",234,NA,NA,NA,NA,0,1,0,0,0,0,0,0
"ABarpppppp","V6R",234,NA,NA,NA,NA,0,1,0,0,0,0,1,0
"ABp",NA,19,0,0,0,0,0,0,0,0,0,0,0,0
"ABpl",NA,43,0,0,0,0,0,0,0,0,0,0,0,0
"ABpla",NA,56,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaa",NA,74,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaaa",NA,102,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaaaa",NA,133,0,1,0,0,0,1,0,0,0,0,0,0
"ABplaaaaa",NA,171,0,0,0,0,0,1,0,0,0,0,0,0
"ABplaaaaaa",NA,224,0,0,0,0,0,1,0,0,0,0,0,0
"ABplaaaaaaa","URADL",317,NA,NA,NA,NA,0,1,0,0,0,0,0,0
"ABplaaaaaap","CEMDL",317,NA,NA,NA,NA,0,1,0,0,0,0,0,0
"ABplaaaaap",NA,224,0,0,0,0,0,1,0,0,0,0,0,0
"ABplaaaaapa","death",289,NA,NA,NA,NA,0,1,0,0,0,0,1,0
"ABplaaaaapp",NA,289,0,0,0,0,0,1,0,0,0,0,1,0
"ABplaaaaappa","CEPDL",400,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA
"ABplaaaaappp","URXL",400,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA
"ABplaaaap",NA,171,0,0,0,0,0,1,0,0,0,0,0,0
"ABplaaaapa","hyp6",223,NA,NA,NA,NA,0,1,0,0,1,0,1,1
"ABplaaaapp","hyp6",223,NA,NA,NA,NA,0,1,0,0,1,0,0,0
"ABplaaap",NA,133,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaaapa",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaaapaa","XXXL",229,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplaaapap","hyp5",229,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplaaapp",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaaappa","HOL",223,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABplaaappp","H1L",223,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplaap",NA,102,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaapa",NA,132,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaapaa",NA,171,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaapaaa",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaapaaaa","hyp3",307,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplaapaaap","ILsoDL",307,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplaapaap",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaapaapa","URBL",295,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplaapaapp","AMshL",295,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplaapap",NA,171,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaapapa",NA,221,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaapapaa","AWAL",308,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplaapapap","ASGL",308,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABplaapapp",NA,221,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaapappa","AIBL",285,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplaapappp",NA,285,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaapapppa","ASIL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplaapapppp","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplaapp",NA,132,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaappa",NA,167,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaappaa","hyp4",221,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplaappap","hyp6",221,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplaappp",NA,167,0,0,0,0,0,0,0,0,0,0,0,0
"ABplaapppa","hyp7",214,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABplaapppp","hyp7",214,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplap",NA,74,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapa",NA,102,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapaa",NA,132,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapaaa",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapaaaa",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapaaaaa","death",302,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplapaaaap",NA,302,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapaaaapa","ADEL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapaaaapp","ADAL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapaaap",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapaaapa",NA,300,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplapaaapad","FLPL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapaaapav","AIZL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapaaapp","RMGL",300,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplapaap",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapaapa","G2",227,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABplapaapp","P1/2L",227,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplapap",NA,132,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapapa",NA,168,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapapaa",NA,219,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplapapaaa","QL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapapaap","V5L",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapapap","P9/10L",219,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplapapp",NA,168,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapappa","P11",216,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplapappp",NA,216,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapapppa","death",305,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplapapppp",NA,305,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapappppa",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapappppaa","PLML",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapappppap","ALNL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapappppp","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapp",NA,102,0,0,0,0,0,0,0,0,0,0,0,0
"ABplappa",NA,133,0,0,0,0,0,0,0,0,0,0,0,0
"ABplappaa",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABplappaaa","P3/4L",222,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplappaap","P5/6L",222,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplappap",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABplappapa","V3L",222,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplappapp","P7/8L",222,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplappp",NA,133,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapppa",NA,174,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapppaa",NA,230,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapppaaa","PVQL",326,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"ABplapppaap","death",326,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"ABplapppap",NA,230,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapppapa","death",301,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplapppapp",NA,301,0,0,0,0,0,0,0,0,0,0,0,0
"ABplapppappa","HSNL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapppappp","PHBL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplapppp",NA,174,0,0,0,0,0,0,0,0,0,0,0,0
"ABplappppa","hyp7",230,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABplappppp","TL",230,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplp",NA,56,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpa",NA,75,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaaa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaaaa",NA,173,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaaaaa",NA,220,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaaaaaa","SAAVL",299,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplpaaaaap","AWCL",299,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplpaaaap",NA,220,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaaaapa","exc_duct",290,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplpaaaapp","DB1/3",290,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplpaaap",NA,173,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaaapa",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaaapaa","URAVL",317,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABplpaaapap","CEPshVL",317,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplpaaapp",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaaappa",NA,290,0,0,0,0,0,0,0,0,1,0,1,0
"ABplpaaappaa","OLQVL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplpaaappap","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplpaaappp","URYVL",290,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplpaap",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaapa",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaapaa",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaapaaa","RIVL",300,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABplpaapaap","AVBL",300,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplpaapap",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaapapa","AMsoL",299,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplpaapapp","CEMVL",299,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplpaapp",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaappa",NA,219,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaappaa","ASHL",293,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABplpaappap","RIBL",293,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABplpaappp",NA,219,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpaapppa","AIML",289,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplpaapppp",NA,289,0,0,0,0,0,0,0,0,1,0,1,0
"ABplpaappppa","CEPVL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplpaappppp","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABplpap",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpapa",NA,133,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpapaa",NA,171,0,0,1,0,0,0,1,0,0,0,0,0
"ABplpapaaa",NA,224,0,0,0,0,0,0,1,0,0,0,0,0
"ABplpapaaaa","SMDDL",304,NA,NA,NA,NA,0,0,1,0,0,0,0,0
"ABplpapaaap","AIYL",304,NA,NA,NA,NA,0,0,1,0,1,0,0,0
"ABplpapaap",NA,224,0,0,0,0,0,0,1,0,0,0,0,0
"ABplpapaapa","SIADL",305,NA,NA,NA,NA,0,0,1,0,1,0,1,0
"ABplpapaapp","SIBVL",305,NA,NA,NA,NA,0,0,1,0,1,0,1,0
"ABplpapap",NA,171,0,0,1,0,0,0,1,0,0,0,0,0
"ABplpapapa",NA,221,0,0,0,0,0,0,1,0,0,0,0,0
"ABplpapapaa","exc_gl_L",291,NA,NA,NA,NA,0,0,1,0,1,0,0,0
"ABplpapapap","AVKL",291,NA,NA,NA,NA,0,0,1,0,1,0,0,0
"ABplpapapp",NA,221,0,0,0,0,0,0,1,0,0,0,0,0
"ABplpapappa","SIAVL",293,NA,NA,NA,NA,0,0,1,0,1,0,1,0
"ABplpapappp","DB5",293,NA,NA,NA,NA,0,0,1,0,1,0,1,0
"ABplpapp",NA,133,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpappa",NA,168,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpappaa",NA,213,0,0,0,0,0,0,0,0,0,0,0,0
"ABplpappaaa","RMEV",268,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABplpappaap","exc_cell",268,NA,NA,NA,NA,0,0,0,0,1,0,1,0
