"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"ABprppppaa_X20221004_JIM712_ceh.32_L2","ABprppppaa","X20221004_JIM712_ceh.32_L2",300.3,292.859090909091,3.09387399178704,83,72.0409090909091,2.39456907166217,10.9590909090909,4.57664430681205,NA,NA,NA
"C_X20221004_JIM712_ceh.32_L2","C","X20221004_JIM712_ceh.32_L2",62.5,66.4227272727273,2.16859221795897,11.7,17.8714285714286,1.44607844086787,-6.17142857142857,-4.26769972984643,NA,NA,NA
"Cap_X20221004_JIM712_ceh.32_L2","Cap","X20221004_JIM712_ceh.32_L2",140.1,132.122727272727,2.78190270929497,47.2,37.7727272727273,2.52891503522978,9.42727272727273,3.72779338014262,NA,NA,NA
"Cappaa_X20221004_JIM712_ceh.32_L2","Cappaa","X20221004_JIM712_ceh.32_L2",305.8,309.831818181818,5.49080498596876,61.9,71.7045454545455,3.1513379279174,-9.80454545454545,-3.11123265064274,NA,NA,NA
"Capppp_X20221004_JIM712_ceh.32_L2","Capppp","X20221004_JIM712_ceh.32_L2",320.7,336.38125,8.93145891404833,75,93.88125,5.93039838459441,-18.88125,-3.18380803034218,NA,NA,NA
"Cpapa_X20221004_JIM712_ceh.32_L2","Cpapa","X20221004_JIM712_ceh.32_L2",235,224.409090909091,6.17837311695355,69.5,56.6045454545455,3.57883690506757,12.8954545454545,3.60325292476861,NA,NA,NA
"MSaapapp_X20221004_JIM712_ceh.32_L2","MSaapapp","X20221004_JIM712_ceh.32_L2",302.1,294.436363636364,4.47166161239394,70.6,63.0681818181818,2.48545988149292,7.53181818181817,3.03035194327663,NA,NA,NA
"MSaapppa_X20221004_JIM712_ceh.32_L2","MSaapppa","X20221004_JIM712_ceh.32_L2",318.8,350.1125,6.50438039214453,67.7,84.85,5.38065317330792,-17.15,-3.18734537380645,NA,NA,NA
"MSapapp_X20221004_JIM712_ceh.32_L2","MSapapp","X20221004_JIM712_ceh.32_L2",256.4,247.718181818182,3.5819170663389,66.9,58.2863636363636,2.62738244801523,8.61363636363637,3.2784097991304,NA,NA,NA
"MSpappa_X20221004_JIM712_ceh.32_L2","MSpappa","X20221004_JIM712_ceh.32_L2",300.3,278.109090909091,3.62989034215965,107.3,88.0090909090909,4.32433965131249,19.2909090909091,4.46100691583143,NA,NA,NA
