"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"ABalaaapprr_X20221004_JIM712_ceh.32_L4","ABalaaapprr","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA
"ABalaap_X20221004_JIM712_ceh.32_L4","ABalaap","X20221004_JIM712_ceh.32_L4",132.8,135.818181818182,1.51677488791384,31.1,32.3954545454545,1.73986241183641,-1.29545454545455,-0.744572982691893,NA,NA,NA
"ABalaapa_X20221004_JIM712_ceh.32_L4","ABalaapa","X20221004_JIM712_ceh.32_L4",177.8,179.909090909091,2.74571685338475,43.3,42.4318181818182,2.33368426550857,0.868181818181817,0.372021970158255,NA,NA,NA
"ABalaapaa_X20221004_JIM712_ceh.32_L4","ABalaapaa","X20221004_JIM712_ceh.32_L4",236.5,235.045454545455,3.46103855494097,56.9,53.5181818181818,1.80703291762158,3.38181818181818,1.87147569302132,NA,NA,NA
"ABalaapaaa_X20221004_JIM712_ceh.32_L4","ABalaapaaa","X20221004_JIM712_ceh.32_L4",NA,333.371428571429,5.8902041980313,NA,97.3214285714286,4.88847602041759,NA,NA,88.4,-8.92142857142856,-1.82499178356744
"ABalaapaaal_X20221004_JIM712_ceh.32_L4","ABalaapaaal","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaapaaar_X20221004_JIM712_ceh.32_L4","ABalaapaaar","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaapaap_X20221004_JIM712_ceh.32_L4","ABalaapaap","X20221004_JIM712_ceh.32_L4",306.6,323.805,5.81228055612923,68.2,87.18,3.5420184551809,-18.98,-5.358526569007,NA,NA,NA
"ABalaapaapa_X20221004_JIM712_ceh.32_L4","ABalaapaapa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA
"ABalaapaapp_X20221004_JIM712_ceh.32_L4","ABalaapaapp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA
"ABalaapap_X20221004_JIM712_ceh.32_L4","ABalaapap","X20221004_JIM712_ceh.32_L4",226.1,233.668181818182,3.7189842908843,46.5,52.15,1.77891084923439,-5.65,-3.17610070365902,NA,NA,NA
"ABalaapapa_X20221004_JIM712_ceh.32_L4","ABalaapapa","X20221004_JIM712_ceh.32_L4",292,NA,NA,64.1,NA,NA,NA,NA,NA,NA,NA
"ABalaapapaa_X20221004_JIM712_ceh.32_L4","ABalaapapaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,32.8,NA,NA
"ABalaapapap_X20221004_JIM712_ceh.32_L4","ABalaapapap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,32.8,NA,NA
"ABalaapapp_X20221004_JIM712_ceh.32_L4","ABalaapapp","X20221004_JIM712_ceh.32_L4",299.3,308.490909090909,6.61951725264075,71.4,73.1590909090909,3.92957759645742,-1.7590909090909,-0.4476539439447,NA,NA,NA
"ABalaapappa_X20221004_JIM712_ceh.32_L4","ABalaapappa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,25.7,NA,NA
"ABalaapappp_X20221004_JIM712_ceh.32_L4","ABalaapappp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,25.7,NA,NA
"ABalaapp_X20221004_JIM712_ceh.32_L4","ABalaapp","X20221004_JIM712_ceh.32_L4",171.1,174,2.19284550950846,36.5,36.4954545454545,1.30328422976333,0.00454545454545752,0.00348769243243507,NA,NA,NA
"ABalaappa_X20221004_JIM712_ceh.32_L4","ABalaappa","X20221004_JIM712_ceh.32_L4",224.3,228.772727272727,2.61099904582825,51.5,53.1545454545455,1.94562446156871,-1.65454545454546,-0.850393016343675,NA,NA,NA
"ABalaappaa_X20221004_JIM712_ceh.32_L4","ABalaappaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,100.6,NA,NA
"ABalaappaaa_X20221004_JIM712_ceh.32_L4","ABalaappaaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaappaap_X20221004_JIM712_ceh.32_L4","ABalaappaap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaappap_X20221004_JIM712_ceh.32_L4","ABalaappap","X20221004_JIM712_ceh.32_L4",293.8,306.718181818182,4.84027118126919,67.7,76.3,4.0767634221279,-8.59999999999999,-2.10951657222021,NA,NA,NA
"ABalaappapa_X20221004_JIM712_ceh.32_L4","ABalaappapa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,31.1,NA,NA
"ABalaappapp_X20221004_JIM712_ceh.32_L4","ABalaappapp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,31.1,NA,NA
"ABalaappp_X20221004_JIM712_ceh.32_L4","ABalaappp","X20221004_JIM712_ceh.32_L4",215.6,221.618181818182,3.16553408773402,42.8,46,1.98062039342655,-3.2,-1.61565538283885,NA,NA,NA
"ABalaapppa_X20221004_JIM712_ceh.32_L4","ABalaapppa","X20221004_JIM712_ceh.32_L4",301,314.981818181818,5.81563052828826,83.6,91.7136363636364,5.97050651552681,-8.11363636363637,-1.35895276933978,NA,NA,NA
"ABalaapppaa_X20221004_JIM712_ceh.32_L4","ABalaapppaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,23.8,NA,NA
"ABalaapppap_X20221004_JIM712_ceh.32_L4","ABalaapppap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,23.8,NA,NA
"ABalaapppp_X20221004_JIM712_ceh.32_L4","ABalaapppp","X20221004_JIM712_ceh.32_L4",282.9,288.254545454545,3.86075828632855,65.5,64.9909090909091,2.32479575977661,0.509090909090915,0.218983068491071,NA,NA,NA
"ABalaappppa_X20221004_JIM712_ceh.32_L4","ABalaappppa","X20221004_JIM712_ceh.32_L4",NA,405.233333333333,3.46458270695523,NA,117.4,3.63455636907725,NA,NA,41.9,-75.5,-20.7728240624779
"ABalaappppaa_X20221004_JIM712_ceh.32_L4","ABalaappppaa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaappppap_X20221004_JIM712_ceh.32_L4","ABalaappppap","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaappppp_X20221004_JIM712_ceh.32_L4","ABalaappppp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,41.9,NA,NA
"ABalap_X20221004_JIM712_ceh.32_L4","ABalap","X20221004_JIM712_ceh.32_L4",98.4,101.613636363636,1.24834955976947,24.6,25.6181818181818,1.41812631704029,-1.01818181818182,-0.717976816273194,NA,NA,NA
"ABalapa_X20221004_JIM712_ceh.32_L4","ABalapa","X20221004_JIM712_ceh.32_L4",131.1,133.718181818182,1.08436347957876,31,30.4,1.34730772106379,0.600000000000001,0.445332562576174,NA,NA,NA
