"Cell","Time","Defect_Count","ExpLevel","Expressing","Mean_Dev","Max_Dev","Mean_NN_score","Max_NN_score"
"ABalaappapp",308,2,17246,TRUE,8.64641681985057,10.4574767980916,1.45095613383244,2.19333730176369
"ABalaappp",175,2,10880,TRUE,5.02051730179361,6.86376111476922,0.676479959228412,0.899508990650252
"ABalaapppa",223,1,28164,TRUE,4.75446263943645,6.85900072470131,1.05738367383456,1.66576886222643
"ABalaapppaa",316,2,28164,TRUE,6.82035635578103,7.9219711384457,1.22877745653046,1.68556432433554
"ABalaapppap",316,2,28164,TRUE,6.76977295596501,8.0305704303214,1.30870254619251,1.58003727879651
"ABalaapppp",223,1,31475,TRUE,4.92576791317813,7.11128014211571,0.9046981476246,1.57964712398594
"ABalaappppa",289,1,31475,TRUE,6.50376061134168,7.41461637288331,1.3730481920176,2.23219081263088
"ABalaappppaa",400,0,31475,TRUE,NA,NA,NA,NA
"ABalaappppap",400,0,31475,TRUE,NA,NA,NA,NA
"ABalaappppp",289,2,39406,TRUE,7.13212997329796,8.37653804316716,1.29209567376317,2.2748863067375
"ABalap",75,0,51,FALSE,3.10944001442374,3.91092027800456,0.161742084320915,0.174591657178098
"ABalapa",103,0,110,FALSE,2.62368331927241,3.78235905634207,0.20802477674433,0.228716621764228
"ABalapaa",135,0,2096,TRUE,2.49316500250691,4.13787509427486,0.386422173975693,0.455258785725307
"ABalapaaa",175,1,8288,TRUE,3.93112178344168,5.71647909726078,0.80008134714667,0.915156579295868
"ABalapaaaa",229,1,8632,TRUE,3.12333677650356,5.16025652945623,0.939412313202457,1.15451716348079
"ABalapaaaaa",348,0,21314,TRUE,2.1584225108571,3.01197609552267,1.16070165821571,1.16070165821571
"ABalapaaaap",348,0,13962,TRUE,1.74279723241332,2.30911238357946,1.15259899243978,1.15259899243978
"ABalapaaap",229,1,11199,TRUE,4.26354965703308,5.85217744421477,0.928016963759232,1.39273165199125
"ABalapaaapa",301,0,11199,TRUE,4.12558112658485,5.51974132481567,0.969219540295928,1.07554646636424
"ABalapaaapp",301,1,11199,TRUE,5.582293518476,7.12047850300864,1.08895590409118,1.74044349486202
"ABalapaap",175,0,8540,TRUE,2.58784503568012,4.08019478731361,0.662671248420772,0.760765642736041
"ABalapaapa",225,0,17036,TRUE,2.47814789611312,4.44661612953825,0.867999626563932,1.07592299468611
"ABalapaapaa",321,0,17036,TRUE,2.56835132950093,3.34029491194034,1.09077134503854,1.14854564931551
"ABalapaapap",321,0,17036,TRUE,3.28086710817692,4.01816068219087,1.00896816715859,1.12098401636363
"ABalapaapp",225,0,22341,TRUE,2.25942566371972,3.72680849184565,0.74244851639436,0.919584114642163
