"","Cells","20101213_RW10889_pal.1_L2","20101213_RW10889_pal.1_L3","20110125_RW10890_pal.1_L3","20110125_RW10890_pal.1_L4","20110203_RW10890_pal.1_L4","20110209_UP2051_mls.2_L1","20110209_UP2051_mls.2_L2","20110209_UP2051_mls.2_L3","20110225_NX68_L3","20110316_mir.1_L2","20110316_mir.1_L3","20110408_RW10425_pha.4_L2","20110726_RW10713_L1","20110731_RW10434_L1","20110916_ceh.36_L1","20110927_RW11144_L4","20110929_ceh.43_L1","20111116_RW10226_L4","20120331_RW10871_L4","20120426_JIM122_L2","20120612_JIM127_L4","20120807_mir.57_L4"
"ABaraappaa","ABaraappaa",3.34315582480073,2.14926952803324,2.83419242871496,2.30075278688744,3.67631476966851,3.49573825542091,2.96393263995909,2.72443033699836,3.98856819503382,2.2502169580785,2.67220852504484,2.48670030911564,2.07338008061177,2.74800905469224,3.59231789174418,2.67978897736447,3.1294250678987,1.51380697919118,2.73955108384626,2.83698066536274,3.65674248491231,3.44790775350622
"ABaraappaaa","ABaraappaaa",1.98185791068876,1.89523646274343,2.42546102652029,1.81186407564779,1.99227644781283,2.64612410689968,1.53106739879572,1.92098470917805,2.86829415046801,2.58085745753392,2.05754842225039,2.34531607933669,2.2950310024245,1.98625961866199,1.97166257070909,1.95238155576953,2.49025939466975,4.09843608592382,2.27875420066428,2.05325194268839,2.10051973094702,1.45407023267717
"ABaraappaap","ABaraappaap",1.64534463609046,1.52728213772095,2.11062607527008,1.68431339297037,1.03146677726942,2.55572430186375,1.36495877283107,1.53914305491349,3.15123448741605,2.74802973731401,2.44688776870986,2.9081405325435,2.29598856557568,3.7820781271709,2.07702265329738,2.41448858419304,2.43468983914013,3.06367877359886,2.59370391525324,2.80389968683337,2.01932547696596,2.07029989940422
"ABaraappap","ABaraappap",2.93186801518178,2.16843432873042,2.4597921792498,2.95483215392198,3.16072987123811,2.91112854774357,2.5446233137009,2.26176536913961,3.32971418490302,2.01060298876864,2.14702771861554,3.2467899613755,2.20818955147694,2.56800299984291,2.28186292198126,2.3060210261455,3.25250464432813,2.14924110359277,2.39206628349878,2.07327043382921,2.17588577876376,3.66474376168894
"ABaraappapa","ABaraappapa",2.36045677747912,1.77009558441715,2.24923804326766,2.25104133905895,1.96497761672726,1.91844723273565,1.86767774901062,1.78923166388968,3.02795307728266,1.59986564881758,2.20477644546083,2.2602619365079,2.06560126762026,2.73716588010002,1.01560211043935,2.03081761158767,3.18763228119623,2.62803543506055,1.98788167497943,2.02732147945654,2.38775521761046,1.93206861527756
"ABaraappapp","ABaraappapp",2.0811483605007,1.21464913636362,1.75960326416823,2.33186303172271,2.24256473853416,1.6484801224893,1.65597465744972,1.59127992520122,3.42576261853911,1.8112771498734,1.98453212838569,2.89375552626826,2.41492590592683,2.71878491996013,2.19235463549541,1.32646638029401,3.33113138538754,2.96046933749108,1.90406806774642,2.1935637455611,2.08015556692801,2.09687454366521
"ABaraappp","ABaraappp",3.55989936375484,2.61875162308717,2.53940954922668,3.56969681209451,4.30967863666384,4.58405671462874,3.10198883149888,4.7352089454769,2.85004628407934,2.54705039314785,1.75310710136594,3.39280169452675,2.53427565452866,3.20800635127204,3.00216519661537,2.14420799191669,2.95818964768484,2.65459623783901,2.64125007833122,3.79405562434409,3.24824659297477,2.6618441284364
"ABaraapppa","ABaraapppa",2.23160637878599,2.67751484528162,2.37535605362557,3.33646270085451,2.52876836058339,3.00283956523579,2.29637695238348,2.49087922638316,4.21882336982649,2.33652306992702,1.58973811428084,2.30787640880494,2.52621380693462,2.22925110822228,1.93359493590683,2.23486649968231,3.50488653265701,2.74923800181481,2.84748816586016,2.40590591622486,2.68467883015567,3.45997787966297
"ABaraapppaa","ABaraapppaa",2.09078454437974,2.29784753754141,1.40340585570697,2.4784734371206,2.31299738998439,2.97073687134098,1.97237638270218,1.59888394255152,3.87321645828231,2.70090632920631,1.87990680268381,2.25520938889388,1.69596006150055,2.23747135376985,1.94600077593555,2.34338384507965,2.40672465988486,1.93981371403236,2.0275971287255,1.73082657493231,2.37242396144011,1.96899638971543
"ABaraapppap","ABaraapppap",1.40306629968876,1.89511115267462,2.06802070564892,2.18363208259152,3.11918491364029,2.36188715532299,2.57080829180026,1.19404465001677,4.08763908137391,1.63890531399434,2.3698868404132,2.31720137714058,3.05237240317129,2.03102994675807,1.74883281855035,2.33204503969283,2.99699506599341,4.05645134613122,3.40967570741736,3.37046119630238,2.46107297033007,2.33404443290267
