"","Cells","20101213_RW10889_pal.1_L2","20101213_RW10889_pal.1_L3","20110125_RW10890_pal.1_L3","20110125_RW10890_pal.1_L4","20110203_RW10890_pal.1_L4","20110209_UP2051_mls.2_L1","20110209_UP2051_mls.2_L2","20110209_UP2051_mls.2_L3","20110225_NX68_L3","20110316_mir.1_L2","20110316_mir.1_L3","20110408_RW10425_pha.4_L2","20110726_RW10713_L1","20110731_RW10434_L1","20110916_ceh.36_L1","20110927_RW11144_L4","20110929_ceh.43_L1","20111116_RW10226_L4","20120331_RW10871_L4","20120426_JIM122_L2","20120612_JIM127_L4","20120807_mir.57_L4"
"Cpaaaa","Cpaaaa",2.80179542873882,2.06796764819356,2.96572345231297,3.50041656632471,2.91510955715865,2.91377212199997,3.45732649445382,2.27987792731941,6.89433050837403,2.44996985850084,1.71793204949257,2.88132366149777,2.748478010483,3.17670773188777,1.3841346485158,2.23862464704695,3.57587145789682,1.66692968090333,3.77973374747887,2.79945378419923,3.63306946000674,5.24962190457002
"Cpaaap","Cpaaap",2.21098709946652,2.46498590300216,2.34258617992898,3.0946978354658,2.19417697940285,1.87298877981396,2.21122154428762,1.99764156879718,7.84821031305764,2.82773521079938,2.29629121058153,3.56553193441283,2.44961947397868,2.34147834760277,1.64648750544351,1.83433123819688,2.78313666616445,1.8471600146592,2.7867282676641,1.90265445452714,3.41201623296715,3.02730161684502
"Cpaap","Cpaap",2.84758149282407,3.8135072459915,2.5593284667832,3.22726051574199,3.50819109412227,3.8830796494607,1.66372283547889,2.86521034754178,2.19399405959391,1.70407340107529,2.50410557899778,3.12471525030585,2.72549699371653,3.52804263366326,1.40036789281297,4.14413181059447,2.03727309922198,2.04418392309708,2.29918594484501,4.42044693625789,3.15427986002604,1.81860924311702
"Cpaapa","Cpaapa",2.25080835084993,3.59293291987101,2.49970918601938,3.66518984761778,2.30760454156872,1.40890129059033,2.2441790800003,1.96477721147148,2.86134203711665,2.08421844877083,2.09501333623484,2.84702417177397,1.71128773211651,1.74141893409903,1.93389078249588,1.69878826277409,3.10876037200448,1.67880027630221,2.16636194360259,2.09850654767057,2.93932547085399,3.58211755613748
"Cpaapp","Cpaapp",1.95880846309187,2.60599734478295,2.03339061483812,2.8244185153226,2.69002053716548,1.38753202539962,2.49191857017848,1.42717159623398,2.06568583637843,1.67779974877887,1.77567298707145,2.21328247574182,1.53783734768429,2.27702823743373,2.58477707402322,1.3280034612248,2.95253240615831,1.44429309119811,1.93536512082684,2.06347134054917,1.42907708871296,2.00618376380343
"Cpap","Cpap",3.82906980368796,4.53684750914403,2.77854031153075,2.21994611699177,1.70611583922208,4.3106903502984,2.35574848454585,3.41563107144134,2.03514439677893,3.87591183637701,2.00249218164009,4.32122604754307,2.40429004011859,3.20881696742469,2.07527387195626,3.31969832717733,2.1062933459126,1.95394010583814,2.20659962633493,2.46342999938817,2.56814915787657,2.47661312360618
"Cpapa","Cpapa",3.09647378929401,3.58756713332166,2.41616741401323,4.00600937181017,2.52496979468398,3.33391961237766,1.58191575745761,1.95560509675594,3.18402639337551,2.23319689791216,1.70735248089904,1.74736857727591,1.59081448921704,4.15495946810063,2.04472688881173,2.44756105601681,2.89258647674998,2.29731625562999,2.57054967752203,3.12839158440673,2.10184868210128,1.68111910217952
"Cpapaa","Cpapaa",1.24687925833112,1.90939911103037,3.23142271053336,2.15832523150376,3.51418044089611,1.92311002792145,2.6239241463647,1.39965673762422,2.9908232300246,2.03250524677466,1.63166774971201,2.03795802164039,2.61935269493519,2.59316463940858,2.92971855625985,2.60279160535699,3.6014217486136,2.00587461818138,5.09251816603043,3.96569106999932,2.40185938459813,3.22139081647084
"Cpapap","Cpapap",2.55040638497244,1.96711789427573,4.54091794752493,1.65999311112267,3.28467223151629,1.37923711495954,2.91759603840939,2.61760187918757,1.77516156274859,1.86064193957157,1.63961230524749,1.89587489786627,2.06588596891096,2.96610525976119,2.45700906695258,1.93420991702572,2.68573844972702,2.01892442546481,1.92173369630733,2.47850720801019,1.69402452782691,1.63876571390601
"Cpapp","Cpapp",3.7217298267286,4.32794326578102,2.84795587378518,4.33997177532364,3.35935692572879,3.38897095642435,2.01204957679459,2.04830257370557,4.24561654963589,2.60508328338982,2.43545784495808,2.14885099072676,1.4827738081546,4.63145600655805,2.16074942507763,2.7541995235023,3.24962712090064,2.4629407232651,2.77441414419717,2.22434348779468,1.6507149760431,1.5440872461503
