paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20110316_mir.1_L3.1	X20110316_mir.1_L2.1	X20110203_RW10890_pal.1_L4.1	X20110125_RW10890_pal.1_L3.1	X20110125_RW10890_pal.1_L4.1	X20101213_RW10889_pal.1_L2.1	X20101213_RW10889_pal.1_L3.1	X20110209_UP2051_mls.2_L1.1	X20110209_UP2051_mls.2_L2.1	X20110209_UP2051_mls.2_L3.1	X20110225_NX68_L3.1	X20110408_RW10425_pha.4_L2.1	X20110927_RW11144_L4.1	X20110929_ceh.43_L1.1	X20110726_RW10713_L1.1	X20110731_RW10434_L1.1	X20111116_RW10226_L4.1	X20110916_ceh.36_L1.1	X20120426_JIM122_L2.1	X20120612_JIM127_L4.1	X20120331_RW10871_L4.1	X20120807_mir.57_L4.1
ABarappaap 1	-6	-2	7	4	-2	2	0	-1	8	7	-9	-2	-1	-4	-6	-3	9	4	0	3	-3	-7	-6	-2	7	4	-2	2	0	-1	8	7	-9	-2	-1	-4	-6	-3	9	4	0	3	-3	-7
ABarappaapa NA																																												
ABarappaapp NA																																												
ABarappap 1	-1	-1	1	1	-3	3	5	-2	-3	1	-2	1	-1	0	1	1	-2	1	-3	2	-1	0	-1	-1	1	1	-3	3	5	-2	-3	1	-2	1	-1	0	1	1	-2	1	-3	2	-1	0
ABarappapa 1	0	-2	1	-4	0	6	3	2	2	0	-3	1	-3	0	-3	-1	1	4	2	-1	-2	-4	0	-2	1	-4	0	6	3	2	2	0	-3	1	-3	0	-3	-1	1	4	2	-1	-2	-4
ABarappapaa NA																																												
ABarappapap 1																			3		0	-3																			3		0	-3
ABarappapapa NA																																												
ABarappapapp NA																																												
ABarappapp 1	-3	1	2	-1	2	-1	2	1	-2	-3	-3	-1	-3	3	0	3	2	7	2	-3	1	-7	-3	1	2	-1	2	-1	2	1	-2	-3	-3	-1	-3	3	0	3	2	7	2	-3	1	-7
ABarappappa NA																																												
ABarappappp NA																																												
ABarappp 1	0	2	-2	-2	-2	0	-1	0	0	0	2	1	0	0	-2	1	2	2	-1	-1	1	0	0	2	-2	-2	-2	0	-1	0	0	0	2	1	0	0	-2	1	2	2	-1	-1	1	0
ABarapppa 1	-1	-1	3	0	2	2	1	-1	0	2	-3	1	0	-2	-1	-1	-1	0	1	2	-3	-1	-1	-1	3	0	2	2	1	-1	0	2	-3	1	0	-2	-1	-1	-1	0	1	2	-3	-1
ABarapppaa 1	-4	4	8	5	-1	1	5	1	1	2	-3	-3	-1	0	1	-5	0	-2	-3	1	-1	-4	-4	4	8	5	-1	1	5	1	1	2	-3	-3	-1	0	1	-5	0	-2	-3	1	-1	-4
ABarapppaaa NA																																												
ABarapppaap NA																																												
ABarapppap 1	1	-1	4	-3	1	0	0	-1	0	-4	-3	-2	-2	1	-3	4	0	10	0	-2	1	-1	1	-1	4	-3	1	0	0	-1	0	-4	-3	-2	-2	1	-3	4	0	10	0	-2	1	-1
ABarapppapa NA																																												
ABarapppapp NA																																												
ABarapppp 1	-2	0	1	-1	-1	3	3	0	1	3	0	-1	-1	0	-2	-2	-2	1	-2	1	0	1	-2	0	1	-1	-1	3	3	0	1	3	0	-1	-1	0	-2	-2	-2	1	-2	1	0	1
ABarappppa 1	1	2	6	2	-9	0	5	2	0	-2	-8	-1	1	2	7	-3	2	-2	0	2	-3	-5	1	2	6	2	-9	0	5	2	0	-2	-8	-1	1	2	7	-3	2	-2	0	2	-3	-5
ABarappppaa NA																																												
ABarappppap NA																																												
ABarappppp 1	-2	0	-1	0	-1	-4	1	1	3	2	-2	0	2	5	1	0	2	-1	-4	-2	1	-3	-2	0	-1	0	-1	-4	1	1	3	2	-2	0	2	5	1	0	2	-1	-4	-2	1	-3
ABarapppppa 1																			2		-1	-1																			2		-1	-1
ABarapppppaa NA																																												
ABarapppppap NA																																												
ABarapppppp NA																																												
ABarp 1	2	2	0	-6	0	-1	0	0	0	0	2	0	1	0	-1	1	0	1	0	0	1	0	2	2	0	-6	0	-1	0	0	0	0	2	0	1	0	-1	1	0	1	0	0	1	0
ABarpa 1	1	-1	0	0	3	-2	0	2	1	0	1	1	1	-1	0	-1	1	1	-2	-2	-2	-1	1	-1	0	0	3	-2	0	2	1	0	1	1	1	-1	0	-1	1	1	-2	-2	-2	-1
ABarpaa 1	1	1	0	0	1	-1	0	0	-1	0	0	-1	-1	-1	-1	1	0	1	-1	2	1	0	1	1	0	0	1	-1	0	0	-1	0	0	-1	-1	-1	-1	1	0	1	-1	2	1	0
ABarpaaa 1	-1	-1	0	1	-3	7	7	-4	-4	-4	3	-1	2	-1	4	2	-1	-1	0	-2	-1	-1	-1	-1	0	1	-3	7	7	-4	-4	-4	3	-1	2	-1	4	2	-1	-1	0	-2	-1	-1
ABarpaaaa 1	-1	0	3	0	2	3	2	-3	0	2	0	-1	0	-2	-3	0	-1	-1	1	1	-1	-1	-1	0	3	0	2	3	2	-3	0	2	0	-1	0	-2	-3	0	-1	-1	1	1	-1	-1
ABarpaaaaa 1	-2	10		1	7			0	-1		-11	0	-1	6	5	-6	2	5	-5	-3	0	-7	-2	10		1	7			0	-1		-11	0	-1	6	5	-6	2	5	-5	-3	0	-7
ABarpaaaaal NA																																												
ABarpaaaaar NA																																												
ABarpaaaap 1	5	7		-1	6			-7	2	-9	-1	-4	5	13	3	-4	0	0	-4	-7	3	-6	5	7		-1	6			-7	2	-9	-1	-4	5	13	3	-4	0	0	-4	-7	3	-6
ABarpaaaapa NA																																												
ABarpaaaapp NA																																												
ABarpaaap 1	-3	1	7	2	2	-1	1	-1	1	1	-1	-3	-3	5	-2	-2	-1	-2	-3	2	-3	3	-3	1	7	2	2	-1	1	-1	1	1	-1	-3	-3	5	-2	-2	-1	-2	-3	2	-3	3
ABarpaaapa 1	16	2		-2	9			-1	-9	-7	-5	0	-4	10	-2	0	1	2	1	-3	-1	-6	16	2		-2	9			-1	-9	-7	-5	0	-4	10	-2	0	1	2	1	-3	-1	-6
ABarpaaapaa NA																																												
ABarpaaapap NA																																												
ABarpaaapp NA																																												
ABarpaap 1	0	-1	0	0	2	2	0	-1	-1	-2	2	-2	-1	0	3	-1	1	2	-1	-3	0	-1	0	-1	0	0	2	2	0	-1	-1	-2	2	-2	-1	0	3	-1	1	2	-1	-3	0	-1
ABarpaapa 1	-1	-1	3	0	1	1	0	-3	-3	-3	2	-1	2	1	3	-1	-1	-1	-1	1	1	-1	-1	-1	3	0	1	1	0	-3	-3	-3	2	-1	2	1	3	-1	-1	-1	-1	1	1	-1
ABarpaapaa NA																																												
ABarpaapap NA																																												
ABarpaapp 1	-1	0	3	1	1	3	2	-5	-3	-2	0	-1	1	1	5	-2	-3	0	-1	2	-1	0	-1	0	3	1	1	3	2	-5	-3	-2	0	-1	1	1	5	-2	-3	0	-1	2	-1	0
ABarpaappa NA																																												
ABarpaappp NA																																												
ABarpap 1	3	0	0	-1	0	-1	0	-1	-1	0	1	0	-1	0	0	1	-1	0	0	-1	1	-1	3	0	0	-1	0	-1	0	-1	-1	0	1	0	-1	0	0	1	-1	0	0	-1	1	-1
ABarpapa 1	0	1	-1	1	1	0	-3	-1	-2	1	2	0	2	-2	1	0	2	0	0	-1	-1	1	0	1	-1	1	1	0	-3	-1	-2	1	2	0	2	-2	1	0	2	0	0	-1	-1	1
ABarpapaa 1	-1	0	4	0	0	2	2	2	-2	0	0	-2	-2	-1	1	-2	1	0	1	0	1	-1	-1	0	4	0	0	2	2	2	-2	0	0	-2	-2	-1	1	-2	1	0	1	0	1	-1
ABarpapaaa 1	-6	1		3	4	0	-2	-5	3	-1	0	1	0	9	0	-2	11	-7	-3	-1	-1	-2	-6	1		3	4	0	-2	-5	3	-1	0	1	0	9	0	-2	11	-7	-3	-1	-1	-2
ABarpapaaaa NA																																												
ABarpapaaap NA																																												
ABarpapaap 1	-2	0	7	-3	0	-4	2	0	1	0	0	1	-4	8	1	-3	0	-2	2	0	-2	-1	-2	0	7	-3	0	-4	2	0	1	0	0	1	-4	8	1	-3	0	-2	2	0	-2	-1
ABarpapaapa NA																																												
ABarpapaapp 1											-2								8	-3	-8	6											-2								8	-3	-8	6
ABarpapaappa NA																																												
ABarpapaappp NA																																												
ABarpapap 1	-2	0	1	0	-1	2	1	1	-1	0	-1	0	-3	-1	0	2	0	2	1	-1	0	-1	-2	0	1	0	-1	2	1	1	-1	0	-1	0	-3	-1	0	2	0	2	1	-1	0	-1
ABarpapapa NA																																												
ABarpapapp NA																																												
ABarpapp 1	-1	0	1	0	2	-1	-3	-1	-3	0	1	1	1	-2	5	1	1	-2	3	0	-3	0	-1	0	1	0	2	-1	-3	-1	-3	0	1	1	1	-2	5	1	1	-2	3	0	-3	0
ABarpappa 1	-2	0	3	1	1	-1	2	1	-3	-1	1	2	-1	1	2	1	-2	-1	-2	0	0	-3	-2	0	3	1	1	-1	2	1	-3	-1	1	2	-1	1	2	1	-2	-1	-2	0	0	-3
ABarpappaa NA																																												
ABarpappap NA																																												
ABarpappp 1	-1	0	0	0	0	1	6	-1	-4	0	2	-2	-1	1	2	0	-2	0	1	0	0	-2	-1	0	0	0	0	1	6	-1	-4	0	2	-2	-1	1	2	0	-2	0	1	0	0	-2
ABarpapppa NA																																												
ABarpapppp NA																																												
ABarpp 1	2	0	-1	-1	5	-1	1	1	-1	0	1	1	1	-1	1	-2	-1	1	-1	-2	-1	-2	2	0	-1	-1	5	-1	1	1	-1	0	1	1	1	-1	1	-2	-1	1	-1	-2	-1	-2
ABarppa 1	1	0	-1	1	0	0	-1	-1	1	-1	-1	0	-1	0	0	2	1	1	-2	0	0	1	1	0	-1	1	0	0	-1	-1	1	-1	-1	0	-1	0	0	2	1	1	-2	0	0	1
ABarppaa 1	-1	-2	1	0	0	-1	3	0	-2	0	0	-1	-1	0	2	-1	0	4	-1	-2	3	-2	-1	-2	1	0	0	-1	3	0	-2	0	0	-1	-1	0	2	-1	0	4	-1	-2	3	-2
ABarppaaa 1	-2	-1	0	2	-2	2	0	-2	1	1	-1	-3	3	-4	3	-2	-4	2	0	-1	4	3	-2	-1	0	2	-2	2	0	-2	1	1	-1	-3	3	-4	3	-2	-4	2	0	-1	4	3
ABarppaaaa NA																																												
ABarppaaap NA																																												
ABarppaap 1	-3	-1	3	-1	1	1	0	-4	1	1	-1	-2	1	-2	3	1	-2	1	2	1	0	0	-3	-1	3	-1	1	1	0	-4	1	1	-1	-2	1	-2	3	1	-2	1	2	1	0	0
ABarppaapa NA																																												
ABarppaapp NA																																												
ABarppaappa NA																																												
ABarppaappp NA																																												
ABarppap 1	3	0	0	-2	2	0	1	-2	-2	0	1	-1	1	-2	0	-1	0	3	1	-3	0	0	3	0	0	-2	2	0	1	-2	-2	0	1	-1	1	-2	0	-1	0	3	1	-3	0	0
ABarppapa 1	-3	2	-3	-1	-3	0	-2	-4	1	0	-4	2	0	4	2	0	-1	4	1	0	1	3	-3	2	-3	-1	-3	0	-2	-4	1	0	-4	2	0	4	2	0	-1	4	1	0	1	3
ABarppapaa NA																																												
ABarppapap NA																																												
ABarppapp 1	-4	-2	0	5	-1	2	-1	-4	0	1	-3	2	-1	1	-1	-3	-3	3	2	1	5	1	-4	-2	0	5	-1	2	-1	-4	0	1	-3	2	-1	1	-1	-3	-3	3	2	1	5	1
ABarppappa NA																																												
ABarppappp NA																																												
ABarppp 1	2	0	0	0	1	0	1	0	-1	0	0	-1	0	0	-2	1	0	-1	-1	-1	1	0	2	0	0	0	1	0	1	0	-1	0	0	-1	0	0	-2	1	0	-1	-1	-1	1	0
ABarpppa 1	-1	0	0	2	-1	1	0	-1	-1	-2	1	-1	1	-1	2	1	-1	3	-1	0	-1	2	-1	0	0	2	-1	1	0	-1	-1	-2	1	-1	1	-1	2	1	-1	3	-1	0	-1	2
ABarpppaa 1	-2	0	1	5	-2	1	-2	0	-3	1	-1	-2	1	2	3	-2	-3	8	0	-2	0	-2	-2	0	1	5	-2	1	-2	0	-3	1	-1	-2	1	2	3	-2	-3	8	0	-2	0	-2
ABarpppaaa NA																																												
ABarpppaap NA																																												
ABarpppap 1	-1	-2	1	1	3	-2	-2	-3	-4	-2	-1	-1	7	3	3	-2	6	-1	0	0	1	-2	-1	-2	1	1	3	-2	-2	-3	-4	-2	-1	-1	7	3	3	-2	6	-1	0	0	1	-2
ABarpppapa NA																																												
ABarpppapp NA																																												
ABarpppappa NA																																												
ABarpppappp NA																																												
ABarpppp 1	1	1	-1	-1	0	1	1	-1	-1	1	2	-2	0	1	-1	-3	1	3	-2	-2	1	-1	1	1	-1	-1	0	1	1	-1	-1	1	2	-2	0	1	-1	-3	1	3	-2	-2	1	-1
ABarppppa 1	-5	1	0	4	1	-1	1	-2	-6	-1	0	-2	3	3	1	-1	0	5	0	1	-2	2	-5	1	0	4	1	-1	1	-2	-6	-1	0	-2	3	3	1	-1	0	5	0	1	-2	2
ABarppppaa NA																																												
ABarppppap NA																																												
ABarppppp 1	-2	2	0	1	5	1	3	-2	-4	-2	0	2	5	4	-2	-4	-3	0	3	0	-1	-5	-2	2	0	1	5	1	3	-2	-4	-2	0	2	5	4	-2	-4	-3	0	3	0	-1	-5
ABarpppppa NA																																												
ABarpppppp NA																																												
ABp 1						-1							0	0	0		0		1									-1							0	0	0		0		1			
ABpl 1	3	-4	3		-5	2	1	3	-3	-7	-6	-5	3	1	3	4	2	2	1	3	3	-2	3	-4	3		-5	2	1	3	-3	-7	-6	-5	3	1	3	4	2	2	1	3	3	-2
ABpla 1	2	0	0	-8	2	1	1	1	0	0	2	0	-1	-2	-1	-1	1	0	1	0	2	0	2	0	0	-8	2	1	1	1	0	0	2	0	-1	-2	-1	-1	1	0	1	0	2	0
ABplaa 1	1	2	0	0	1	-3	-2	0	0	0	3	0	-1	-1	0	1	1	1	0	-1	0	1	1	2	0	0	1	-3	-2	0	0	0	3	0	-1	-1	0	1	1	1	0	-1	0	1
ABplaaa 1	2	-1	-1	-2	0	-2	-1	0	2	1	1	-1	0	1	0	0	1	-1	1	-2	2	1	2	-1	-1	-2	0	-2	-1	0	2	1	1	-1	0	1	0	0	1	-1	1	-2	2	1
ABplaaaa 1	2	-1	2	-2	-1	-1	-2	-1	2	2	2	0	1	-1	-1	0	1	2	-1	-2	0	0	2	-1	2	-2	-1	-1	-2	-1	2	2	2	0	1	-1	-1	0	1	2	-1	-2	0	0
ABplaaaaa 1	1	0	0	-3	-1	0	-1	-1	4	2	0	0	-3	-4	0	0	-3	1	3	4	0	2	1	0	0	-3	-1	0	-1	-1	4	2	0	0	-3	-4	0	0	-3	1	3	4	0	2
ABplaaaaaa 1	-2	0		0	-9	7	-8	-5	4	2	5	5	-4	17	0	4	1	-5	-1	-3	-4	-4	-2	0		0	-9	7	-8	-5	4	2	5	5	-4	17	0	4	1	-5	-1	-3	-4	-4
ABplaaaaaaa NA																																												
ABplaaaaaap NA																																												
ABplaaaaap 1	-1	3	3	2	-1	3	-2	0	1	0	2	-1	-1	2	-3	-2	0	-2	0	-2	-1	-1	-1	3	3	2	-1	3	-2	0	1	0	2	-1	-1	2	-3	-2	0	-2	0	-2	-1	-1
ABplaaaaapa NA																																												
ABplaaaaapp 1															-4				8		-6	1															-4				8		-6	1
ABplaaaaappa NA																																												
ABplaaaaappp NA																																												
ABplaaaap 1	-2	-3	1	-3	2	3	2	1	0	5	-2	0	-1	-3	-3	2	-3	-1	1	1	-2	2	-2	-3	1	-3	2	3	2	1	0	5	-2	0	-1	-3	-3	2	-3	-1	1	1	-2	2
ABplaaaapa NA																																												
ABplaaaapp NA																																												
ABplaaap 1	-1	1	0	-3	3	-1	0	-1	0	0	5	-2	-1	-3	0	0	2	3	-1	-2	0	0	-1	1	0	-3	3	-1	0	-1	0	0	5	-2	-1	-3	0	0	2	3	-1	-2	0	0
ABplaaapa 1	-4	-3	1	-1	-1	2	-1	1	4	2	0	-2	-1	2	2	-1	0	-3	0	1	2	-1	-4	-3	1	-1	-1	2	-1	1	4	2	0	-2	-1	2	2	-1	0	-3	0	1	2	-1
ABplaaapaa NA																																												
ABplaaapap NA																																												
ABplaaapp 1	-4	-2	1	-1	2	0	0	1	4	0	0	-4	-1	1	-1	0	0	0	6	-1	0	1	-4	-2	1	-1	2	0	0	1	4	0	0	-4	-1	1	-1	0	0	0	6	-1	0	1
ABplaaappa NA																																												
ABplaaappp NA																																												
ABplaap 1	3	0	-2	-1	1	1	2	1	1	-2	1	-2	-1	-1	0	0	2	-1	0	-2	1	1	3	0	-2	-1	1	1	2	1	1	-2	1	-2	-1	-1	0	0	2	-1	0	-2	1	1
ABplaapa 1	-1	1	4	-1	-1	-1	0	-1	1	-3	2	0	-2	-2	-1	0	4	0	0	-2	1	1	-1	1	4	-1	-1	-1	0	-1	1	-3	2	0	-2	-2	-1	0	4	0	0	-2	1	1
ABplaapaa 1	0	-3	0	-1	1	2	1	1	2	1	2	-2	-1	-2	-1	-3	-2	-1	1	3	0	-1	0	-3	0	-1	1	2	1	1	2	1	2	-2	-1	-2	-1	-3	-2	-1	1	3	0	-1
ABplaapaaa 1	2	-1	-2	3	-3	5	-1	3	4	-1	-2	0	1	2	-2	2	-4	-2	-4	0	3	-4	2	-1	-2	3	-3	5	-1	3	4	-1	-2	0	1	2	-2	2	-4	-2	-4	0	3	-4
ABplaapaaaa NA																																												
ABplaapaaap NA																																												
ABplaapaap 1	-4	-1	1	3	2	0	0	1	4	1	3	-1	0	-3	0	1	-5	2	-3	0	1	-4	-4	-1	1	3	2	0	0	1	4	1	3	-1	0	-3	0	1	-5	2	-3	0	1	-4
ABplaapaapa NA																																												
ABplaapaapp NA																																												
ABplaapap 1	-2	-2	-1	-1	-1	0	1	2	1	4	2	-1	-2	1	-1	-1	-3	2	0	1	-1	3	-2	-2	-1	-1	-1	0	1	2	1	4	2	-1	-2	1	-1	-1	-3	2	0	1	-1	3
ABplaapapa 1	-2	4	2	0	0	4	6	5	1	-4	0	1	-2	5	1	-6	0	-11	3	-4	1	-4	-2	4	2	0	0	4	6	5	1	-4	0	1	-2	5	1	-6	0	-11	3	-4	1	-4
ABplaapapaa NA																																												
ABplaapapap NA																																												
ABplaapapp 1	-5	-1	-1	0	1	3	1	1	2	-3	2	4	0	-2	1	-4	0	-1	4	-2	0	0	-5	-1	-1	0	1	3	1	1	2	-3	2	4	0	-2	1	-4	0	-1	4	-2	0	0
ABplaapappa NA																																												
ABplaapappp 1																			4		-3	-1																			4		-3	-1
ABplaapapppa NA																																												
ABplaapapppp NA																																												
ABplaapp 1	-2	-1	1	-3	0	0	2	0	0	-1	3	-1	-2	-2	1	-1	2	2	0	-1	1	0	-2	-1	1	-3	0	0	2	0	0	-1	3	-1	-2	-2	1	-1	2	2	0	-1	1	0
ABplaappa 1	-2	1	2	-4	5	1	0	0	0	0	1	-3	-2	-3	1	-4	-2	1	4	-1	5	0	-2	1	2	-4	5	1	0	0	0	0	1	-3	-2	-3	1	-4	-2	1	4	-1	5	0
ABplaappaa NA																																												
ABplaappap NA																																												
ABplaappp 1	-1	2	1	-5	1	2	4	-1	-1	-1	0	-4	0	-4	0	-1	1	0	4	0	0	2	-1	2	1	-5	1	2	4	-1	-1	-1	0	-4	0	-4	0	-1	1	0	4	0	0	2
ABplaapppa NA																																												
ABplaapppp NA																																												
ABplaappppa NA																																												
ABplaappppp NA																																												
ABplap 1	3	1	0	0	0	-3	-2	0	0	0	2	2	1	-1	0	1	2	1	-2	-1	0	-1	3	1	0	0	0	-3	-2	0	0	0	2	2	1	-1	0	1	2	1	-2	-1	0	-1
ABplapa 1	1	0	0	0	1	-1	-2	1	-1	-2	4	0	-1	-1	0	0	1	0	0	1	-1	1	1	0	0	0	1	-1	-2	1	-1	-2	4	0	-1	-1	0	0	1	0	0	1	-1	1
ABplapaa 1	0	0	-1	-2	0	4	3	0	0	1	1	-1	-1	-2	-1	-1	3	1	-2	-3	3	1	0	0	-1	-2	0	4	3	0	0	1	1	-1	-1	-2	-1	-1	3	1	-2	-3	3	1
ABplapaaa 1	0	-1	2	-2	-1	3	-2	0	0	-1	1	-1	-1	-1	-1	-2	0	1	2	1	1	4	0	-1	2	-2	-1	3	-2	0	0	-1	1	-1	-1	-1	-1	-2	0	1	2	1	1	4
ABplapaaaa 1	1	-3	-2	-3	-2	6	-2	-1	-1	-2	-2	-4	2	1	7	5	-1	-1	2	1	-1	-1	1	-3	-2	-3	-2	6	-2	-1	-1	-2	-2	-4	2	1	7	5	-1	-1	2	1	-1	-1
ABplapaaaaa NA																																												
ABplapaaaap 1																					5	-5																					5	-5
ABplapaaaapa NA																																												
ABplapaaaapp NA																																												
ABplapaaap 1	5	-2	-1	-8	-5	2	1	-3	-5	-4	-1	-1	1	10	1	7	1	1	1	8	2	-7	5	-2	-1	-8	-5	2	1	-3	-5	-4	-1	-1	1	10	1	7	1	1	1	8	2	-7
ABplapaaapa NA																																												
ABplapaaapad NA																																												
ABplapaaapav NA																																												
ABplapaaapp NA																																												
ABplapaap 1	0	-2	-3	-2	2	7	0	-1	-2	-4	1	1	-4	1	1	0	1	-2	2	3	-1	3	0	-2	-3	-2	2	7	0	-1	-2	-4	1	1	-4	1	1	0	1	-2	2	3	-1	3
ABplapaapa NA																																												
ABplapaapp NA																																												
ABplapap 1	2	1	-3	0	0	4	2	-1	0	0	1	-2	-1	-2	-2	1	1	1	-1	-2	2	0	2	1	-3	0	0	4	2	-1	0	0	1	-2	-1	-2	-2	1	1	1	-1	-2	2	0
ABplapapa 1	-1	0	2	-2	1	0	-3	0	-2	1	1	-3	3	-1	5	-2	0	0	-1	1	2	-2	-1	0	2	-2	1	0	-3	0	-2	1	1	-3	3	-1	5	-2	0	0	-1	1	2	-2
ABplapapaa NA																																												
ABplapapaaa NA																																												
ABplapapaap NA																																												
ABplapapap NA																																												
ABplapapp 1	0	0	3	-2	-3	0	-3	2	2	3	3	-1	0	1	-2	-2	-1	-1	-1	2	1	-1	0	0	3	-2	-3	0	-3	2	2	3	3	-1	0	1	-2	-2	-1	-1	-1	2	1	-1
ABplapappa NA																																												
ABplapappp 1	0	1	2	-1		0	-7	-2	4	2	-6	-1	5	2	0	1	3	-1	0	-7	3	3	0	1	2	-1		0	-7	-2	4	2	-6	-1	5	2	0	1	3	-1	0	-7	3	3
ABplapapppa NA																																												
ABplapapppp 1																					-3	3																					-3	3
ABplapappppa NA																																												
ABplapappppaa NA																																												
ABplapappppap NA																																												
ABplapappppp NA																																												
ABplapp 1	0	1	-1	0	1	0	-1	0	0	-1	1	-3	-2	1	-1	1	1	0	-1	0	0	0	0	1	-1	0	1	0	-1	0	0	-1	1	-3	-2	1	-1	1	1	0	-1	0	0	0
ABplappa 1	1	0	2	-3	1	0	1	1	-1	-2	0	-1	2	-1	-1	-3	0	4	2	0	1	-1	1	0	2	-3	1	0	1	1	-1	-2	0	-1	2	-1	-1	-3	0	4	2	0	1	-1
ABplappaa 1	0	-2	-1	-2	1	2	0	-3	-2	0	0	-4	2	4	3	-3	-1	0	1	1	4	0	0	-2	-1	-2	1	2	0	-3	-2	0	0	-4	2	4	3	-3	-1	0	1	1	4	0
ABplappaaa NA																																												
ABplappaap NA																																												
ABplappap 1	-3	-3	1	0	0	2	2	-1	0	0	3	-2	2	1	2	0	-1	-2	1	0	1	-1	-3	-3	1	0	0	2	2	-1	0	0	3	-2	2	1	2	0	-1	-2	1	0	1	-1
ABplappapa NA																																												
ABplappapp NA																																												
ABplappp 1	0	-2	1	-2	0	1	-2	0	1	-2	1	2	0	-1	-2	-1	0	1	0	0	1	3	0	-2	1	-2	0	1	-2	0	1	-2	1	2	0	-1	-2	-1	0	1	0	0	1	3
ABplapppa 1	3	-2	4	3	0	1	0	-3	0	1	-1	-3	-4	2	-2	3	-1	-3	2	-1	2	0	3	-2	4	3	0	1	0	-3	0	1	-1	-3	-4	2	-2	3	-1	-3	2	-1	2	0
ABplapppaa 1	8	5		3	1		-6	0	2	-1	0	-6	7	4	-4	1	5	-7	-9	-5	8	-6	8	5		3	1		-6	0	2	-1	0	-6	7	4	-4	1	5	-7	-9	-5	8	-6
ABplapppaaa NA																																												
ABplapppaap NA																																												
ABplapppap 1	1	1	5	-2	2	-1	-5	-1	4	3	-4	0	3	-1	-1	-1	3	-4	-3	-1	3	-1	1	1	5	-2	2	-1	-5	-1	4	3	-4	0	3	-1	-1	-1	3	-4	-3	-1	3	-1
ABplapppapa NA																																												
ABplapppapp 1																			5		0	-5																			5		0	-5
ABplapppappa NA																																												
ABplapppappp NA																																												
ABplapppp 1	1	-3	1	-3	2	0	-1	1	-3	-1	1	1	-1	0	0	-1	3	0	-2	3	1	1	1	-3	1	-3	2	0	-1	1	-3	-1	1	1	-1	0	0	-1	3	0	-2	3	1	1
ABplappppa NA																																												
ABplappppp NA																																												
ABplp 1	3	1	0	-6	2	1	0	0	1	0	1	0	-1	-1	-1	-1	2	1	0	-1	1	-1	3	1	0	-6	2	1	0	0	1	0	1	0	-1	-1	-1	-1	2	1	0	-1	1	-1
ABplpa 1	0	-1	-1	-1	2	-2	1	1	0	1	3	2	0	-2	1	0	0	1	-2	-1	1	0	0	-1	-1	-1	2	-2	1	1	0	1	3	2	0	-2	1	0	0	1	-2	-1	1	0
ABplpaa 1	3	0	0	-3	0	-1	-1	-1	1	0	2	0	-1	0	-2	0	1	1	0	-2	1	2	3	0	0	-3	0	-1	-1	-1	1	0	2	0	-1	0	-2	0	1	1	0	-2	1	2
ABplpaaa 1	0	2	-1	-2	-2	0	3	0	1	0	2	-3	-1	-1	0	1	2	-2	1	-1	1	-2	0	2	-1	-2	-2	0	3	0	1	0	2	-3	-1	-1	0	1	2	-2	1	-1	1	-2
ABplpaaaa 1	-3	-3	1	-2	-3	-1	0	2	3	1	2	-3	0	2	0	-2	-1	-1	-1	5	1	2	-3	-3	1	-2	-3	-1	0	2	3	1	2	-3	0	2	0	-2	-1	-1	-1	5	1	2
ABplpaaaaa 1	-2	-1	3	-1	0	2	2	3	7	0	-3	-5	-1	8	-1	-4	-1	2	-1	3	-4	-4	-2	-1	3	-1	0	2	2	3	7	0	-3	-5	-1	8	-1	-4	-1	2	-1	3	-4	-4
ABplpaaaaaa NA																																												
ABplpaaaaap NA																																												
ABplpaaaap 1	-3	-2	7	0	1	1	2	0	3	-5	3	0	-1	3	1	0	-3	-3	1	3	-2	-6	-3	-2	7	0	1	1	2	0	3	-5	3	0	-1	3	1	0	-3	-3	1	3	-2	-6
ABplpaaaapa NA																																												
ABplpaaaapp NA																																												
ABplpaaap 1	-1	-5	3	-2	-2	2	0	1	0	0	1	-2	-2	2	3	0	-1	-1	-1	3	1	0	-1	-5	3	-2	-2	2	0	1	0	0	1	-2	-2	2	3	0	-1	-1	-1	3	1	0
ABplpaaapa 1	2	0		5	-6	4	6	0	0	1	-2	-1	0	7	-2	1	7	-7	-3	-1	-3	-7	2	0		5	-6	4	6	0	0	1	-2	-1	0	7	-2	1	7	-7	-3	-1	-3	-7
ABplpaaapaa NA																																												
ABplpaaapap NA																																												
