"Cells","CellNames.Cells.","CellTimes.Cells.","CCDefectCount.Cells.","CCDefectCount.Parents.","CCDefectCount.Sisters.","CCDefectCount.Aunts.","PosDefectCount.Cells.","PosDefectCount.Parents.","PosDefectCount.Sisters.","PosDefectCount.Aunts.","AngDefectCount.Cells.","AngDefectCount.Parents.","AngDefectCount.Sisters.","AngDefectCount.Aunts.","cellObservedCounts.Cells.","cellObservedCounts.Parents.","cellObservedCounts.Sisters.","cellObservedCounts.Aunts.","divObservedCounts.Cells.","divObservedCounts.Parents.","divObservedCounts.Sisters.","divObservedCounts.Aunts.","ExpPeak.Cells.","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells."
"ABalaappap",NA,230,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,7736,-3,-293,0,-32,-24
"ABalaappapa","AVAR",308,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,7736,-3,399,0,-32,-24
"ABalaappapp","OLQsoVR",308,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,7736,-3,-230,0,-32,-24
"ABalaappp",NA,175,1,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-39,-52,-294,0,-65,-38
"ABalaapppa",NA,223,1,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-39,-8,-294,0,-27,-38
"ABalaapppaa","RIAR",316,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-39,-8,-226,0,-27,-38
"ABalaapppap","death",316,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-39,-8,-294,0,-27,-38
"ABalaapppp",NA,223,0,1,1,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,14,-49,-43,0,-21,-38
"ABalaappppa",NA,289,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,14,-49,-43,24,-21,-38
"ABalaappppaa","IL1R",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,14,-49,-43,24,-21,-38
"ABalaappppap","death",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,14,-49,-43,24,-21,-38
"ABalaappppp","IL2R",289,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,14,-49,-43,0,-21,-38
"ABalap",NA,75,0,1,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-103,-294,0,-106,-38
"ABalapa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-89,-294,0,-106,217
"ABalapaa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-54,-37,-294,0,-73,217
"ABalapaaa",NA,175,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,37,-37,-294,0,-51,217
"ABalapaaaa",NA,229,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,37,-22,-182,171,-36,217
"ABalapaaaaa","AVHL",348,0,0,0,0,0,0,0,0,0,0,0,0,7,22,7,22,0,0,0,0,37,-22,-182,171,-36,217
"ABalapaaaap","death",348,0,0,0,0,0,0,0,0,0,0,0,0,7,22,7,22,0,0,0,0,37,-22,-182,171,-36,217
"ABalapaaap",NA,229,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,108,-37,-294,0,-51,217
"ABalapaaapa","CANL",301,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,108,-37,132,4,-51,217
"ABalapaaapp","OLLsoL",301,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,108,-37,119,0,-51,217
"ABalapaap",NA,175,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-29,-37,-294,0,-73,217
"ABalapaapa",NA,225,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-21,-23,-264,0,-61,217
"ABalapaapaa","RIAL",321,0,0,0,0,0,0,0,0,0,0,0,0,21,22,21,22,0,0,0,0,-21,-23,-264,0,-61,217
"ABalapaapap","death",321,0,0,0,0,0,0,0,0,0,0,0,0,21,22,21,22,0,0,0,0,-21,-23,-264,0,-61,217
"ABalapaapp",NA,225,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-6,-37,-294,0,-71,217
"ABalapaappa",NA,291,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-6,-37,54,0,-71,217
"ABalapaappaa","IL1L",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,-6,-37,54,0,-71,217
"ABalapaappap","death",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,-6,-37,54,0,-71,217
"ABalapaappp","IL2L",291,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-6,-37,-207,0,-71,217
"ABalapap",NA,135,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-52,-18,-294,0,-73,217
"ABalapapa",NA,171,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-37,4,-294,917,-44,217
"ABalapapaa","death",226,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,38,4,-294,1349,-44,217
"ABalapapap",NA,226,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,24,4,-294,2411,37,217
"ABalapapapa",NA,291,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,24,4,-294,2411,37,217
"ABalapapapaa","OLQDL",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,24,4,-294,2411,37,217
"ABalapapapap","death",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,24,4,-294,2411,37,217
"ABalapapapp","URYDL",291,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,24,4,-294,2411,37,217
"ABalapapp",NA,171,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-52,-18,-294,922,-73,217
"ABalapappa",NA,218,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-50,-18,-294,6274,-68,217
"ABalapappaa",NA,279,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-50,-18,-294,9532,-68,217
"ABalapappaaa","IL1DL",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,-50,-18,-294,9532,-68,217
"ABalapappaap","death",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,-50,-18,-294,9532,-68,217
"ABalapappap","IL2DL",279,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-50,-18,-294,8299,-68,217
"ABalapappp",NA,218,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,0,-18,-294,5496,-18,217
"ABalapapppa","AVJL",294,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,0,-18,-294,10446,-18,217
"ABalapapppp","CEPsoDL",294,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,0,-18,-294,10112,-18,217
"ABalapp",NA,103,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-89,-294,0,-83,88
"ABalappa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-52,-294,469,-55,92
"ABalappaa",NA,178,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-51,-52,-231,1761,-55,92
"ABalappaaa","death",239,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-6,2,-231,1761,0,92
"ABalappaap",NA,239,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,43,-51,-125,1761,-55,92
"ABalappaapa","RID",339,0,0,0,0,0,0,0,0,0,0,0,0,13,22,13,22,0,0,0,0,43,-51,-125,1761,-55,92
"ABalappaapp","death",339,0,0,0,0,0,0,0,0,0,0,0,0,13,22,13,22,0,0,0,0,43,-51,-125,1761,-55,92
"ABalappap",NA,178,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-15,3,-294,1315,-55,92
"ABalappapa",NA,227,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,260,3,-182,1653,-55,92
"ABalappapaa","AVHR",332,0,0,0,0,0,0,0,0,0,0,0,0,16,22,16,22,0,0,0,0,260,3,-182,2409,-55,92
"ABalappapap","death",332,0,0,0,0,0,0,0,0,0,0,0,0,16,22,16,22,0,0,0,0,260,3,-182,2756,-55,92
"ABalappapp",NA,227,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,164,3,-257,2003,-8,92
"ABalappappa","CANR",295,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,164,3,100,2003,-8,92
"ABalappappp","OLLsoR",295,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,164,3,1,2541,-8,92
"ABalappp",NA,135,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-89,-294,322,-83,88
"ABalapppa",NA,172,0,0,1,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-38,-60,-294,3239,-83,88
"ABalapppaa",NA,219,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-38,-47,-294,7177,-73,88
"ABalapppaaa","ALA",295,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-38,-47,-68,7177,-73,88
"ABalapppaap","RMED",295,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-38,-47,-163,7177,-73,88
"ABalapppap",NA,219,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-38,-60,-294,6513,-83,88
"ABalapppapa",NA,284,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-38,-60,-294,6513,-83,88
"ABalapppapaa","OLQDR",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,-38,-60,-294,6513,-83,88
"ABalapppapap","death",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,-38,-60,-294,6513,-83,88
"ABalapppapp","URYDR",284,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-38,-60,-294,6513,-83,88
"ABalapppp",NA,172,1,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-31,-29,-294,2802,-83,88
"ABalappppa",NA,219,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-31,-19,-294,7483,-83,88
"ABalappppaa",NA,278,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-31,-19,-294,7483,-83,88
"ABalappppaaa","IL1DR",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,-31,-19,-294,7483,-83,88
"ABalappppaap","death",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,-31,-19,-294,7483,-83,88
"ABalappppap","IL2DR",278,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-31,-19,-294,7483,-83,88
"ABalappppp",NA,219,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-31,-12,-294,7313,-70,88
