"Cells","CellNames.Cells.","CellTimes.Cells.","CCDefectCount.Cells.","PosDefectCount.Cells.","AngDefectCount.Cells.","cellObservedCounts.Cells.","divObservedCounts.Cells.","ExpPeak.Cells.","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","theseMaxMean.Cells.","theseMeanMean.Cells."
"ABalapppap",NA,219,0,0,0,22,0,-38,-60,-294,6513,-83,88,2.87215778805887,1.55977268248141
"ABalapppapa",NA,284,0,0,0,22,0,-38,-60,-294,6513,-83,88,2.51908913490551,1.39932422074797
"ABalapppapaa","OLQDR",400,0,0,0,NA,0,-38,-60,-294,6513,-83,88,NA,NA
"ABalapppapap","death",400,0,0,0,NA,0,-38,-60,-294,6513,-83,88,NA,NA
"ABalapppapp","URYDR",284,0,0,0,22,0,-38,-60,-294,6513,-83,88,2.7339511970795,1.526381720742
"ABalapppp",NA,172,1,0,0,22,0,-31,-29,-294,2802,-83,88,3.46355961796663,1.92487162055176
"ABalappppa",NA,219,0,0,0,22,0,-31,-19,-294,7483,-83,88,2.62355305173091,1.55770887638908
"ABalappppaa",NA,278,0,0,0,22,0,-31,-19,-294,7483,-83,88,2.4833513341326,1.43481378280079
"ABalappppaaa","IL1DR",400,0,0,0,NA,0,-31,-19,-294,7483,-83,88,NA,NA
"ABalappppaap","death",400,0,0,0,NA,0,-31,-19,-294,7483,-83,88,NA,NA
"ABalappppap","IL2DR",278,0,0,0,22,0,-31,-19,-294,7483,-83,88,2.8619981350145,1.60590853674734
"ABalappppp",NA,219,0,0,0,22,0,-31,-12,-294,7313,-70,88,2.950429870021,1.61150628801942
"ABalapppppa","AVJR",291,0,0,0,22,0,-31,-12,-294,12621,-70,88,2.8949982462942,1.59025302560823
"ABalapppppp","CEPsoDR",291,0,0,0,22,0,-31,-12,-294,10742,-70,88,2.85565244913669,1.57520263430627
"ABalp",NA,56,1,0,0,22,0,-71,-173,-294,0,-107,-38,4.09222459514401,2.44584380280511
"ABalpa",NA,75,0,0,0,22,0,-71,-173,-294,0,-107,-38,3.8221780833378,2.37449037016471
"ABalpaa",NA,102,0,0,0,22,0,-71,-146,-294,0,-107,-38,3.91403753153601,2.59101943467167
"ABalpaaa",NA,134,0,0,0,22,0,-61,-69,-270,0,-53,-38,4.94770194051667,2.81525705499295
"ABalpaaaa",NA,177,0,0,0,22,0,-61,-69,-270,0,-45,-25,4.10504708949902,2.41750658020834
"ABalpaaaaa",NA,232,0,0,0,22,0,-55,-69,-136,0,29,-25,3.06109653388537,1.71637871424652
"ABalpaaaaaa","e3VL",307,0,0,0,22,0,-55,-63,-136,0,29,-25,2.21406692122608,1.30366378225653
"ABalpaaaaap","m2VL",307,0,0,0,22,0,-55,-39,-136,0,29,-25,2.26047065727714,1.36325549813784
"ABalpaaaap",NA,232,0,0,0,22,0,19,-69,-62,0,11,-25,3.51537600750573,1.94332998600475
"ABalpaaaapa","m1VL",318,0,0,0,22,0,19,1,28,0,11,-25,2.21836304206239,1.44411815190009
"ABalpaaaapp","death",318,0,0,0,22,0,19,-69,-62,0,11,-25,2.56714960693348,1.72204846949623
"ABalpaaap",NA,177,0,0,0,22,0,-61,-69,-270,0,-28,-19,4.18814600495219,2.5130507178886
"ABalpaaapa",NA,230,1,0,0,22,0,-61,136,-270,0,-28,-19,3.03948039584338,1.6662148880354
"ABalpaaapaa","m2L",315,0,1,0,21,0,-61,303,-270,3,-28,-19,2.54506409034307,1.65028510287751
"ABalpaaapap","death",315,0,0,0,21,0,-61,193,-270,0,-28,-19,2.21473702527156,1.45471019234413
"ABalpaaapp",NA,230,0,0,0,22,0,-37,268,-270,19,-28,-19,3.21362889032994,1.61694485241023
"ABalpaaappa","death",313,0,0,0,22,0,-37,1191,216,19,-28,-19,2.09574150248957,1.33400820166893
"ABalpaaappp","MCL",313,0,0,0,22,0,-37,341,-270,108,-28,-19,2.10401782062758,1.30376878307252
"ABalpaap",NA,134,0,0,0,22,0,-71,-146,-294,0,-107,-38,3.87262625795344,2.41580980517584
"ABalpaapa",NA,170,0,0,0,22,0,-71,-132,-294,0,-107,-38,3.79691449956267,2.15483014510936
"ABalpaapaa",NA,212,0,0,0,22,0,-71,212,-197,0,-57,-38,3.19396401783458,1.77876443005753
"ABalpaapaaa","arcpost",284,0,0,0,22,0,-71,212,-197,0,-57,-38,2.35679550269544,1.37125192232906
"ABalpaapaap","e2DL",284,0,0,0,22,0,-71,251,-197,0,-57,-38,2.12667844243528,1.20847631677487
"ABalpaapap",NA,212,0,0,0,22,0,-71,25,-294,0,-63,-38,2.95074544295031,1.74079567034162
"ABalpaapapa","mc1DL",263,0,0,0,22,0,-71,364,-294,0,-63,-38,2.8536697180483,1.48121198581087
"ABalpaapapp","m3L",263,0,0,0,22,0,-71,353,-294,0,-63,-38,2.71384479282213,1.49489435572006
"ABalpaapp",NA,170,0,0,0,22,0,-71,-108,-294,0,-39,-38,3.29033961740092,1.84443247162705
"ABalpaappa",NA,222,0,0,0,22,0,-71,-85,-181,0,-30,-12,3.24639074599954,1.80519129151714
"ABalpaappaa","arc_ant",309,0,0,0,22,0,-71,-16,-159,36,-30,-12,2.62023297123247,1.5925968367869
"ABalpaappap","arcpost",309,0,0,0,22,0,-71,-85,-181,0,-30,-12,2.60059391789236,1.61182890742218
"ABalpaappp",NA,222,0,0,0,22,0,-71,-108,-294,0,-3,-38,3.16644397133662,1.76283856228065
"ABalpaapppa","hyp1",297,0,0,0,22,0,-71,-44,-294,0,-3,-38,2.71767875265789,1.70688425920603
"ABalpaapppp","hyp2",297,0,0,0,22,0,-71,-88,193,39,-3,-38,2.83165705572842,1.67451039092149
"ABalpap",NA,102,0,0,0,22,0,-71,-173,-294,0,-107,-38,3.62751948707133,2.52495792097399
"ABalpapa",NA,133,0,0,0,22,0,-71,-136,-294,0,-81,-38,3.93396425219029,2.44802147699479
"ABalpapaa",NA,172,0,0,0,22,0,-69,-136,-294,0,-53,-38,3.98017148716474,2.10383940948803
"ABalpapaaa",NA,223,0,0,0,22,0,-54,-118,-189,0,-16,-23,2.78976390425554,1.62081396774182
"ABalpapaaaa","RIPL",291,0,0,0,22,0,-54,-91,-189,0,-16,-23,2.59602920646372,1.61941858077264
"ABalpapaaap","hyp2",291,0,0,0,22,0,-54,-118,-189,0,-16,-23,2.91010921583806,1.82195793571062
"ABalpapaap",NA,223,0,0,0,22,0,-60,-136,-285,0,-44,-38,3.19497273348566,1.84530135905074
"ABalpapaapa","arc_ant",310,0,0,0,22,0,-60,-63,54,0,-44,-38,2.64625558246424,1.79727636732205
"ABalpapaapp","death",310,0,0,0,22,0,-60,251,334,0,-44,-38,2.86214288519582,1.94327579957156
"ABalpapap",NA,172,0,0,0,22,0,-71,-136,-294,0,-36,-32,3.37986524504696,1.84650286124549
"ABalpapapa",NA,222,0,0,0,22,0,-64,1732,-294,0,-36,-17,3.00302114748164,1.7700211983249
"ABalpapapaa","RMDDL",290,0,0,0,22,0,-64,1784,-294,0,-36,-17,2.8541078006621,1.72772466174195
"ABalpapapap",NA,290,0,0,0,22,0,-64,2235,-147,0,-36,-17,2.79508992042042,1.72412031438818
"ABalpapapapa","death",400,0,0,0,NA,0,-64,2235,-147,0,-36,-17,NA,NA
"ABalpapapapp","SMBDL",400,0,0,0,NA,0,-64,2235,-147,0,-36,-17,NA,NA
"ABalpapapp",NA,222,0,0,0,22,0,-71,2007,-130,0,43,-18,3.3152875299987,1.80134437608817
"ABalpapappa","death",302,0,0,0,22,0,-71,3056,9,174,43,-18,3.05076931811267,1.76892145171175
"ABalpapappp","SMBVL",302,0,0,0,22,0,-71,3638,-130,0,43,-18,2.92755250997423,1.60088502555803
"ABalpapp",NA,133,0,0,0,22,0,-71,-148,-294,0,-82,-30,3.15490002019449,1.98367239014277
"ABalpappa",NA,168,0,0,0,22,0,-71,234,-239,0,-47,-6,3.8943882529421,2.22942489984471
"ABalpappaa",NA,213,0,0,0,22,0,-71,864,2,0,-2,-6,3.04559240579932,1.70585920442705
"ABalpappaaa","death",292,0,0,0,22,0,-71,864,30,0,-2,-6,3.34580559092765,1.91504970055037
"ABalpappaap",NA,292,0,0,0,22,0,-71,864,2,0,-2,-6,2.41318320045311,1.47832536348486
"ABalpappaapa","I2L",400,0,0,0,NA,0,-71,864,2,0,-2,-6,NA,NA
"ABalpappaapp","death",400,0,0,0,NA,0,-71,864,2,0,-2,-6,NA,NA
"ABalpappap",NA,213,0,0,0,22,0,-71,918,-228,0,23,-6,2.9471959547602,1.66854829812828
"ABalpappapa","e2V",273,0,0,0,22,0,-71,2621,-97,0,23,-6,2.72308650516587,1.58512116061798
"ABalpappapp","mc3V",273,0,0,0,22,0,-71,2395,84,0,23,-6,2.68893874337354,1.51083308883445
"ABalpappp",NA,168,0,0,0,22,0,-71,162,-133,0,0,-30,3.3949594619404,2.07391025568832
"ABalpapppa",NA,213,0,0,0,22,0,-71,2480,-117,0,0,-30,2.86827161190944,1.47903331301367
"ABalpapppaa","I1L",324,0,0,0,20,0,-71,2480,167,6,0,-30,2.18431378784326,1.52871827276666
"ABalpapppap","death",324,0,0,0,20,0,-71,2480,-117,0,0,-30,2.05005841405608,1.42918682881051
"ABalpapppp",NA,213,0,0,0,22,0,-71,2750,-133,0,0,-30,2.77117723708449,1.58004192390859
"ABalpappppa","mc1V",265,0,0,0,22,0,-71,4326,-49,0,0,-30,2.88525896707873,1.52090707846244
"ABalpappppp","m3VL",265,0,0,0,22,0,-71,3923,-133,0,0,-30,2.77167158789115,1.37557220506541
"ABalpp",NA,75,0,0,0,22,0,-59,-166,-294,0,-107,-38,3.70945617331293,2.31899150186
"ABalppa",NA,103,0,0,0,22,0,-22,-127,-294,0,-107,708,3.72103518876608,2.42579291746927
"ABalppaa",NA,135,0,0,0,22,0,28,-87,-294,0,-102,708,5.01544986333219,2.87679317140656
"ABalppaaa",NA,179,0,0,0,22,0,3714,-54,-294,0,-47,708,3.75607058618807,1.91116867383092
"ABalppaaaa","death",234,0,0,0,22,0,4993,17,-169,29,18,708,3.56181597597518,2.03084616280676
"ABalppaaap",NA,234,0,0,0,22,0,8562,-54,-235,0,-47,708,3.14837987222,1.72571433769249
"ABalppaaapa","AVAL",311,0,0,0,22,0,8562,-54,-235,0,-47,708,2.76963771445056,1.71814003437774
"ABalppaaapp","OLQsoVL",311,0,0,0,22,0,8562,-54,-4,0,-47,708,2.58845920584951,1.57422447807118
"ABalppaap",NA,179,1,0,0,22,0,3634,-38,-281,0,-64,708,4.19634272499921,2.06534328280312
"ABalppaapa","death",231,0,0,0,22,0,5093,23,-169,479,31,708,4.01999482513178,2.19286934857934
"ABalppaapp",NA,231,0,0,0,22,0,8297,1,-31,1468,-64,708,2.86675289839661,1.48521308629654
"ABalppaappa","death",308,0,0,0,22,0,8297,1,-31,4446,-64,708,2.93085863087178,1.81278516319864
"ABalppaappp","CEPsoVL",308,0,0,0,22,0,8297,1,-31,5475,-64,708,2.80293509624492,1.61799555427393
"ABalppap",NA,135,0,0,0,22,0,-4,-127,-294,0,-95,708,3.81456068581832,2.37958562230411
"ABalppapa",NA,172,0,0,0,22,0,-4,-127,-294,0,-43,708,3.53666813953357,1.88246009478292
"ABalppapaa",NA,220,0,0,0,22,0,-4,-94,-225,0,-39,708,3.11481461139176,1.68892647129571
